Family,3oxoDCA,3oxoLCA,7oxoDCA,Ala_CA,Ala_CDCA,Ala_DCA,Arg_CA,Arg_DCA,Asn_CA,Asn_CDCA,Asn_DCA,Asp_CA,Asp_CDCA,Asp_DCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GLCA,GUDCA,Gln_CA,Gln_CDCA,Gln_UDCA,Glu_CA,Glu_CDCA,Glu_DCA,His_CA,His_CDCA,His_DCA,IleLeu_CA,LCA,Lys_CA,Lys_CDCA,Lys_DCA,Met_CA,Met_CDCA,Phe_CA,Phe_CDCA,Phe_DCA,TCA,TCDCA,TDCA,TLCA,TUDCA,Thr_CA,Thr_CDCA,Thr_DCA,Trp_CA,Trp_CDCA,Trp_DCA,Tyr_CA,Tyr_CDCA,Tyr_UDCA,UDCA,Val_CA,Val_CDCA,Val_DCA,isoCA_aMCA,isoDCA_isoCDCA,isoLCA,isoUDCA,isoalloLCA
3aHSDH%3aHSDH%HJB56827_1_3-oxoacyl-ACP_reductase_FabG__Candidatus_Flavonifractor_intestinipullorum_,1.0,1.0,-1.0,-1.0,0.6567885,1.0,-1.0,1.0,-1.0,-1.0,0.15554333,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-0.5414763,1.0,-1.0,-1.0,1.0,-1.0,-0.3734994,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.30464107,-0.36142537,1.0,-1.0,-1.0,0.9374286,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-0.8677231,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0
3aHSDH%3aHSDH%MBO5160353_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,1.0,-0.29914883,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-0.45375976,1.0,1.0,-0.20351043,-1.0,0.32450545,-0.43707436,1.0,0.026428394,1.0,0.09606054,1.0,1.0,0.7490264,0.663958,1.0,1.0,1.0,1.0,-1.0,-1.0,-0.7556973,-0.49909034,-0.3146472,-1.0,1.0,1.0,1.0,-0.21564366,-0.6318964,-1.0,-0.29227406,1.0,1.0,1.0,0.58522177,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.779571,1.0,1.0,-0.38558328,1.0,1.0
3aHSDH%3aHSDH%MBQ7891058_1_3-oxoacyl-ACP_reductase_FabG__Erysipelotrichaceae_bacterium_,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,0.6883481,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.59722805,-1.0,-1.0,-0.9871075,0.26106817,-1.0,-1.0,-1.0,0.54764366,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0
3aHSDH%3aHSDH%MBR6526164_1_3-oxoacyl-ACP_reductase_FabG__Clostridia_bacterium_,0.16830976,-1.0,1.0,0.36955827,1.0,0.48821428,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-0.87065345,1.0,1.0,-1.0,-0.8602476,-0.34317204,-1.0,-1.0,0.6553177,1.0,-0.5131374,1.0,1.0,0.8271276,0.20037085,1.0,1.0,1.0,1.0,-1.0,1.0,-0.8615956,0.6547022,-0.5832821,-1.0,1.0,1.0,1.0,-0.052997727,-0.15616907,-0.26659554,1.0,1.0,1.0,0.72603756,0.22753532,1.0,1.0,1.0,1.0,1.0,1.0,0.989605,1.0,1.0,1.0,1.0,-0.8470239,-1.0,1.0,-1.0
3aHSDH%3aHSDH%MCI8514525_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,-1.0,1.0,-1.0,-1.0,-1.0,-0.07064177,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.3927268,-1.0,-1.0,0.4407243,1.0,-1.0,-1.0,-0.39794555,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.27555904,-1.0,-1.0,-1.0,0.6541706,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.8119674,1.0,-1.0,1.0
3aHSDH%3aHSDH%MCM1345206_1_3-oxoacyl-ACP_reductase_FabG__Muribaculaceae_bacterium_,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-0.55045784,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.77901477,1.0,1.0,1.0,1.0,1.0,1.0,0.70438457,1.0,1.0,1.0,1.0,-0.41312748,1.0,1.0,-1.0,1.0,1.0,1.0,0.5798123,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0
3aHSDH%3aHSDH%WP_062304377_1_SDR_family_NAD(P)-dependent_oxidoreductase__Sellimonas_intestinalis_,1.0,0.4224523,1.0,-1.0,1.0,1.0,-0.115234196,-0.16546349,0.8568687,0.6831844,1.0,1.0,0.9434767,0.16422659,0.8592609,-0.33389577,0.5364935,-0.9747724,-1.0,-0.3188995,-0.5535485,-1.0,0.21948056,0.48820743,1.0,1.0,0.17913005,1.0,1.0,-0.8138539,1.0,1.0,0.7511227,-0.243003,0.63595104,-0.18518811,-0.5483869,0.43314713,1.0,0.39184904,1.0,-0.68981135,-1.0,1.0,1.0,-0.28259513,0.07051126,-0.23547095,1.0,-0.07921641,1.0,1.0,1.0,1.0,0.602865,0.6627396,1.0,1.0,1.0,1.0,1.0,0.71327597,1.0,-1.0
3aHSDH%3aHSDH%WP_117582908_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__unclassified_Collinsella_,-1.0,1.0,0.4328908,0.5625496,-0.615635,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.52654487,1.0,0.047571976,-0.9987023,0.23039207,-1.0,-1.0,-1.0,-0.7660888,-1.0,1.0,1.0,-0.38714296,1.0,1.0,0.45416564,1.0,1.0,1.0,1.0,1.0,-0.7646133,-0.6887823,-1.0,1.0,1.0,0.36213133,0.8609138,1.0,-1.0,-1.0,-1.0,0.68381983,-0.8341141,1.0,1.0,-0.29562232,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,0.5263304,-0.6833974,1.0,-1.0,-0.004613788,0.67682934,-1.0,-1.0
3aHSDH%3aHSDH%WP_226969791_1_SDR_family_oxidoreductase___Ruminococcus__lactaris_,-1.0,-1.0,1.0,0.46760648,-1.0,-1.0,1.0,-1.0,1.0,0.11963618,-1.0,1.0,1.0,-1.0,1.0,-0.34792283,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.80358535,-0.44122234,-1.0,1.0,1.0,-1.0,1.0,0.38163346,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-0.5189702,-1.0,1.0,1.0,-0.60925835,-0.1724117,1.0,1.0,0.75120395,-1.0,1.0,1.0,-1.0,1.0,0.5155415,1.0,-1.0,-1.0,0.68548524,-1.0,1.0,-1.0,-1.0,0.110734105,-1.0
3aHSDH%GENOME060426_131,1.0,-0.83292174,1.0,0.9290693,-0.70558774,1.0,1.0,-1.0,1.0,1.0,0.371852,1.0,-0.6316376,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.60328555,-1.0,1.0,0.3711327,1.0,1.0,0.33894354,0.89825535,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.57596743,0.26652384,-0.90613157,1.0,1.0,1.0,-0.61283076,-1.0,-1.0,0.075951904,1.0,1.0,-0.60848844,-0.3659331,1.0,1.0,-0.06283817,1.0,1.0,1.0,1.0,1.0,-1.0,0.06536437,1.0,1.0,-0.22904174,1.0,1.0
