Family,3oxoDCA,3oxoLCA,7oxoDCA,Ala_CA,Ala_CDCA,Ala_DCA,Arg_CA,Arg_DCA,Asn_CA,Asn_CDCA,Asn_DCA,Asp_CA,Asp_CDCA,Asp_DCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GLCA,GUDCA,Gln_CA,Gln_CDCA,Gln_UDCA,Glu_CA,Glu_CDCA,Glu_DCA,His_CA,His_CDCA,His_DCA,IleLeu_CA,LCA,Lys_CA,Lys_CDCA,Lys_DCA,Met_CA,Met_CDCA,Phe_CA,Phe_CDCA,Phe_DCA,TCA,TCDCA,TDCA,TLCA,TUDCA,Thr_CA,Thr_CDCA,Thr_DCA,Trp_CA,Trp_CDCA,Trp_DCA,Tyr_CA,Tyr_CDCA,Tyr_UDCA,UDCA,Val_CA,Val_CDCA,Val_DCA,isoCA_aMCA,isoDCA_isoCDCA,isoLCA,isoUDCA,isoalloLCA
12aHSDH%MBR6823493_1_SDR_family_oxidoreductase__Bacillota_bacterium_,-0.030030923,-0.013011821,-0.0018751747,-0.00067738845,-0.0053205704,-0.005974652,0.0036114494,-0.0070946678,-0.0016670955,-0.00087170914,-0.00087041385,0.0021273056,0.005186379,0.0028851419,-0.0047284146,-0.008022433,-0.019655729,-0.0057626707,-0.0035797763,-0.012514213,-0.008619342,-0.0001709591,0.0010973716,-0.0010921969,-0.006955079,0.005078533,0.007883781,-0.0016398266,0.011547104,0.0038371664,0.0002598682,0.005759483,-0.012318039,0.011200407,-0.0032245705,0.0062225293,0.0044707824,0.016782619,-0.0060446896,0.0019388653,-0.0009182223,-0.0015989125,0.0028516403,-0.0035617817,0.000940771,0.008686836,0.0058093416,0.004611045,-0.0015068103,0.0013609285,0.007825606,-0.01108012,0.0033043153,0.0033072496,0.0023916366,-0.014218477,0.0010600273,0.0038012636,0.0023295293,-0.0015571596,-0.021272095,-0.012650498,-0.0039963922,-0.015194697
12aHSDH%WP_055231566_1_SDR_family_NAD(P)-dependent_oxidoreductase__Anaerostipes_hadrus_,-0.002826846,-0.01950727,0.02965447,0.023490883,0.02617754,0.0013599747,0.026827894,-0.0031653496,0.025541237,0.024661718,0.020757344,0.023897279,0.02423078,0.00058716664,0.03142302,0.026408141,-0.004059161,0.030572416,0.027769193,0.0015024432,-0.008202353,0.018195847,0.01869327,0.009856711,-0.0002615856,0.026149377,0.02007584,-0.004250031,0.018867726,0.0071896506,-0.007060573,0.02555544,-0.013018781,0.019989582,-0.0026568703,0.017067362,0.022440396,0.01494545,0.025675278,0.020410245,0.005238918,0.030692682,0.028244719,0.012104174,0.008295082,0.021276088,0.02846873,0.026207495,0.006020167,0.013867588,0.015398193,-0.003040753,0.02751251,0.024685629,0.007162888,0.007009377,0.011963528,0.027440423,-0.0077020763,0.02801991,-0.0036355276,-0.021937098,0.016773775,-0.033467326
12aHSDH%WP_103229430_1_SDR_family_NAD(P)-dependent_oxidoreductase__Clostridium_sp__chh4-2_,0.011141501,-0.013472735,0.019692048,0.011754441,0.016150655,-0.00015288636,0.01274612,-0.015828565,0.019555248,0.018560821,0.008242444,0.012968154,0.010495255,-0.011012064,0.015703341,0.014830779,-0.011407485,0.0029508695,0.0065988447,-0.014891757,-0.009961626,0.005797293,0.016903803,-0.000100176294,0.0072507244,0.01863086,0.00978208,-0.012380401,0.015042412,0.014464205,-0.0038762772,0.022271516,-0.01617135,0.0022740054,-0.011842761,-0.0012117616,0.0072606253,-0.013271975,0.019426374,0.019366425,0.005339433,0.010567664,0.008284372,-0.0065260716,-0.0016276771,0.016092421,0.014912184,0.0077329944,-0.004361584,0.010499605,0.01481808,0.00019872961,0.020470886,0.022244787,0.013547132,0.009211126,0.015846506,0.013658228,-0.011413642,0.019955307,-0.0003496176,-0.013701659,0.014816036,-0.009944636
12aHSDH%WP_130435990_1_SDR_family_NAD(P)-dependent_oxidoreductase__Cuneatibacter_caecimuris_,0.009200583,-0.004382697,0.017121723,-0.008041068,0.013586299,0.007926296,0.013757429,0.0023222093,0.004890358,0.002929185,0.009011808,0.010855066,0.011862475,0.0045750733,0.012590326,0.008949859,-0.0018621243,0.002049931,0.005787358,-0.0058221277,-0.0027609277,0.01155184,-0.0021897375,-0.0067423163,0.0036363644,0.017559547,-0.0041634915,0.009369448,0.023407985,0.00090590393,0.005870366,0.02571283,-0.005189045,0.00926023,0.0022611525,0.0036080184,-0.012884388,0.006918559,0.025816321,0.011180367,0.019736499,0.013275182,0.0100756725,0.015459793,0.017939353,0.01914145,0.006328878,-0.0036948228,0.009926351,0.01189902,0.027899187,0.0038803525,0.017775802,0.019232988,0.01634369,0.008173263,0.010964626,0.01602904,0.014124422,0.02886797,0.0044927034,-0.0069505554,0.019940693,-0.03222918
12aHSDH%WP_160708750_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enterorhabdus_sp__P55_,0.003278265,-0.017569406,0.025147282,0.021769797,0.019430256,0.0033065337,0.022894053,-0.0070264637,0.019682087,0.019604916,0.011943865,0.016875427,0.017775768,-0.0064357235,0.026767086,0.02604226,-0.008510116,0.0242821,0.024119165,-0.00085544435,-0.006564486,0.018419057,0.016295359,0.004375865,0.0032731974,0.017372113,0.0147016235,-0.008744111,0.014422339,0.00665219,-0.009044416,0.017636586,-0.01692236,0.01577131,-0.0060048047,0.017077345,0.018168848,0.0040902835,0.015793627,0.015749313,-0.0015808078,0.024286835,0.024237845,0.0045810165,-0.0008013821,0.017434927,0.023469202,0.024403617,0.0016420993,0.013861019,0.01238668,-0.0005049725,0.019703407,0.016029762,0.000897269,0.010866313,0.008122998,0.021584563,-0.0129546365,0.023243604,-0.0037471198,-0.01897509,0.015217696,-0.015824363
12aHSDH%WP_161844252_1_SDR_family_NAD(P)-dependent_oxidoreductase__Pseudoflavonifractor_sp__524-17_,0.00983106,-0.0020298464,0.010544333,-0.014728726,0.008539272,0.007517798,0.0052954582,0.00084222,0.0037728187,0.00068996043,0.0061601843,0.010615757,0.0043927673,0.0024278096,0.0065505314,0.0016414942,-0.0015292533,-0.0055579413,-0.0031363505,-0.008625675,-0.0036962342,0.0008130856,-0.0015181876,-0.00784063,0.0068755304,0.016915422,-0.0055923965,0.010513873,0.019967595,0.0027496621,0.009873588,0.022950249,-0.00341749,0.0026084005,0.0027582336,-0.002572548,-0.016891219,0.0016555402,0.023996241,0.008780037,0.01723731,0.0050748424,0.0010599277,0.009103374,0.01228963,0.011092966,0.0011516751,-0.010204992,0.0070751505,0.0053964388,0.022981215,0.0018080362,0.0134614445,0.017307505,0.014161562,0.0032310255,0.013468274,0.007914417,0.014784993,0.02307066,0.007962404,-0.0037291741,0.016001213,-0.028183108
12aHSDH%WP_418471294_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_sp__,-0.0047804085,-0.009297932,0.012554936,0.014975959,0.0039221565,0.00081802206,0.011713903,-0.013255767,0.014570533,0.015168991,0.007968942,0.01136372,0.007484443,-0.0017035401,0.011716993,0.013562603,-0.00798301,0.0067331796,0.006318771,-0.0048054126,0.004959168,-0.00051126926,0.017734187,0.011011861,-0.002088667,0.012156005,0.013081002,-0.0029882637,0.007980419,0.016534971,-0.00048681244,0.0079999,-0.008016935,0.009728908,-0.006815875,0.0062723784,0.016017087,0.0094882855,0.0037938484,0.015133232,0.0009558691,0.008564605,0.006440989,-0.011086837,-0.0053240536,0.011011346,0.016715549,0.012306012,-0.004216213,0.0144346785,0.0026584016,-0.0047331047,0.011908997,0.012485683,0.01117547,0.0037476453,-0.00062710576,0.0014754809,-0.009698809,0.0037036133,-0.008615267,-0.009580242,0.0021349683,-0.0017967318
12bHSDH%GENOME225741_180,-0.022118874,0.0042543137,-0.011878159,-0.0057297177,-0.022646548,-0.031886823,-0.014193453,0.002315551,-0.008983446,-0.013876578,-0.0021617382,-0.0065405583,-0.0017616119,0.0060640275,-0.008406719,-0.020668807,0.0035556916,0.013247992,-0.002764243,0.0023485979,-0.019432848,-0.01061227,-0.012737351,0.006192235,-0.014468733,-0.011300328,-0.0022894144,-0.006519861,-0.016565863,-0.027232647,-0.023712242,-0.026323209,0.014098057,-0.0033260337,-0.0073287813,-0.0042552627,0.0057638655,0.025266653,-0.02856269,-0.036972504,-0.023779223,0.005665958,0.0031765255,0.009834663,0.0022943467,-0.014625734,-0.006298672,0.005236078,-0.0023238438,-0.02736858,-0.029682416,-0.022482924,-0.021640394,-0.030291546,-0.028013466,-0.01803042,-0.013107365,-0.0042272857,-0.0024871388,-0.012989449,0.00030955893,0.007236033,-0.01591631,-0.01622118
3aHSDH%3aHSDH%HJB56827_1_3-oxoacyl-ACP_reductase_FabG__Candidatus_Flavonifractor_intestinipullorum_,0.019496392,0.015401939,-0.011067158,-0.00490468,0.0024379378,0.0162273,-0.0138865635,0.009979125,-0.007954912,-0.0058442038,0.0005773623,-0.0053750263,-0.0104824845,0.005474984,-0.010181443,-0.0051322086,0.015688637,-0.010219824,-0.0082723005,0.012077558,0.018759258,-0.0071593695,-0.0042184917,-0.0020099096,0.007078326,-0.01304127,-0.011944283,0.011090129,-0.010853214,-0.001386395,0.012381474,-0.009558153,0.013646244,-0.017782107,0.0112532815,-0.011861294,-0.010299447,-0.010518862,-0.0011307992,-0.0013415773,0.00791999,-0.014073534,-0.01399902,0.0034796475,0.0037310987,-0.013183526,-0.013487901,-0.006468664,0.007404427,-0.0041039633,-0.006958549,0.015477359,-0.011259201,-0.00893458,-0.0056927586,0.0060459357,-0.0032209072,-0.0074549015,0.008192647,-0.008822946,0.015833529,0.017299451,-0.0043182494,0.02285098
3aHSDH%3aHSDH%MBO5160353_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,0.017993111,-0.0011104125,0.009262967,0.0057730842,0.0125796525,0.011625328,0.0043449234,-0.006047874,0.007063949,0.0077724974,0.006624192,0.0069906535,0.004567519,-0.0016843139,0.008038502,0.010218216,-0.00075541175,-0.0037704986,0.001204534,-0.0016223793,0.0061060935,9.8099736e-05,0.0069768727,0.00035656776,0.006617887,0.007889523,0.0027803162,0.0024645503,0.0066869855,0.010299696,0.005156945,0.00903806,-0.005737109,-0.0041864486,-0.002805078,-0.0018525769,-0.001167941,-0.012209508,0.011963508,0.012827298,0.009056422,-0.00080044917,-0.0023455403,-0.0038787299,-0.0010848941,0.0042886524,0.0056965114,0.0041222023,0.0021722887,0.008470519,0.008022927,0.0070604575,0.007882643,0.009447362,0.0071226195,0.010756063,0.0056455624,0.0045131305,-0.002893695,0.010059637,0.006482321,-0.0014312492,0.0090013,0.0047137127
