RENAME,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Mean
TCA,0.6306210643289295,0.6300448615055356,0.6082314689056262,0.601498127340824,0.6327283203687698,0.5996213524303412,0.6380293863439931,0.5694941762357492,0.5742355023253899,0.5799646046837057,0.6064468864468864
LCA,0.5882783882783883,0.5880972959624644,0.5474667654442935,0.5920154751615425,0.6107502983907478,0.5463637486109396,0.5946660081491542,0.5549574021484134,0.5475490801333498,0.5650327200888998,0.5735177182368194
CA,0.5682265300242828,0.5390706671605547,0.5787957360991068,0.5464460632999958,0.5354488208420792,0.4957402148413384,0.5418035148372227,0.5233814874264313,0.49737004568465243,0.5532617195538544,0.5379544799769519
CDCA,0.5058155327818249,0.5490307445363625,0.48790385644318224,0.5208132691278758,0.5107379511873894,0.4816314771370951,0.5164176647322715,0.5181298102646417,0.47903033296291714,0.4484421945096102,0.5017952833683171
7oxoDCA,0.4843313989381405,0.5263777421080792,0.45453348149977363,0.5063423467917849,0.462320451084496,0.426776968350002,0.44719101123595506,0.41554924476272787,0.4806437008684199,0.46558011277112393,0.46696464584105035
TCDCA,0.40255998682964966,0.42575626620570434,0.48156562538585007,0.4355352512655884,0.4621064328929497,0.43614437996460464,0.48464419475655424,0.45591636827591886,0.42440630530518164,0.3800551508416677,0.4388689961723669
GDCA,0.3718895336872865,0.4188253693871671,0.39979421327735926,0.3914145779314319,0.43569988064370085,0.38313372021237185,0.40639585133967154,0.4140017286084702,0.36071119891344605,0.4089146808247931,0.39907807548256985
3oxoDCA,0.3433427995225748,0.37416141910523926,0.41823270362596204,0.42009301559863355,0.39640284808824133,0.3795118738938963,0.4064123142774828,0.3886158785035189,0.3905420422274355,0.3781289871177511,0.38954438819607357
DCA,0.3476890151047454,0.37934724451578383,0.3985265670658929,0.4105609746059184,0.39365353747376214,0.3875293246079763,0.39528336831707617,0.38963658064781653,0.3963699222126188,0.3612544758612174,0.38598510104128075
GCA,0.3628184549532864,0.36512326624686176,0.38978474708811783,0.41255299008107993,0.3341070914104622,0.4156150965139729,0.39271515001852075,0.38571840144873853,0.42109725480512,0.35605218751286166,0.3835584640079023
3oxoLCA,0.15876034078281268,0.16276083467094704,0.21310449849775692,0.1478124871383298,0.14921183685228628,0.23860558916738694,0.1307568835658723,0.17711651644235912,0.19888052022883482,0.22133596740338313,0.1798345474749969
GCDCA,0.08528624933119314,0.13464213688932788,0.1384121496481047,0.17749516401201793,0.10438325719224596,0.12583446516030783,0.13286413960571264,0.10497592295345104,0.10262172284644194,0.12041815862040581,0.12269333662592088
GUDCA,0.0734000082314689,0.08661974729390459,0.09702432399061613,0.16465407251924105,0.1141622422521299,0.08431493600032924,0.09073548174671768,0.11371774293122607,0.13102029057085238,0.08387043667942544,0.10395192822159113
TDCA,0.09600362184631847,0.02825863275301477,0.05050006173601679,0.03734617442482611,0.07549080133349796,0.06314359797505865,0.08829896695065234,0.05998271391529818,0.07056838292793348,0.10499238589126228,0.0674585339753879
UDCA,0.01666872453389307,0.062452154586986046,0.06711116598757047,0.02389595423303288,-0.007564719924270485,-0.002988023212742314,0.08038029386343994,-0.05459933325101864,0.023006955591225252,0.05510968432316747,0.026347285673128374
GLCA,-0.07865168539325841,-0.06538255751738897,-0.07009095773140717,-0.01712968679260814,0.03239083014363913,-0.0012594147425608099,0.08135160719430382,0.00418981767296374,0.08423262131127299,0.017656500802568215,-0.0012692925052475597
TLCA,-0.17181545046713584,-0.1699551384944643,-0.20599250936329586,-0.24435115446351396,-0.2078857472115899,-0.15443058813845328,-0.24412067333415646,-0.20925217104992383,-0.2928015804420298,-0.23733794295592048,-0.21379429559204838
HCA,-0.21707206651026875,-0.21448738527390215,-0.24441700621475898,-0.16919784335514673,-0.22243898423673703,-0.20182738609704898,-0.23546116804543768,-0.15597810429271103,-0.3070584845865744,-0.18085360332551342,-0.2148792031938099
