Family,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asn_DCA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GLCA,GUDCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,His_DCA,LCA,Lys_CDCA,Met_CA,Met_CDCA,Phe_CA,Phe_CDCA,Phe_DCA,TCA,TCDCA,TDCA,TLCA,Thr_CA,Thr_CDCA,Thr_DCA,Trp_CA,Trp_CDCA,Trp_DCA,Tyr_CA,Tyr_UDCA,UDCA,isoCA_aMCA,isoLCA,isoalloLCA
BSH1%UPI00041C4F56,1.0,1.0,-1.0,1.0,-1.0,0.3792849,-0.2648722,-0.14683335,-0.6153377,-1.0,1.0,1.0,0.06001259,1.0,1.0,-1.0,-1.0,-1.0,-0.87319326,1.0,1.0,1.0,1.0,-0.7572051,-0.047526386,-0.9126628,-1.0,-0.40814272,-0.038367692,-0.20725639,1.0,0.6694102,-1.0,-0.5508383,0.45772374,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
BSH1%UPI00044AC395,-1.0,-1.0,0.4884417,0.71095145,0.0068284683,-0.64824855,1.0,0.07279874,0.27518308,0.3646054,-1.0,1.0,0.7027083,-0.7803819,-1.0,0.93861353,0.48529437,0.62216955,0.5128492,-1.0,-0.57173586,-1.0,0.58134276,0.8991442,-1.0,1.0,-0.06161211,-0.68792677,1.0,1.0,-0.37545007,-1.0,1.0,0.8955669,0.35322404,1.0,1.0,0.94889456,1.0,-0.86639446,-1.0,1.0,-1.0,-1.0
BSH1%UPI0004BCDDD9,-0.6878537,-0.4436609,-0.025793804,-0.296318,0.27649805,0.73077846,1.0,-0.093482316,-0.048454612,0.5055253,-0.86263925,1.0,0.5639588,-0.0009797632,-0.76343894,0.3633125,0.1458524,-0.008777875,0.7327749,-0.7927338,-0.15891035,-1.0,-0.21007878,0.33768764,-0.7120069,0.6223371,-0.36562723,-0.5753162,0.5124308,0.7245809,-0.12412757,-1.0,1.0,1.0,0.75041944,1.0,0.57287645,0.26763818,0.22202939,-1.0,-1.0,0.080856696,-1.0,-1.0
BSH1%UPI0004D69CD5,0.40728244,0.49037293,-0.43320754,0.60534036,-0.49151173,-0.4591062,-1.0,1.0,-0.19268125,-0.16268256,0.4593841,-1.0,-0.7646101,0.45149517,1.0,-0.60717314,-0.4978588,-0.5435568,-1.0,1.0,0.40657046,0.4474278,-0.26200226,-0.7575652,-0.28688,-0.040875982,0.34621328,0.50116724,-0.67683834,-0.7775485,0.5820248,0.9455868,-1.0,-0.6641585,0.15096012,-0.54482555,-0.31044424,0.40446153,0.083176605,1.0,1.0,-0.121180065,0.91970426,0.6582765
BSH1%UPI0004D6A0E9,0.4222443,0.8448808,-0.86567825,-0.35924125,-0.22769068,0.93985957,-1.0,-0.13184288,-0.51612246,-0.81784403,0.6539644,-0.81480473,-0.69252473,0.3648655,-0.13066533,-0.3155008,-0.6168131,-1.0,-0.36043686,0.32028544,0.6522154,0.5958983,0.46269438,0.30981374,0.70365655,-1.0,-1.0,-0.17505306,-0.79048413,-0.15282877,1.0,1.0,-0.5854053,0.07669192,1.0,-1.0,-0.5592604,-0.37346452,-1.0,-0.38323715,-0.08863815,-0.66517323,0.8450407,0.81561595
BSH1%UPI0004F8D610,1.0,1.0,-1.0,0.05200413,-0.6248698,-0.75388443,-0.88247466,-0.39925665,-1.0,-1.0,1.0,-1.0,-0.7933091,1.0,1.0,0.015457687,0.39233756,-1.0,-0.9607204,1.0,1.0,1.0,0.35132253,-1.0,0.02506059,-1.0,0.34898102,1.0,-1.0,-1.0,0.10378909,1.0,-1.0,-1.0,0.3497504,-1.0,-1.0,0.64948905,-1.0,1.0,1.0,-1.0,1.0,1.0
BSH1%UPI0005DBBD01,0.46044457,0.102850534,0.9360926,0.9572816,-0.79567516,-0.30719241,-0.49959156,1.0,0.5689806,0.29130885,0.22332661,-1.0,-0.9703038,-0.11637974,0.26479384,-1.0,-1.0,0.36823598,-0.09051892,0.8308624,0.6808412,0.175197,0.9487983,-0.11629047,-0.52564144,-1.0,-1.0,-0.6087306,-1.0,-1.0,-0.57570744,-0.073330775,0.30864933,0.8773812,0.77502555,1.0,-0.021656575,-0.39769503,-0.32771754,-0.4356474,0.17031553,0.35494733,-0.37270942,-0.25908986
BSH1%UPI00070D1B8F,-1.0,-0.57908195,-0.71243554,1.0,-1.0,-0.59445566,0.27653053,0.42990804,-0.60648054,-0.5835696,-0.49370977,0.0429103,0.15187702,1.0,0.9706206,0.96266985,-1.0,-1.0,-0.10709297,0.96907395,0.53798425,-0.5724098,1.0,-0.32179892,-1.0,-1.0,-1.0,-1.0,-0.2659129,0.16256219,1.0,-0.34303457,-0.18301374,1.0,1.0,0.8192323,-0.14940858,0.9032749,-1.0,-1.0,-1.0,-0.56063074,-0.5018446,-0.73889154
BSH1%UPI00073AFD00,0.3376077,-1.0,1.0,-0.646762,0.98092014,-1.0,0.5612538,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,0.8384521,0.41549635,0.8026085,-0.18382592,-1.0,-1.0,-1.0,-1.0,0.77431434,-1.0,1.0,1.0,-0.86786723,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-0.52254164,1.0,0.63498354,0.1382096,1.0,-1.0,-1.0
BSH1%UPI00076E9CCB,0.27639964,-0.17665513,0.9171253,-0.59604436,0.16923253,-0.60697925,0.2937688,0.18816216,0.4077838,-0.11454368,-0.26467848,-0.5624261,-0.41907686,-0.68638194,0.42355868,0.3774996,-0.14377998,0.7698427,0.3959224,0.97003186,0.46410176,-0.64698464,-1.0,-0.27491307,-0.7813199,0.8378778,0.7172996,0.9316949,-0.5733146,-0.67992115,-0.5282672,-0.08936818,0.45087445,0.29042375,0.32021,-0.44713283,0.506859,-0.36737752,0.822867,1.0,0.5044545,0.5627411,-0.32191843,-0.39564517
BSH1%UPI0007933BD5,1.0,1.0,0.35546228,-0.027781589,0.5735229,1.0,-1.0,-0.08631753,0.09569239,0.02617753,0.53718966,-1.0,-1.0,-0.81699175,-0.09184902,-0.0414385,0.28406587,0.26335853,-0.090988055,0.27159187,-0.16573296,0.20375812,-0.9357882,-0.7237745,1.0,1.0,0.8102427,1.0,-0.7731437,-1.0,-0.09775478,0.6972133,0.23748298,-0.23390627,0.7878776,-0.892498,0.33484668,-0.48727888,0.64782834,1.0,0.9259644,-0.2700083,0.5973958,-0.33040407
BSH1%UPI000801FF16,-0.11544392,0.8010532,-1.0,1.0,-0.8120213,0.57358176,-1.0,-0.9085417,-1.0,-1.0,1.0,0.08199267,0.5603844,1.0,0.73611873,0.72718394,-0.32366794,-1.0,-0.30300102,-0.17552924,-0.3017362,1.0,1.0,-0.5748935,0.3608198,-0.6615821,-0.29363427,0.03732504,-0.46060464,0.039451625,1.0,0.14946936,-1.0,-0.85274196,1.0,-1.0,-0.5525674,0.66933775,-1.0,-0.114185154,-0.45621637,-0.9870208,1.0,0.5154978
BSH1%UPI00093BFB8C,-0.80399865,-1.0,0.617077,-0.73033786,0.62786096,-0.1390033,1.0,-0.6058551,0.3100982,1.0,-1.0,0.67020637,0.8409261,-1.0,-0.33005032,0.4502522,1.0,1.0,0.049691632,-1.0,0.44899288,-1.0,-0.27721152,-0.72912616,-1.0,1.0,-0.27169752,-1.0,0.52891517,0.51254815,-0.68913233,-0.60606444,1.0,0.11101819,-0.4864782,1.0,1.0,-0.18479808,1.0,0.020502554,-0.66602385,0.3951973,-1.0,-0.30322587
