Family,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asn_DCA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GLCA,GUDCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,His_DCA,LCA,Lys_CDCA,Met_CA,Met_CDCA,Phe_CA,Phe_CDCA,Phe_DCA,TCA,TCDCA,TDCA,TLCA,Thr_CA,Thr_CDCA,Thr_DCA,Trp_CA,Trp_CDCA,Trp_DCA,Tyr_CA,Tyr_UDCA,UDCA,isoCA_aMCA,isoLCA,isoalloLCA
5AR%MBD5276024_1_DUF1295_domain-containing_protein__Bacteroides_sp__,-0.0009111257,-0.031993035,0.0058268593,-0.0013251571,0.044142537,0.02133067,0.029451752,-0.014462977,0.0074706245,0.017493024,-0.0024332055,0.03954507,0.0043969247,-0.0019692718,-0.029113438,-0.0021107218,0.069818266,-0.0040275864,0.014175211,-0.027762657,-0.008731649,-0.014097145,-0.043501258,0.024666268,-0.022311531,-0.0018880172,0.02408006,-0.034291092,0.02925,0.020453174,-0.0028136014,-0.033331133,0.041028824,0.00027071254,-0.043676242,0.028164666,-0.03005827,0.010083443,0.03217586,0.0062098764,-0.039281562,-0.042699564,-0.014445934,0.008819299
5AR%MBP3601379_1_DUF1295_domain-containing_protein__Alistipes_sp__,0.036895014,0.030661132,-0.00014681873,0.01301028,0.0091998335,0.009666201,-0.044893827,-0.0066364324,0.016429015,0.003916496,0.05626314,0.004233516,-0.006822035,0.016392108,0.017256128,2.3492872e-05,0.008561092,-0.013196861,-0.035397686,0.013510822,0.0053075226,0.025324803,-0.007386917,-0.019385124,-0.012757805,0.014022123,0.022874737,0.027456958,-0.037049755,-0.014686094,-3.786981e-05,0.0008215159,-0.03317882,-0.03680925,0.00050389173,-0.021508794,-0.014064629,0.013277683,0.011101287,0.046299845,0.03600545,-0.0037634987,0.015819186,0.018030286
5AR%MBQ1253485_1_DUF1295_domain-containing_protein__Alistipes_sp__,0.061871003,0.04352663,-0.052231282,-0.016661441,0.027787985,0.05613552,0.013632437,0.018993793,-0.06098332,-0.032672472,0.07194264,-0.0044588563,-0.033153366,0.011093569,0.017427407,-0.040596038,0.045412283,-0.03446237,-0.031328764,0.010689871,0.0018813614,0.07077199,0.010717435,-0.02899926,-0.028023735,-0.0011570156,-0.018762982,-0.0010110232,-0.014297353,-0.026571026,-0.012820897,-0.010674736,-0.041962575,-0.051275287,0.012267586,-0.015511232,-0.039844695,0.044649873,-0.06287806,-0.007664621,0.005999261,-0.044902768,0.051136628,0.072249435
5AR%MBR4740186_1_DUF1295_domain-containing_protein__Bacteroidales_bacterium_,-0.05367715,-0.015696488,0.0023407678,0.0011096817,0.02966473,0.03769051,0.007307479,-0.031720653,-0.0005742794,0.0027812507,-0.014523905,0.010962692,0.0131051205,0.007860764,0.06667492,0.008410951,0.010127089,0.016427234,0.011518299,-0.017204443,-0.021571456,-0.0071869115,-0.0022910459,0.018314242,-0.028802626,-0.018101234,0.03267531,0.00838445,-0.012679043,0.0021704058,-0.05764871,-0.01317125,0.021727543,-0.043413535,0.008700195,0.04880469,0.025746161,-0.057247758,-0.0033911522,0.014114742,-0.015679637,0.009892901,0.006043025,0.0017858972
5AR%MCH5217706_1_DUF1295_domain-containing_protein__Muribaculaceae_bacterium_,-0.0054449546,-0.0050492585,0.007382534,-0.021751726,0.008473452,-0.005195761,-0.024219545,0.0016749878,0.030621164,0.03562035,-0.012080132,0.04106557,0.048232798,0.027779792,0.006329937,0.074910626,0.002367859,-0.019432588,-0.02852412,-0.023392245,-0.066004835,0.01329978,-0.01189263,0.0005930294,0.0056829704,-0.02488108,-0.013875161,-0.027598558,0.033457514,0.059884142,0.006544737,-0.008726238,0.020683674,0.041464724,0.010581269,-0.012620678,-0.055057272,-0.01932891,-0.02230393,-0.011450286,0.045108646,0.0076896,-0.0025775007,0.0027952972
5AR%MCQ2341803_1_DUF1295_domain-containing_protein__Paludibacteraceae_bacterium_,0.042199306,0.018152153,-0.0032257054,0.0007739225,-0.0068813916,0.027486393,-0.12953249,-0.014146417,-0.0028424046,0.022051021,-0.0027234072,0.0026934012,0.0261608,0.0063063395,0.0030140516,0.04024982,-0.0057262336,-0.0035065692,-0.025186397,-0.036450196,-0.094764344,0.0066850437,-0.04081902,-0.0016239573,0.043236166,-0.009784467,0.028288975,0.002977823,0.050675116,0.035141595,0.015551728,0.043459278,0.003621742,-0.012341726,-0.023473013,0.0027328625,-0.0032076642,-0.017063642,0.01790027,0.044176623,0.04553318,-0.038492702,0.020607514,0.051295523
5AR%MCR5660240_1_DUF1295_domain-containing_protein__Bacteroidales_bacterium_,0.014419211,0.03446763,-0.013611177,0.01878607,-0.01860337,-0.040732607,-0.036482718,0.036134932,-0.009373819,2.4678782e-05,0.02324468,-0.015315012,-0.021304464,0.024196072,0.008318957,-0.008608647,-0.030360954,-0.0134553155,-0.02800492,0.026112594,0.030525744,0.019034414,0.034604527,-0.02660712,0.0042833346,-0.054162823,-0.043593038,0.0040685786,-0.01947238,-0.024675319,0.031661972,0.01927648,-0.014905993,-0.013412123,0.020935828,-0.030228948,-0.025887577,0.018696077,-0.0167535,-0.013061218,0.016702918,-0.0066575897,0.023387529,0.026678164
5AR%WP_005657188_1_DUF1295_domain-containing_protein__Bacteroides_stercoris_,-0.0051667206,0.0004920279,-0.024240274,-0.010296417,-0.0053677643,-0.023597462,0.04558802,0.016731095,-0.027255746,-0.037799377,-0.006589856,0.0070479754,0.013947177,0.011734141,0.02238553,-0.019644365,0.002159599,-0.02477885,-0.014587062,0.010749435,0.0033191317,-0.0045008063,0.010560139,-0.025091758,-0.017309366,0.0393009,-0.0079552485,0.00013933565,0.01246135,0.01121882,-0.031475294,-0.04345698,-0.017618202,-0.040598318,-0.038601793,0.055342622,0.024863344,-0.005747588,0.030089296,-0.0051492383,-0.024283284,-0.015648117,0.010997515,0.005343245
5AR%WP_149192684_1_MULTISPECIES__DUF1295_domain-containing_protein__Bacteroidaceae_,-0.031663217,0.007246222,-0.025180688,0.046128303,-0.056634642,-0.0001793047,-0.046368618,0.026743202,-0.04550923,-0.028271496,0.018801237,-0.027597787,-0.039819963,-0.028104715,0.031235356,0.0555325,-0.021398844,-0.011744158,-0.039077874,-0.015826166,-0.015438148,0.010194024,0.009371953,-0.04292689,0.023629215,0.004033421,-0.019175922,-0.01350878,-0.013752278,-0.0057885037,0.02567636,0.044756196,-0.02355892,-0.04793584,0.052522562,0.041885473,0.02862899,0.026419796,-0.024099719,0.0023524296,-0.00526209,-0.0051681236,0.012352887,0.014493171
5AR%WP_300108487_1_DUF1295_domain-containing_protein__uncultured_Alistipes_sp__,-0.032845363,-0.0295,0.01916829,-0.0014706122,0.0017211463,-0.016185826,-0.02976187,-0.014934867,0.019888354,0.013725339,-0.0313381,0.054941505,0.053030152,0.0126450285,-0.015452659,0.041059524,-0.00028966935,0.015840692,0.07062098,-0.03816326,-0.065229736,-0.023719866,-0.02596667,0.027487528,0.013611368,-0.005338229,0.030639928,-0.024359113,0.041082487,0.049126066,-0.021406343,-0.04368365,0.0007876052,0.008153242,-0.04077496,0.020950224,-0.026188733,-0.042837147,0.009412245,-0.009230849,-0.01626467,-0.024002438,-0.010070576,0.036122732
5AR%WP_302729833_1_DUF1295_domain-containing_protein__Bacteroides_sp__ET489_,0.033579603,0.08136085,-0.063791364,-0.00773095,-0.03306655,0.037283354,-0.0254784,0.03250728,-0.07219286,-0.07321628,0.074416615,-0.049439143,-0.05581612,0.047349866,0.02489445,-0.037170414,-0.03087531,-0.062104244,-0.02208844,0.053178042,0.052451678,0.073616914,0.06643398,-0.0046995217,0.03703071,-0.10342643,-0.09039834,-0.016349213,-0.08679356,-0.062056366,0.08701409,0.079278626,-0.042811535,-0.010540004,0.086669415,-0.09245988,-0.045160584,0.023734571,-0.11156485,-0.026358292,-0.005208776,-0.04728897,0.080786854,0.036789842
5AR%WP_346709278_1_DUF1295_domain-containing_protein__Phocaeicola_salanitronis_,-0.007095463,-0.011145408,0.006859928,0.004093313,0.02254339,-0.015557865,0.024678588,-0.012727193,0.013142957,0.011809746,-0.023607893,0.018304428,0.012610669,-0.018112006,-0.02629465,0.012987043,0.0057827067,0.034578368,0.018479187,-0.01406177,-0.015063932,-0.019074813,0.008857999,0.02624953,-0.013411372,0.035061423,0.00093213946,-0.016821673,0.009315098,0.016312476,-0.014681487,-0.034597047,0.033072326,-3.7996528e-05,-0.011820077,0.015917135,0.033220753,-0.026487492,0.0138972225,-0.011680842,-0.029379144,0.015598067,-0.013674151,-0.040431347
5AR%WP_418203978_1_DUF1295_domain-containing_protein__Bacteroides_sp__,-0.010421918,0.015469327,0.006823403,-0.02034242,-0.0077354806,-0.0147181675,-0.0003004673,0.0050222278,0.014301194,-0.0070024813,-0.0110743595,0.008504022,-0.014699371,-0.049968176,-0.022707414,0.025767429,-0.009811607,0.01383856,-0.032062005,0.010080094,0.03604293,0.005733935,0.023550916,0.008024874,0.022944473,0.04733416,0.02002136,0.027260149,0.0033260006,0.0015696682,0.008940783,-0.017076941,0.017352013,0.004421288,-0.027493715,0.0012008988,0.01415187,0.010008437,0.040784106,0.03984804,0.011749485,0.039057232,0.00029766597,-0.054126047
5BR%CAK7070565_1_MAG__NADPH_dehydrogenase__Parabacteroides_sp__,-0.006133765,0.020990849,-0.015814746,-0.012925791,0.012959528,0.036802173,0.041819442,0.016531741,-0.019220347,-0.024001786,0.0028854478,-0.027891979,-0.028797483,-0.00149853,-0.015184871,-0.016361738,-0.007097544,-0.0076995175,-0.007485535,0.005911114,0.019772619,0.012254476,-0.0013919516,-0.008998695,-0.034764376,-0.03905272,-0.032556526,0.008159327,-0.031326793,-0.015527179,-0.0041122953,-0.017168056,-0.003300807,-0.009445019,-0.0017146798,-0.012016264,0.010252506,0.02848122,-0.028895237,0.02270559,0.0368189,-0.0123554375,0.021310817,0.019655863
5BR%GENOME006024_4796,0.022637896,-0.0011439276,0.014743823,0.010319425,-0.03302819,0.0009851614,-0.0034144125,-0.0049119126,0.028158879,0.03117689,-0.023033686,0.04067584,0.025077315,-0.0054221624,-0.017463766,-0.017008273,-0.010771786,0.022998376,0.05527498,0.013462283,-0.013227632,-0.018441033,0.016192468,-0.016352372,-0.025725776,-0.014264286,-0.03211552,-0.041734457,0.059760526,0.037286907,0.03648783,0.020927154,-0.00067728444,-0.006517485,-0.050964955,-0.018135842,0.013327591,0.005809367,-0.011571853,-0.0087783635,0.012930154,0.014565195,-0.020108975,-0.030454235
5BR%GENOME006521_2122,-0.006693799,-0.0004926979,-0.012481863,0.019079529,-0.03667935,-0.028393056,-0.028761726,0.011695138,0.0069798534,0.0075982823,0.0023446472,0.032065704,0.058341824,0.05253445,0.014924299,0.05289689,-0.02999398,-0.0113050155,0.0013758616,-0.0026431764,-0.049750637,0.0119696725,0.029923722,-0.0015008253,0.014796982,-0.007977045,-0.034580585,-0.032673474,0.04044657,0.038209733,0.033644386,0.021266896,0.00036968052,-0.024286991,0.025070174,-0.024495093,-0.031535763,-0.032370403,-0.03193985,-0.012095627,0.003169873,-0.011450124,-0.004818962,-0.008095
5BR%GENOME141824_1849,-0.018681766,-0.05326557,0.026613234,-0.06130384,0.014820278,-0.014751018,0.074989766,-0.046632748,0.03342506,0.024974814,-0.049551465,0.041779023,0.06797579,-0.037308466,-0.019908983,0.0011709953,0.012728355,0.051611412,0.019534215,-0.027886227,0.017879622,-0.05751397,-0.0241346,0.014174103,-0.015241814,0.026324565,0.04980901,-0.04606765,0.038019933,0.04219082,-0.025058763,0.0027490815,0.052115187,0.00947404,-0.073269434,0.030783553,0.02090279,-0.0054008123,0.040765595,-0.02047062,-0.052137308,0.018180724,-0.06211042,-0.011084871
