,Cluster
3oxoDCA,0
3oxoLCA,0
7oxoDCA,1
Ala_DCA,0
Asn_CA,2
Asn_DCA,2
Asp_CA,2
Asp_DCA,0
CA,1
CDCA,1
DCA,0
GDCA,0
GLCA,0
GUDCA,1
Gln_CA,2
Glu_CA,1
Glu_CDCA,2
Glu_DCA,0
IleLeu_CA,1
LCA,0
Lys_DCA,1
Phe_CA,2
Phe_CDCA,2
Phe_DCA,0
TCDCA,1
TDCA,0
TLCA,0
TUDCA,1
Thr_CA,1
Thr_DCA,0
Trp_CA,1
Trp_DCA,0
Tyr_CA,1
UDCA,3
isoCA_aMCA,1
isoDCA_isoCDCA,0
isoLCA,0
isoUDCA,3
