Family,CA,CDCA,DCA,LCA,UDCA
7aHSDH%GENOME025100_397,1.0,1.0,-1.0,-1.0,0.4431951
7aHSDH%GENOME067790_2714,-1.0,-0.58321005,-0.58047456,1.0,0.8482889
7aHSDH%GENOME070302_884,0.28301895,0.89622116,-1.0,-0.61444134,1.0
7aHSDH%GENOME103762_694,-1.0,-0.6237996,0.7095445,1.0,-0.49648726
7aHSDH%GENOME122758_282,0.8256873,1.0,-1.0,-1.0,-0.3275569
7aHSDH%GENOME215422_1346,-1.0,1.0,-0.6581102,-1.0,-0.14463341
7aHSDH%MBHC130__Clostridiales_bacterium_1_7_47FAA_,1.0,1.0,-1.0,-1.0,0.34821767
7aHSDH%MEO8122524_1_7-alpha-hydroxysteroid_dehydrogenase__Burkholderiales_bacterium_,0.98168635,1.0,-1.0,-1.0,0.7712878
7aHSDH%WP_071121323_1_7alpha-hydroxysteroid_dehydrogenase__Romboutsia_timonensis_,-1.0,-0.32589972,0.8398428,0.45173648,-0.3096278
BSH1%UPI0002624191,0.46805888,1.0,-1.0,-1.0,-1.0
BSH1%UPI000289C842,-1.0,0.33145863,0.10764396,-0.3980021,0.9533236
BSH1%UPI0002CB0E7D,-0.19003068,-1.0,0.7354559,0.3899694,1.0
BSH1%UPI00073AFD00,1.0,1.0,-1.0,-1.0,1.0
BSH1%UPI00076E9CCB,0.21326938,-1.0,0.62699676,-0.14185539,1.0
BSH1%UPI000801FF16,-0.2107369,-0.27896237,-0.4913799,-0.25604367,1.0
BSH2%UPI0001971EB2,0.7381709,0.4857083,-0.8167385,-0.74989504,0.8739486
BSH2%UPI0001C1C05D,0.7242293,1.0,-0.921426,-1.0,0.21074276
BSH2%UPI000508CF7A,1.0,0.12485083,-0.7415512,-1.0,1.0
BSH2%UPI00050FFCF5,-1.0,-0.8377095,1.0,1.0,-0.69565666
BSH2%UPI0005D317A6,1.0,0.89130604,-1.0,-1.0,0.86242104
BSH2%UPI0005DCCFF2,-1.0,-0.3240333,0.5031969,1.0,-0.7850937
BSH2%UPI0006BFFEB7,-0.01393451,0.63601166,0.26376733,0.3573353,-1.0
BSH2%UPI0006C0EB58,-0.5767719,0.6871459,-0.60209054,-0.3414117,0.5735619
BSH2%UPI0006C23C60,1.0,0.33137786,-0.25068066,-0.13928382,-1.0
BSH2%UPI0006C45BC8,-0.1827273,0.9457837,0.13610877,-1.0,-0.52533996
BSH2%UPI0006C4A6B6,-1.0,0.5841912,-0.043837726,-0.06581374,-0.251139
BSH2%UPI0006C52F45,0.85518414,0.47412476,-0.44027466,-1.0,0.40402117
BSH2%UPI0006C5C844,0.04408005,0.55677956,0.31767976,-0.30340618,-1.0
BSH2%UPI000821FD65,0.96199733,0.79795283,-0.49642006,-1.0,-0.35477665
BSH2%UPI000960BD65,-0.71764225,-0.17229451,-0.047678392,0.5276899,0.43066287
