,Cluster
3oxoDCA,0
3oxoLCA,0
7oxoDCA,1
CA,1
CDCA,1
DCA,0
GCA,2
GCDCA,2
GDCA,0
GUDCA,1
HCA,1
LCA,0
TCA,3
TCDCA,3
TDCA,0
UDCA,1
