Family,Cluster
12aHSDH%GENOME015584_936,0
12aHSDH%GENOME051950_684,1
12aHSDH%GENOME055489_1547,0
12aHSDH%GENOME077010_272,2
12aHSDH%GENOME136792_1072,2
12aHSDH%GENOME211747_1057,0
12aHSDH%GENOME225739_454,0
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,3
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0
12aHSDH%MBR0327374_1_SDR_family_oxidoreductase__Clostridia_bacterium_,2
12aHSDH%MBR2336230_1_SDR_family_oxidoreductase__Clostridia_bacterium_,4
12aHSDH%MBR6823493_1_SDR_family_oxidoreductase__Bacillota_bacterium_,5
12aHSDH%MFR3091303_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_lenta_,5
12aHSDH%NCB62655_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0
12aHSDH%WP_055231566_1_SDR_family_NAD(P)-dependent_oxidoreductase__Anaerostipes_hadrus_,6
12aHSDH%WP_130435990_1_SDR_family_NAD(P)-dependent_oxidoreductase__Cuneatibacter_caecimuris_,0
12aHSDH%WP_160708750_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enterorhabdus_sp__P55_,3
12aHSDH%WP_161844252_1_SDR_family_NAD(P)-dependent_oxidoreductase__Pseudoflavonifractor_sp__524-17_,3
12aHSDH%WP_256285936_1_SDR_family_NAD(P)-dependent_oxidoreductase__Pseudoflavonifractor_phocaeensis_,5
12aHSDH%WP_278514144_1_SDR_family_NAD(P)-dependent_oxidoreductase__Methanobrevibacter_smithii_,3
12aHSDH%WP_418471294_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_sp__,5
12bHSDH%GENOME225741_180,4
12bHSDH%MDD6456291_1_SDR_family_NAD(P)-dependent_oxidoreductase__Lachnospiraceae_bacterium_,6
3aHSDH%3aHSDH%MBO5160353_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,3
3aHSDH%3aHSDH%MBQ7891058_1_3-oxoacyl-ACP_reductase_FabG__Erysipelotrichaceae_bacterium_,2
3aHSDH%3aHSDH%MBR6526164_1_3-oxoacyl-ACP_reductase_FabG__Clostridia_bacterium_,0
3aHSDH%3aHSDH%MCI8514525_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,5
3aHSDH%3aHSDH%MCM1345206_1_3-oxoacyl-ACP_reductase_FabG__Muribaculaceae_bacterium_,0
3aHSDH%3aHSDH%WP_270387972_1_SDR_family_NAD(P)-dependent_oxidoreductase__Blautia_hansenii_,3
3aHSDH%CAG5237306_1_short_chain_dehydrogenase__Streptococcus_pneumoniae_,6
3aHSDH%GENOME060426_131,1
3aHSDH%MBQ9141038_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,1
3aHSDH%MCI6899085_1_SDR_family_oxidoreductase__Mycoplasmatota_bacterium_,0
3aHSDH%MCI7742844_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,1
3aHSDH%MCI8568452_1_3-oxoacyl-ACP_reductase_FabG__Bacilli_bacterium_,0
3aHSDH%MCM1266841_1_3-oxoacyl-ACP_reductase_FabG__Bacteroidales_bacterium_,4
3aHSDH%MDE7008868_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,6
3aHSDH%MFR0796835_1_SDR_family_NAD(P)-dependent_oxidoreductase__Oscillospiraceae_bacterium_,0
3aHSDH%WP_020436139_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_,6
3aHSDH%WP_044950032_1_SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_gnavus_,0
3aHSDH%WP_087213392_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__Sellimonas_,0
3aHSDH%WP_104968339_1_3-oxoacyl-ACP_reductase__Streptococcus_pluranimalium_,6
3aHSDH%WP_109137584_1_SDR_family_oxidoreductase__Bifidobacterium_catulorum_,3
3aHSDH%WP_182279434_1_SDR_family_NAD(P)-dependent_oxidoreductase__Collinsella_intestinalis_,3
3aHSDH%WP_191282235_1_SDR_family_oxidoreductase__Pseudolysinimonas_yzui_,2
3aHSDH%WP_231385278_1_SDR_family_NAD(P)-dependent_oxidoreductase__Candidatus_Stoquefichus_massiliensis_,0
3aHSDH%WP_289544896_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enorma_phocaeensis_,5
3aHSDH%WP_316269050_1_SDR_family_NAD(P)-dependent_oxidoreductase__Claveliimonas_bilis_,2
3aHSDH%WP_377204125_1_MULTISPECIES__SDR_family_oxidoreductase__unclassified_Pseudarthrobacter_,1
3aHSDH%WP_427737837_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bariatricus_sp__SGI_154_,0
3bHSDH%GENOME124823_1686,0
3bHSDH%MEY8522072_1_aldo_keto_reductase__Lachnospiraceae_bacterium_38-10_,5
5AR%GENOME006039_2690,6
5AR%GENOME012336_2253,2
5AR%GENOME078645_81,1
5AR%GENOME084343_2181,3
5AR%GENOME107567_81,0
5AR%GENOME140582_2251,6
5AR%GENOME142018_414,2
5AR%GENOME179594_130,0
5AR%HIU55603_1_DUF1295_domain-containing_protein__Candidatus_Gallibacteroides_avistercoris_,4
5AR%MBD5276024_1_DUF1295_domain-containing_protein__Bacteroides_sp__,3
5AR%MBO5195293_1_DUF1295_domain-containing_protein__Bacteroidales_bacterium_,1
5AR%MBP3601379_1_DUF1295_domain-containing_protein__Alistipes_sp__,2
5AR%MBR4740186_1_DUF1295_domain-containing_protein__Bacteroidales_bacterium_,0
5AR%MCD7962281_1_DUF1295_domain-containing_protein__Rikenellaceae_bacterium_,6
5AR%MCQ2341803_1_DUF1295_domain-containing_protein__Paludibacteraceae_bacterium_,5
5AR%MDE7159808_1_DUF1295_domain-containing_protein__Muribaculaceae_bacterium_,0
5AR%WP_005657188_1_DUF1295_domain-containing_protein__Bacteroides_stercoris_,0
5AR%WP_035471352_1_MULTISPECIES__DUF1295_domain-containing_protein__Rikenellaceae_,6
5AR%WP_282194747_1_DUF1295_domain-containing_protein__Alistipes_ihumii_,6
5AR%WP_300108487_1_DUF1295_domain-containing_protein__uncultured_Alistipes_sp__,1
5AR%WP_418203978_1_DUF1295_domain-containing_protein__Bacteroides_sp__,0
5BR%CAK7070565_1_MAG__NADPH_dehydrogenase__Parabacteroides_sp__,3
5BR%GENOME006024_4796,0
5BR%GENOME006521_2122,2
5BR%HIX74022_1_NADH_flavin_oxidoreductase__Candidatus_Parabacteroides_intestinipullorum_,0
5BR%MBO4402754_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,3
5BR%MBO7234306_1_NADH_flavin_oxidoreductase__Paludibacteraceae_bacterium_,0
5BR%MBO8446450_1_NADH_flavin_oxidoreductase__Candidatus_Enterocola_intestinipullorum_,0
5BR%MCA9548846_1_NADH_flavin_oxidoreductase__Myxococcales_bacterium_,4
5BR%MCH5231198_1_NADH_flavin_oxidoreductase__Muribaculaceae_bacterium_,5
5BR%MCQ2271787_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,1
5BR%MDD5892138_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,0
5BR%MEI7492181_1_NADH_flavin_oxidoreductase__Bacteroidota_bacterium_,2
5BR%MEZ3591839_1_NADH_flavin_oxidoreductase__Muribaculaceae_bacterium_,3
5BR%WP_071425025_1_NADH_flavin_oxidoreductase__Tidjanibacter_massiliensis_,1
5BR%WP_259010233_1_NADH_flavin_oxidoreductase__Parabacteroides_distasonis_,2
5BR%WP_279088787_1_NADH_flavin_oxidoreductase__Alistipes_putredinis_,1
5BR%WP_295936477_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,6
5BR%WP_300285921_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,5
5BR%WP_302380465_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,6
5BR%WP_394671717_1_NADH_flavin_oxidoreductase__Muribaculum_sp__,3
5BR%WP_418992344_1_NADH_flavin_oxidoreductase__Alistipes_sp__,0
7aHSDH%GENOME007043_1033,1
7aHSDH%GENOME018142_1887,4
7aHSDH%GENOME025100_397,0
7aHSDH%GENOME086444_1757,6
7aHSDH%GENOME122758_282,0
7aHSDH%GENOME150027_3593,0
7aHSDH%GENOME215422_1346,0
7aHSDH%MBE5948790_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,1
7aHSDH%MBHC130__Clostridiales_bacterium_1_7_47FAA_,0
7aHSDH%WP_071121323_1_7alpha-hydroxysteroid_dehydrogenase__Romboutsia_timonensis_,2
7aHSDH%WP_262434703_1_7alpha-hydroxysteroid_dehydrogenase__Jilunia_laotingensis_,6
7aHSDH%WP_288686302_1_SDR_family_NAD(P)-dependent_oxidoreductase__partial__uncultured_Bacteroides_sp__,0
7aHSDH%WP_303013929_1_7alpha-hydroxysteroid_dehydrogenase__uncultured_Bacteroides_sp__,5
BSH1%UPI0002624191,0
BSH1%UPI000289C842,2
BSH1%UPI0002CB0E7D,2
BSH1%UPI0002F95F26,1
BSH1%UPI000334E1FF,6
BSH1%UPI00033F0DE9,2
BSH1%UPI0003A10C39,6
BSH1%UPI00044AC395,4
BSH1%UPI0004BCDDD9,5
BSH1%UPI0004D6A0E9,1
BSH1%UPI0004F8D610,2
BSH1%UPI00064A1F29,1
BSH1%UPI00070D1B8F,6
BSH1%UPI00073AFD00,0
BSH1%UPI00076E9CCB,2
BSH1%UPI000949473C,4
BSH1%UPI00095B1DAC,2
BSH1%UPI00095C7CBB,1
BSH1%UPI000A00C8F6,1
BSH1%UPI000BCCCB22,1
BSH1%UPI000CF9C992,5
BSH2%UPI0000382136,0
BSH2%UPI00017C25E3,3
BSH2%UPI0001C1C05D,5
BSH2%UPI0001CF4F1D,2
BSH2%UPI0002814877,5
BSH2%UPI00038B932A,3
BSH2%UPI000396CDDF,6
BSH2%UPI0003AD64AE,3
BSH2%UPI000508CF7A,4
BSH2%UPI00050FFCF5,2
BSH2%UPI0005D317A6,5
BSH2%UPI0006C0EB58,0
BSH2%UPI0006C1ADDE,4
BSH2%UPI0006C23C60,4
BSH2%UPI0006C45BC8,6
BSH2%UPI0006C4A6B6,3
BSH2%UPI0006CAB5AD,6
BSH2%UPI0006CABE2C,2
BSH2%UPI00082051E1,1
BSH2%UPI00082062C1,6
BSH2%UPI000820857A,0
BSH2%UPI000820B778,1
BSH2%UPI000821232B,1
BSH2%UPI0008219BA0,5
BSH2%UPI000821B1D8,2
BSH2%UPI000821B9AC,6
BSH2%UPI000821FD65,0
BSH2%UPI0008221FCC,0
BSH2%UPI0008222B5A,4
BSH2%UPI000822F9A5,4
BSH2%UPI0008E59C2D,6
BSH2%UPI00095B7069,3
BSH2%UPI000960BD65,2
BSH2%UPI0009611255,1
BSH2%UPI000961A2BF,2
BSH2%UPI000965B48B,0
BSH2%UPI00096829BD,1
BSH2%UPI000D6581CE,6
BSH2%UPI000D7A6AEA,5
BSH2%UPI000D7ABA35,0
BSH2%UPI000D7ADB68,1
BSH2%UPI000D7AF0AB,6
