Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GDCA,GUDCA,LCA,TCDCA,TDCA,TUDCA,UDCA
3aHSDH%MCI8568452_1_3-oxoacyl-ACP_reductase_FabG__Bacilli_bacterium_,-0.0053211576,-0.0018763384,-0.0010745138,0.00669266,0.041495595,-0.01246991,-0.05038503,0.041484345,-0.024168348,0.016433714,0.023694925,0.0034817988,-0.00077352906
3aHSDH%MCI8931631_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,0.051907927,0.029377786,-0.032760154,-0.009090037,-0.04354974,0.017082207,0.00683422,0.062300764,0.027494982,-0.022557726,-0.0064783925,-0.06750301,0.007481423
3aHSDH%MCM1266841_1_3-oxoacyl-ACP_reductase_FabG__Bacteroidales_bacterium_,-0.034693968,-0.05581626,0.041245308,0.060707718,0.025648277,-0.045080204,0.014369475,0.044031337,-0.035527695,0.010591558,-0.07139242,0.013030106,0.01519271
3aHSDH%MDE7008868_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,-0.009182256,0.043073665,-0.017524363,-0.03792127,0.019563802,-0.0032810783,-0.03655397,-0.04581422,0.012712493,0.0062949182,-0.008898746,0.02667398,-0.03251477
3aHSDH%MDE7415347_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,0.055061787,-0.00990717,-0.035990506,-0.05795874,-0.053321857,0.07751105,0.056713365,-0.086383194,0.028398223,-0.027048163,0.05996066,0.018521957,-0.074409135
3aHSDH%WP_008977467_1_SDR_family_NAD(P)-dependent_oxidoreductase__Faecalimonas_umbilicata_,-0.0112335775,-0.043557987,-0.0033516902,0.0011320773,0.027671823,-0.004293013,0.010447231,-0.0289006,-0.008527633,-0.027992034,0.07167682,0.04398584,-0.046365313
3aHSDH%WP_020436139_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_,0.035546035,-0.0059179976,-0.030580234,-0.0013160584,-0.040149488,0.02363608,-0.0325048,0.06169885,0.00058612466,-0.050129175,0.053180236,-0.0030344275,0.028218687
3aHSDH%WP_021919520_1_SDR_family_oxidoreductase__Evtepia_gabavorous_,-0.007515876,-0.022996614,0.016711844,0.005217397,0.010334146,-0.016800024,0.017460339,0.033430412,0.0018949471,0.00837355,-0.01825438,-0.072085604,0.02335363
3aHSDH%WP_044950032_1_SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_gnavus_,-0.059355106,-0.0033776949,0.018044902,0.00943336,-0.01133364,-0.0588483,-0.002922642,0.01983287,-0.07575199,0.04488662,0.027056439,0.00080722227,0.018514968
3aHSDH%WP_087213392_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__Sellimonas_,-0.03404315,-0.02435059,0.030758293,0.02855351,0.030744372,-0.038436793,-0.024289861,0.049594145,-0.006187635,0.028435076,-0.013428008,0.009247597,0.018543808
