Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GDCA,GUDCA,LCA,TCDCA,TDCA,TUDCA,UDCA
3aHSDH%MCI8931631_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,0.57147807,0.32343346,-0.3606715,-0.10007637,-0.47945896,0.18806581,0.07524105,0.6858976,0.3027048,-0.24834831,-0.07132358,-0.7431715,0.08236641
3aHSDH%MCM1266841_1_3-oxoacyl-ACP_reductase_FabG__Bacteroidales_bacterium_,-0.38196173,-0.61450666,0.45408842,0.668359,0.2823736,-0.49630854,0.15820011,0.4847611,-0.3911406,0.1166073,-0.7859917,0.14345439,0.16726348
3aHSDH%MDE7008868_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,-0.101091646,0.47421765,-0.19293372,-0.41749257,0.21538682,-0.03612289,-0.40243936,-0.50438964,0.13995764,0.06930363,-0.09797036,0.29366603,-0.35796994
3aHSDH%MDE7415347_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,0.60620034,-0.10907256,-0.3962359,-0.63809425,-0.58704466,0.8533545,0.62438333,-0.95103204,0.312649,-0.29778558,0.66013426,0.20391668,-0.81920415
3aHSDH%WP_008977467_1_SDR_family_NAD(P)-dependent_oxidoreductase__Faecalimonas_umbilicata_,-0.123675585,-0.47954977,-0.03690029,0.012463556,0.30465174,-0.047263738,0.11501834,-0.3181799,-0.0938846,-0.30817708,0.7891228,0.4842602,-0.5104569
3aHSDH%WP_020436139_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_,0.39134252,-0.065153934,-0.33667177,-0.014489088,-0.44202405,0.2602204,-0.3578602,0.6792708,0.006452914,-0.55189496,0.5854855,-0.033407398,0.3106724
3aHSDH%WP_021919520_1_SDR_family_oxidoreductase__Evtepia_gabavorous_,-0.08274571,-0.25318024,0.18398832,0.057440706,0.11377333,-0.18495913,0.19222884,0.36805066,0.020862339,0.09218824,-0.20097081,-0.7936233,0.25711077
3aHSDH%WP_044950032_1_SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_gnavus_,-0.6534675,-0.037186585,0.19866456,0.10385617,-0.12477721,-0.6478878,-0.0321767,0.21834913,-0.83398825,0.49417728,0.2978767,0.008887079,0.20383975
3aHSDH%WP_087213392_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__Sellimonas_,-0.37479657,-0.26808676,0.3386321,0.31435862,0.33847883,-0.4231682,-0.26741818,0.5460046,-0.0681225,0.31305474,-0.14783508,0.10181102,0.20415725
3aHSDH%WP_104968339_1_3-oxoacyl-ACP_reductase__Streptococcus_pluranimalium_,0.24893902,-1.0,-0.46891892,-0.10485476,0.012001523,0.2540353,0.20465246,-0.0977395,0.13768655,-0.24891761,0.6671058,1.0,-0.37603676
