SampleID,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Mean
LCA,0.430843100810003,0.5148148957378214,0.41645614825518973,0.4914769238419352,0.32828214715971543,0.44545909337825723,0.27858950529617355,0.44975773744630926,0.42820763381323745,0.47592518227139874,0.42598123680100414
DCA,0.39203852392752386,0.4283375989524433,0.4486422975124295,0.3558211950916122,0.43225425852439453,0.4484260656576349,0.3615283599002168,0.4423323958263484,0.4660414276124311,0.3418983499324557,0.411732047293749
7oxoDCA,0.22595211707561105,0.3047584569634567,0.41411300864400014,0.3386040161864988,0.3019602510097726,0.3804629621955896,0.2957754172257679,0.3152389211311261,0.45347474042759656,0.4131086983219051,0.34434485891813243
TCA,0.3841438009642283,0.1946855182670712,0.33902743884292597,0.3210820784477114,0.35891210514142086,0.35936114411514075,0.3271682140680293,0.307046973545125,0.3312943247049037,0.42110777010711387,0.334382936820367
GDCA,0.319459962826203,0.2432114875621478,0.3133094097021048,0.31792449063083195,0.26208995998580553,0.216043122809899,0.3394188411027372,0.29826735750358435,0.255904372780704,0.33521211440850035,0.29008411193125183
3oxoLCA,0.2546107487574202,0.2707885832594352,0.2992727979573247,0.3151827912594111,0.2654618961047376,0.3414123933249904,0.2534290077670181,0.17573095031263206,0.2941265551553215,0.37030119515188586,0.2840316919050177
CA,0.2427021749006802,0.23858397518532273,0.21405409111422688,0.25881521518836653,0.27494596087182877,0.27761683866014597,0.23914263692863366,0.2779619055225013,0.20046237452713406,0.20242428306331975,0.242670945596216
GUDCA,0.26215023367355317,0.2455410655935941,0.22236055870694854,0.3138352976277029,0.09506479044722321,0.18944660467015595,0.26499552844579016,0.19366161899645815,0.20814952997824868,0.29818146749854396,0.2293386695638219
CDCA,0.24801944429166733,0.14226812900678756,0.20896887542106818,0.21411210453868398,0.2756903409155121,0.28067422147114507,0.26099975965867006,0.1836618374885762,0.25740594102671704,0.15819884138903725,0.22299994952078644
3oxoDCA,0.16697205335125467,0.30417154192901413,0.26465347526782235,0.24935073936979335,0.20601998524801488,0.1984168362491985,0.16253440309083467,0.22482424569363332,0.17155624401501113,0.2356283042223978,0.21841278284369747
TCDCA,0.2555223882846033,0.20750234125605843,0.2305683281359834,0.1441716474079677,0.17112679398980918,0.17236127445699054,0.1762364958686154,0.22723180280860314,0.1955425347647329,0.1725304174932324,0.19527940244665962
GCDCA,0.24030704923380838,0.20036480649509256,0.16405216989042995,0.159926435964104,0.13924804054008236,0.1218229174122396,0.1415584063335591,0.22454811686163945,0.173775822566318,0.16369994552765466,0.1729303710824928
GCA,0.1799041497680593,0.16824797197876254,0.18648716660174686,0.21058044314722071,0.16775523458142558,0.13002654302524186,0.16086595207187032,0.12393098964121332,0.21091759908805904,0.1866291864785022,0.17253452363821015
isoUDCA,0.19734999197606531,0.1982725561091526,-0.013286204332321989,0.2279110119274093,0.12190391018015048,0.26547319742119024,0.12173514385445712,0.21843636492402876,0.0973695055824736,0.27148813474785627,0.17066536123904616
GLCA,0.11569082310501409,0.19491342814886695,0.16313148931008475,0.14218035544900504,0.12690210573662353,0.12111206460736587,0.11819293456763799,0.1373708918772918,0.1447728774432504,0.06269405302125626,0.1326961023266397
TDCA,0.15866031181085513,0.09758536072671983,0.02995150228399605,0.01947442851126251,0.08803838529804207,0.07527128810144663,0.1307905120174432,0.2350086153702424,-0.0012661241532488645,0.12979411261686502,0.0963308392583624
TUDCA,0.00016047869362809174,0.04017128275215685,0.0862256541390318,0.028131236914017317,0.0927148700461621,0.05260461440284973,0.02763962964832563,0.06335178963880238,0.05889756411425178,0.09897768291369032,0.05488748032629161
TLCA,0.028036682566363207,0.05241136189150886,0.051563386447009245,0.05122397024288035,0.03604479540473404,0.041714665869044855,0.07722566242666387,0.0359016453963334,0.08287481381081144,0.05358858235532995,0.05105855664106792
UDCA,0.004423335259579936,0.08479453076557376,-0.028480824302953633,-0.08645808454740864,-0.017003960734706114,0.09544074757454912,-0.0602623864311874,-0.04196216469935861,0.10212396941411714,-0.1286168921530439,-0.007600172985483833
