Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GUDCA,LCA,TCA,TCDCA,TDCA,UDCA
3aHSDH%MCI8568452_1_3-oxoacyl-ACP_reductase_FabG__Bacilli_bacterium_,-0.1036267,-0.09878551,-0.042554803,0.16283654,0.8802658,-0.24531052,-0.36659643,-0.6190451,-1.0,0.914316,-0.46138495,0.76056635,0.3880752,0.33510095,-0.09697235
3aHSDH%MCM1266841_1_3-oxoacyl-ACP_reductase_FabG__Bacteroidales_bacterium_,-0.81227833,-1.0,0.8094056,1.0,0.5547132,-1.0,1.0,1.0,0.15229268,0.89984286,-0.77040005,-0.18149476,0.1916011,-1.0,0.16019231
3aHSDH%MDE7008868_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,-0.025029859,0.94414175,-0.41208208,-0.9505485,0.40582415,0.08747681,-1.0,-0.28527257,-0.6767103,-1.0,0.39585343,0.14548619,0.16000316,0.08308558,-0.58415216
3aHSDH%MDE7415347_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,1.0,-0.029829009,-0.6145892,-1.0,-1.0,1.0,-1.0,-0.66601807,1.0,-1.0,0.80630827,-0.8272929,-0.5186294,1.0,-1.0
3aHSDH%MFR0796835_1_SDR_family_NAD(P)-dependent_oxidoreductase__Oscillospiraceae_bacterium_,-1.0,0.2758689,0.13629016,0.57883686,0.999913,-0.7831374,0.8233844,0.63300145,-1.0,-0.23764098,-0.35027477,0.76940566,1.0,0.4878819,-0.93837833
3aHSDH%WP_008977467_1_SDR_family_NAD(P)-dependent_oxidoreductase__Faecalimonas_umbilicata_,-0.3177544,-0.89918613,-0.10264859,0.11942315,0.64208,-0.20040143,0.7926843,-0.8314602,0.13659266,-0.52530307,-0.2870402,0.715127,-0.6597804,1.0,-0.98468655
3aHSDH%WP_020436139_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_,0.62359935,-0.17271696,-0.77491283,-0.20625113,-0.85507935,0.41687343,-0.6905286,0.5433072,-0.65304095,1.0,-0.026890522,0.5492057,-0.95661277,1.0,0.5084647
3aHSDH%WP_021919520_1_SDR_family_oxidoreductase__Evtepia_gabavorous_,-0.22981757,-0.572415,0.30976707,0.07549576,0.166061,-0.4082238,0.20850642,0.20673935,0.27574825,0.62109727,-0.044835884,0.86562055,0.103575274,-0.34323692,0.4075271
3aHSDH%WP_044950032_1_SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_gnavus_,-1.0,-0.18681286,0.27082038,0.07605584,-0.2450857,-1.0,0.5604709,0.8008549,-0.21402122,0.4300675,-1.0,0.7792013,0.9271806,0.36925536,0.3003627
3aHSDH%WP_087213392_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__Sellimonas_,-0.75416166,-0.5956006,0.6246367,0.6176261,0.59696156,-0.84640956,1.0,-0.14953558,-0.58013994,1.0,-0.34815186,0.6893371,0.5113499,-0.365805,0.41765958
3aHSDH%WP_104968339_1_3-oxoacyl-ACP_reductase__Streptococcus_pluranimalium_,0.5023574,-1.0,-1.0,-0.45643196,-0.03907936,0.48635533,-1.0,-0.1927336,0.33203903,-0.31145748,0.214046,1.0,-0.52018756,1.0,-0.8702125
3aHSDH%WP_109137584_1_SDR_family_oxidoreductase__Bifidobacterium_catulorum_,0.49015158,0.73950046,-0.8550186,-1.0,-0.92506146,0.4780009,0.7056248,1.0,1.0,-0.672759,0.7366608,-1.0,0.3452343,-0.7498816,-0.1061429
3aHSDH%WP_182279434_1_SDR_family_NAD(P)-dependent_oxidoreductase__Collinsella_intestinalis_,0.00696412,0.2603755,-0.27248073,-0.2765178,0.18301351,-0.3017334,-0.083092436,0.5157444,-0.18600357,0.2069854,0.3432796,-1.0,-0.42780647,-0.4380209,-0.10019618
3aHSDH%WP_231385278_1_SDR_family_NAD(P)-dependent_oxidoreductase__Candidatus_Stoquefichus_massiliensis_,-0.7070755,-1.0,0.18889984,0.43775764,1.0,-0.96661735,0.07004123,0.2701252,-1.0,-0.23509675,-1.0,1.0,0.18295503,0.6067415,-0.59690577
3aHSDH%WP_289544896_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enorma_phocaeensis_,-0.14970483,1.0,0.74164444,0.5604598,0.058286346,-0.32902676,-1.0,-0.534831,-0.7623546,-0.5710727,0.40236396,0.26535183,-1.0,1.0,0.015900828
3aHSDH%WP_316269050_1_SDR_family_NAD(P)-dependent_oxidoreductase__Claveliimonas_bilis_,0.8395763,0.032781534,-0.36500862,-0.6071128,-0.7450538,1.0,-0.9746524,-0.5850515,1.0,-0.026735026,0.12217541,-0.18984711,-1.0,0.7574109,-0.7444619
3aHSDH%WP_427737837_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bariatricus_sp__SGI_154_,-1.0,0.44977325,0.276672,0.5082377,0.6273892,-1.0,0.8367795,1.0,-1.0,1.0,-1.0,0.58529764,0.7920394,0.36414045,1.0
3bHSDH%GENOME124823_1686,-0.94630754,-1.0,1.0,1.0,0.61885494,-1.0,0.35877275,-0.3785396,-0.4017224,1.0,-0.6522518,1.0,0.4840469,-0.7308514,0.658932
3bHSDH%MEY8522072_1_aldo_keto_reductase__Lachnospiraceae_bacterium_38-10_,-0.06978189,-1.0,1.0,1.0,0.25344732,-0.13416205,1.0,-0.17614332,0.02398054,0.06597834,0.41401288,-0.40771106,-0.6523825,-1.0,1.0
5AR%GENOME012336_2253,1.0,0.49593663,-1.0,-1.0,-1.0,1.0,-0.8852366,-0.5260239,1.0,-0.955974,1.0,-0.8338599,-1.0,0.06111176,-0.121843174
5AR%GENOME021742_2120,0.5211563,-0.10844406,-0.20929778,-0.44092512,-0.42614013,0.55986,1.0,0.5075948,0.92438376,-0.11173488,0.8143425,-0.41515154,-0.73489714,-0.34558344,-0.02250216
5AR%GENOME078645_81,0.72281164,-1.0,-0.8147353,-0.15734921,-0.49578577,0.36329517,0.6831728,0.1496493,0.88954306,-0.9390318,0.59219766,-0.10774135,0.6909814,-0.44055593,-1.0
5AR%GENOME107567_81,-1.0,-0.22879978,1.0,0.7628287,1.0,-1.0,1.0,0.4564028,-1.0,1.0,-1.0,0.42605057,0.28996116,-0.5964252,0.8648252
5AR%GENOME142018_414,1.0,1.0,-0.043121345,-0.3914268,-0.65147024,1.0,-0.3911569,-0.6359906,0.7602555,-0.58563566,0.80210084,-0.5911513,-1.0,1.0,-0.76345825
5AR%GENOME170052_106,-0.12928149,0.6179427,0.34935972,-0.22587772,-0.6606467,-0.03381579,0.90906405,-0.0388436,-0.019785471,-0.33516955,0.009131816,-0.09154917,0.23711972,-0.028791243,0.45492753
5AR%GENOME179896_434,0.5917444,-0.33498323,-0.10292656,-0.9666532,-0.08773005,0.71858156,-0.4830192,0.7080737,-0.07625873,-0.8957421,0.09730754,-0.30164963,-0.26035875,1.0,-0.3904093
5AR%MBD5276024_1_DUF1295_domain-containing_protein__Bacteroides_sp__,0.85552454,0.5754276,0.17446715,1.0,0.19307184,0.44468406,0.62568,0.54819566,-0.18084374,0.8046861,0.95367855,-1.0,-1.0,-1.0,0.020132761
5AR%MBO5195293_1_DUF1295_domain-containing_protein__Bacteroidales_bacterium_,0.13501142,-1.0,0.05417614,-0.1398708,-0.66646445,0.019622207,1.0,1.0,0.869522,1.0,0.046595905,1.0,0.6088036,-1.0,-1.0
5AR%MBP3601379_1_DUF1295_domain-containing_protein__Alistipes_sp__,1.0,1.0,-1.0,-1.0,-0.81690526,1.0,-1.0,-0.14817561,0.21608794,-1.0,0.38689148,0.35083082,-1.0,0.842148,-0.63520354
5AR%MCD7962281_1_DUF1295_domain-containing_protein__Rikenellaceae_bacterium_,-0.18822792,0.49364802,-0.45393386,-0.7624183,-0.8737081,-0.029138539,0.7576866,0.33877447,0.112827875,-0.32482517,-0.18006048,0.27475476,-0.9443299,1.0,-0.92028964
5AR%MCQ2341803_1_DUF1295_domain-containing_protein__Paludibacteraceae_bacterium_,-0.00058393355,0.95434445,0.70940185,-0.06809422,-0.3199763,-0.077841535,-1.0,-1.0,-1.0,0.77149427,-0.38601023,0.7538732,0.9308777,0.6519332,0.91487527
5AR%MCR5660240_1_DUF1295_domain-containing_protein__Bacteroidales_bacterium_,0.21608084,1.0,-0.040075023,0.024020845,-0.3898074,0.1869425,-0.027499687,-0.7876824,0.8535801,0.40484264,-0.11922902,-0.36771697,-0.6286407,-0.18181251,0.60701215
5AR%MDE7159808_1_DUF1295_domain-containing_protein__Muribaculaceae_bacterium_,-0.7024971,-0.03512619,0.6883561,0.0875309,0.17710002,-0.93384993,0.77306354,-0.41188976,-0.9392931,-0.6585362,-0.6594396,1.0,1.0,-0.36851448,0.5064403
5AR%WP_005657188_1_DUF1295_domain-containing_protein__Bacteroides_stercoris_,-0.57865953,-0.5996163,0.08949741,0.18999872,0.7378974,-0.5326848,-0.37402478,0.6030337,-0.584462,-0.33204412,0.33550298,0.42635038,-0.039049763,-0.0052044494,-0.45062542
5AR%WP_282194747_1_DUF1295_domain-containing_protein__Alistipes_ihumii_,0.21432076,-1.0,-0.7353066,-0.32273605,-0.044970207,0.1664685,0.021621846,-0.5520094,1.0,-1.0,-0.00036398237,-0.23075405,-0.14445288,1.0,0.37666833
5AR%WP_300108487_1_DUF1295_domain-containing_protein__uncultured_Alistipes_sp__,0.7594989,0.42631948,-0.65674263,-0.3676138,-0.58973294,0.62577057,0.86101377,0.5376653,1.0,-0.21703354,0.91491055,-0.40102005,0.39779973,-0.27005383,-0.3773249
5AR%WP_346709278_1_DUF1295_domain-containing_protein__Phocaeicola_salanitronis_,-0.3182373,-1.0,0.6923289,0.78148717,1.0,-0.24751896,-0.3738884,-0.66530585,-0.6660186,0.6602146,-0.70400965,0.2570213,-0.26124272,0.385294,-0.6533589
5AR%WP_418203978_1_DUF1295_domain-containing_protein__Bacteroides_sp__,-1.0,-0.5751595,-0.44962814,0.109719396,1.0,-1.0,0.17762302,0.7089542,-1.0,-0.24258037,-1.0,1.0,1.0,-0.04401699,-0.17488486
5BR%CAK7070565_1_MAG__NADPH_dehydrogenase__Parabacteroides_sp__,0.779353,0.80976707,-0.5942048,-0.9355199,-0.08272788,0.7148979,-0.014285839,1.0,-0.16502123,-0.66344035,1.0,-1.0,1.0,-1.0,-1.0
5BR%GENOME006024_4796,-1.0,-1.0,1.0,1.0,0.7560128,-1.0,0.010986659,0.8915214,-1.0,-0.2875889,0.16365646,0.014361076,1.0,-0.94239974,1.0
5BR%MBO7234306_1_NADH_flavin_oxidoreductase__Paludibacteraceae_bacterium_,-0.7421319,-0.56200874,0.67359173,0.4812261,0.1283891,-0.4944279,-0.40951937,0.07004012,-0.27537134,0.2684871,-0.44195127,0.78855884,0.85938025,-0.19711047,-0.5158977
5BR%MBO8446450_1_NADH_flavin_oxidoreductase__Candidatus_Enterocola_intestinipullorum_,-0.90546626,-1.0,0.9228423,0.7036167,0.34242818,-0.43226147,-1.0,-0.48489922,-0.14490223,-1.0,-0.114322655,0.73800594,1.0,-0.47072917,0.3464138
5BR%MCA9548846_1_NADH_flavin_oxidoreductase__Myxococcales_bacterium_,-0.22401392,-0.43473393,-0.07480592,0.0738342,0.44809112,-0.33373544,1.0,1.0,0.7835751,0.036075823,-0.13286039,-0.6406499,0.23871358,-0.56145996,0.89063114
5BR%MCH5231198_1_NADH_flavin_oxidoreductase__Muribaculaceae_bacterium_,-1.0,-0.6846311,1.0,1.0,0.76227915,-1.0,0.09608646,-1.0,-0.63716483,0.93042636,-1.0,0.43862164,0.20468433,0.00019367486,1.0
5BR%MCQ2271787_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,0.25984395,-0.6270919,-0.06105178,-0.4656676,-0.038646672,0.09495211,0.54161614,0.70051324,0.024833132,0.9202665,0.13881898,1.0,0.04745832,-0.88528,-0.9729134
5BR%MCR4591939_1_NADH_flavin_oxidoreductase__Bacteroidaceae_bacterium_,-0.58235437,-0.00083974417,-0.1753528,0.31088844,0.32551438,-0.18493901,-0.8852504,-0.6908513,-0.13670164,-0.92648035,-0.86123323,1.0,1.0,1.0,-0.2568761
5BR%MDD5892138_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,-0.6777722,-0.90703315,-0.228127,0.14783585,0.0948479,-0.994832,0.1834906,0.56325257,-0.23548622,0.8029857,-0.9793515,0.37295046,1.0,-0.916818,1.0
5BR%MEI7492181_1_NADH_flavin_oxidoreductase__Bacteroidota_bacterium_,0.6568594,0.5734919,-0.38516152,-0.519593,-0.8575259,0.5420764,0.4921622,-1.0,0.5620998,-0.5087375,0.8568369,-0.6611508,-0.65123725,-1.0,1.0
5BR%WP_071425025_1_NADH_flavin_oxidoreductase__Tidjanibacter_massiliensis_,-0.1319586,-0.5374975,0.0864538,0.0058244388,-0.46458015,-0.34435827,0.35181078,0.104313515,0.5807506,1.0,-0.7765986,0.5486012,0.93497103,-0.61152506,-0.25518122
5BR%WP_259010233_1_NADH_flavin_oxidoreductase__Parabacteroides_distasonis_,0.37363616,1.0,0.15356553,-0.022553788,-0.5931801,0.5004706,-1.0,-1.0,0.16643621,-0.25319916,1.0,-0.46106502,0.260144,0.36682796,0.1958784
5BR%WP_279088787_1_NADH_flavin_oxidoreductase__Alistipes_putredinis_,0.17070594,0.19009341,0.4584032,0.8090883,-0.06026503,-0.018464869,0.09303853,0.3921948,0.32923725,1.0,-0.2923195,0.52371997,0.67984426,-0.80496264,-0.19998154
5BR%WP_295936477_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,0.81033665,0.33816966,-0.44058007,-1.0,-0.6807971,0.59701324,-0.39802563,-0.13074884,0.3474313,0.12389456,0.575536,-0.24212569,0.20763348,0.19628876,-0.5733005
