Sample,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asn_DCA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GDCA,GLCA,GUDCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,LCA,Phe_CA,Phe_CDCA,Phe_DCA,TCDCA,TDCA,TLCA,Thr_CA,Thr_DCA,Trp_CA,Trp_DCA,Tyr_CA,UDCA,isoCA_aMCA,isoLCA
BSH2%UPI0001971EB2,1.0,1.0,0.18713367,-0.67471534,-1.0,-0.18600085,-1.0,0.023915123,-0.17870602,-0.9310058,0.8081601,0.9205315,0.02784486,1.0,-1.0,-1.0,-1.0,-0.3963387,0.8131325,-0.40367982,0.5501102,1.0,-0.5063585,0.5140213,0.73802036,-1.0,-0.35660887,0.085878685,1.0,-0.25090426,1.0,0.1643397,0.85003585
BSH2%UPI0001C1C05D,-0.68594915,-1.0,1.0,-0.028134521,1.0,-0.30568078,1.0,-1.0,0.13660756,-0.24878758,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-0.55999964,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-0.04343032,1.0,-0.61194444,1.0,-1.0,-0.39457834,-0.91148984
BSH2%UPI0001CF4F1D,1.0,0.6017967,0.34395614,-0.47156277,-0.7193415,-0.67093813,-0.40230268,0.61568856,-0.8223241,-0.46250045,1.0,0.67010605,0.090517275,-1.0,-0.7577036,-0.34249952,-1.0,1.0,1.0,-1.0,-1.0,0.40781346,-0.8859028,0.24526286,0.080916144,-0.72411364,-0.25362906,-0.7249235,-0.7124431,-0.8777823,1.0,1.0,0.62705714
BSH2%UPI0001E69B03,0.14593285,0.6300481,-0.56855685,0.61793196,0.18247645,-0.555127,0.012962369,0.2591618,-0.46962097,-0.5517081,-0.049863335,-0.8581771,0.49125957,-1.0,-0.027775548,-0.08536608,0.6248203,-0.23381186,0.17605898,0.39799798,0.33213168,0.4657811,-0.7335232,0.32896423,1.0,-0.08401174,0.25110328,-0.6328601,0.8388428,-0.12736662,-0.5988579,-0.40773788,0.29115224
BSH2%UPI0001FDAFAC,-0.57885927,-0.45295733,0.59059,-1.0,0.5141305,-0.39744207,-0.17317541,-1.0,0.906205,1.0,0.06385396,0.069495216,0.3210546,0.18774104,0.23354031,0.11374404,0.51534516,-1.0,-0.18235101,-0.07552147,0.590699,-1.0,1.0,0.098166704,0.6632924,0.31042865,-0.40551478,-0.05440966,-1.0,0.11342489,-0.18858112,0.28670675,-0.6676255
BSH2%UPI0002814877,-0.68022597,-0.76608896,1.0,-0.71023524,1.0,-0.2385648,0.41458353,-1.0,1.0,0.3587459,-0.44869924,-0.98237693,-0.60099345,-1.0,0.70665723,0.17403659,0.054713722,-1.0,-0.6026285,0.9231451,1.0,-1.0,1.0,-0.29345018,-0.73596036,1.0,-1.0,1.0,-0.8533721,0.8610903,0.56146497,0.8580959,-0.8609327
BSH2%UPI000335FD2D,0.24279399,0.39330214,-0.91146374,1.0,-1.0,-0.8002788,-1.0,0.68794525,-0.955379,-1.0,0.40499797,1.0,0.46402314,0.28108853,-1.0,-0.8412255,-1.0,0.82758844,0.42773238,0.4977531,-0.15892598,1.0,-0.8093234,0.44806543,0.28497943,-1.0,1.0,0.7017939,1.0,-0.15352777,-0.6696288,-0.26637593,0.34089363
BSH2%UPI00033874A8,-0.16503865,-0.26814252,0.89547205,-0.31243947,0.19137424,0.6145102,0.9242558,-0.27189678,0.35748932,-0.30554926,-0.3680266,-0.05209217,-0.28910875,-0.30789456,0.66854733,0.8946108,0.37663984,-0.90647805,-0.38589928,-0.30528942,0.06318483,-0.4950247,-0.46082094,-0.64289373,-0.81999314,0.89930487,0.7052959,1.0,0.6380835,0.96954066,-0.6096455,-0.5704342,-0.4386358
BSH2%UPI00033AD64E,1.0,1.0,-1.0,0.8931913,-1.0,1.0,-0.44131112,0.9006117,-1.0,-1.0,0.73800457,1.0,0.8446127,-0.4018148,-1.0,-0.9606969,-1.0,1.0,0.92000127,-0.6584221,-1.0,0.77556634,-1.0,1.0,0.27979022,-1.0,1.0,-0.4724273,0.9280263,-1.0,-0.2007474,-0.9410907,1.0
BSH2%UPI00033F049A,0.70405895,0.9831787,-1.0,1.0,-0.21893655,0.78749925,-0.22596325,0.9401575,-0.9323446,-0.33090082,0.16337608,0.04592013,0.06579488,-1.0,-0.56843615,-0.46443588,-0.26009744,0.8110589,0.51489824,0.4328059,0.68696976,1.0,-0.75978917,-0.1292321,-0.19804616,0.29255858,0.07801718,0.67503494,1.0,1.0,-1.0,-1.0,0.5727215
BSH2%UPI00038B932A,-1.0,-0.81134665,0.62660116,-0.89153874,1.0,-0.6965384,1.0,-1.0,0.46610713,0.06176435,-1.0,-0.45611578,0.83100086,-0.6689428,1.0,1.0,1.0,-1.0,-0.7067457,1.0,1.0,-1.0,1.0,-1.0,0.4728013,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-0.23932895
BSH2%UPI000396CDDF,1.0,0.94248474,-0.523941,0.32569337,-0.41170102,0.33354646,-0.6838749,0.25091988,-1.0,-0.7429678,1.0,-0.4282751,0.4268809,-1.0,-0.9346903,-1.0,-0.7268298,1.0,1.0,-1.0,-0.9136041,-0.7838775,-1.0,0.45959526,0.74381524,-0.25444317,1.0,-1.0,-0.24101101,0.118831895,1.0,1.0,0.50995123
BSH2%UPI000463FA77,-0.44107428,-0.67694247,1.0,-0.5777027,-0.33045244,-0.2588574,-1.0,-0.46570924,1.0,1.0,-0.92228466,-0.50311965,-0.36480206,1.0,0.00048965367,0.17306067,0.3037966,-0.64433116,-0.8628316,0.436197,0.18439588,-0.5759401,0.74366534,-0.16347957,0.76544917,-0.666335,0.09597163,0.7481785,-1.0,0.123284355,0.34550676,1.0,-0.6572641
