Sample,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asn_DCA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GDCA,GLCA,GUDCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,LCA,Phe_CA,Phe_CDCA,Phe_DCA,TCDCA,TDCA,TLCA,Thr_CA,Thr_DCA,Trp_CA,Trp_DCA,Tyr_CA,UDCA,isoCA_aMCA,isoLCA
12aHSDH%WP_165061273_1_SDR_family_NAD(P)-dependent_oxidoreductase__Xiamenia_xianingshaonis_,-0.02536261,-0.030154683,0.048681986,-0.018104566,-0.020692235,-0.03229145,-0.00997771,-0.017747145,0.034643915,-0.04015605,-0.002916976,0.019058194,-0.017891822,0.047809623,0.016015094,0.037104305,-0.002003197,-0.020950222,-0.016244138,-0.0051686363,0.0004514617,-0.020402946,0.014234506,0.009349266,0.014031422,-0.0017526586,-0.028598942,-0.0036920626,0.00960314,0.031934213,0.020789385,0.03368473,-0.02966773
12aHSDH%WP_249318265_1_SDR_family_NAD(P)-dependent_oxidoreductase__Yeguia_hominis_,0.009864454,0.0046316683,0.0035697059,0.036721602,-0.023992436,0.015610036,0.0052645905,-0.0023850284,-0.0032757171,0.024801426,-0.020534351,-0.0030923216,0.042224173,-0.041204434,0.007878271,-0.005561795,0.017863529,-0.022013897,-0.016203899,0.0025241878,0.035439078,0.012640282,-0.038027845,-0.032346115,-0.05372834,0.0019645386,0.030594647,-0.0033342117,0.003440724,0.031298738,-0.005381539,0.021000609,0.005460681
12aHSDH%WP_251178417_1_SDR_family_NAD(P)-dependent_oxidoreductase__Adlercreutzia_agrestimuris_,0.016362613,0.016050708,-0.038420748,0.0945517,-0.046245985,-0.057242803,-0.06851262,0.03610324,-0.032838687,-0.0054704566,0.012490489,0.03565858,0.046597324,-0.00306052,-0.025446247,-0.0824233,-0.059957143,0.00610201,0.020802125,0.0033818802,0.016741995,0.064144954,-6.9833266e-05,0.03151975,0.06475042,-0.055858556,-0.033032574,-0.025782192,0.02479012,0.0011472263,-0.015457964,-0.012667412,0.01924582
12aHSDH%WP_256285936_1_SDR_family_NAD(P)-dependent_oxidoreductase__Pseudoflavonifractor_phocaeensis_,-0.05879719,-0.043166563,0.0037356114,-0.019927135,0.031562842,0.026027534,0.029893715,-0.011568551,0.012897917,0.0050200643,-0.03076647,-0.0100130495,-0.025216557,0.034397703,0.017904084,0.039629422,0.046060115,-0.028747378,-0.040417723,0.011659325,-0.0060869907,0.0062957425,0.0055091195,0.022491636,0.019245243,0.053990904,0.043330215,0.016826592,-0.026356377,0.038467277,-0.0706731,0.007660163,-0.049676687
12aHSDH%WP_278514144_1_SDR_family_NAD(P)-dependent_oxidoreductase__Methanobrevibacter_smithii_,0.09431832,0.0740934,0.013186195,-0.011023325,0.019870944,-0.09153759,-0.023455853,-0.010634855,-0.023317754,-0.053058643,0.036627527,0.011964369,0.024533883,-0.044658966,0.006940176,-0.04275031,-0.03142731,-0.010221678,0.04336635,-0.015292487,-0.027404351,-0.017114561,-0.05399474,-0.03910836,-0.01677828,-0.00033137132,0.0032136608,-0.028409602,0.035443183,-0.01735206,0.06992539,0.019340077,0.051426835
12aHSDH%WP_418471294_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_sp__,0.035831787,0.042393442,-0.025240857,0.016320927,0.025577523,0.009218181,0.013440834,0.039037436,-0.07643316,-0.065548874,0.028285518,-0.012030142,-0.0108739855,-0.0365392,-0.008023804,0.0010013044,0.022504365,0.023985071,0.030114148,-0.0028970004,0.025415985,0.016952777,-0.07770715,-0.009644959,-0.04495834,0.04105905,0.019325646,-0.007800846,0.03655767,-0.012852255,0.008638645,-0.049342416,0.035818063
12bHSDH%GENOME225741_180,0.034894444,0.043391973,-0.0068677957,0.005262438,-0.07545857,0.047408365,-0.011646169,0.05898322,-0.04122226,-0.018603714,0.049908455,0.032337483,0.04511443,-0.033928346,-0.08789862,-0.089182444,-0.046193205,0.059012946,0.06063447,-0.061961025,-0.041220423,0.04451173,-0.040308464,0.06943156,0.052147783,-0.0506333,0.04028496,-0.056035943,-0.0069868886,-0.052039184,-0.0041825846,-0.00095475686,0.043839563
12bHSDH%MDD6456291_1_SDR_family_NAD(P)-dependent_oxidoreductase__Lachnospiraceae_bacterium_,-0.018490372,-0.0041999076,0.0024491323,-0.043067373,0.004924533,-0.07397165,0.07597432,-0.0264874,-0.0013122183,0.0021210809,0.011232597,0.014170681,-0.00038078704,0.040599026,-0.04443171,0.0010433722,0.0137155345,0.0076171053,0.008586961,0.020101234,0.0020268273,-0.008797351,-0.0083556045,0.03558542,0.05444636,-0.0009420032,-0.009133729,-0.016261036,-0.052473184,-0.03352077,0.017553272,-0.013249356,0.0028843924
3aHSDH%3aHSDH%HJB56827_1_3-oxoacyl-ACP_reductase_FabG__Candidatus_Flavonifractor_intestinipullorum_,0.022308582,0.028576184,-0.009529966,0.040635828,-0.031658575,0.006678211,-0.063231334,0.009871415,-0.031967945,-0.0075956895,0.032131314,0.053041045,0.0011739251,0.0154609345,-0.09637819,-0.087365046,-0.082005605,0.048072323,0.03898915,0.0049232454,-0.00038536976,0.10256033,-0.029604947,0.03189099,-0.00069568155,-0.063534364,0.02425485,-0.009626522,0.06756702,-0.05261592,0.01722334,-0.026510349,0.033186007
3aHSDH%3aHSDH%MBO5160353_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,-0.04917532,-0.057883974,0.0354448,-0.051201724,0.025339535,0.00775171,0.044948053,0.010086935,0.0033714497,0.011028579,-0.032067228,-0.0069884495,-0.07277915,0.02992138,0.0027483022,0.031937152,0.027095206,-0.022944253,-0.050460033,0.03094036,0.030989759,0.025717873,-0.011251774,0.008007893,-0.0030242957,0.03837097,0.0046601705,0.03071384,-0.05530773,0.06318945,0.03269463,0.032874424,-0.04013854
