Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GLCA,HCA,LCA,TCA,TCDCA,TDCA,TLCA,UDCA
5AR%GENOME107567_81,-0.092608206,0.00868499,-0.017855877,0.0058988454,0.043814432,-0.09135164,0.10995387,0.12002171,-0.018926216,-0.036858726,-0.022370655,-0.04194941,0.074402496,0.0686201,-0.068919666,-0.06652192,-0.06909129
5AR%GENOME140582_2251,0.14295791,0.019482356,0.095584705,0.010544073,0.024295537,0.1151643,-0.12523931,-0.12709431,-0.023245215,0.03647515,0.050162453,0.05941165,-0.13066635,-0.16492696,-0.17545371,-0.07820864,0.11117911
5AR%GENOME142018_414,-0.021844318,0.10819751,-0.12419201,-0.12395927,-0.0834105,0.0014719993,0.01350849,-0.031094344,0.041471418,0.04025588,0.10861564,0.09479908,-0.0005292137,-0.08718504,0.012327003,0.03356246,-0.05043898
5AR%GENOME170052_106,0.02234923,0.13143265,-0.036747452,-0.047258563,-0.004032321,-0.054173402,-0.024877386,-0.021008592,-0.08186823,0.08163145,0.039481193,0.006339088,-0.024190765,-0.023578467,-0.06993112,-0.025124812,0.047948908
5AR%GENOME179594_130,-0.26043916,0.005293468,-0.12364714,-0.055674795,-0.009833258,-0.11404194,0.19981751,0.21669254,0.13153955,0.040232345,-0.097887404,-0.13278644,0.15987611,0.13867407,-0.123825096,0.036406104,-0.21930386
5AR%GENOME179896_434,-0.12014539,-0.0923001,-0.03275058,0.02001919,0.04202487,-0.04880347,0.12369571,0.13519181,0.09012138,-0.1028738,-0.126069,-0.12663686,0.10587327,0.08138592,-0.04062465,-0.008010885,-0.07179024
5AR%HIU55603_1_DUF1295_domain-containing_protein__Candidatus_Gallibacteroides_avistercoris_,-0.24770182,0.06699534,-0.16811842,-0.0019370727,-0.0040017175,-0.2243638,0.23366643,0.22679566,0.0026457608,0.030658955,-0.054607898,-0.1230525,0.19324762,0.1995287,0.060003128,0.11274273,-0.3020576
5AR%MBD5276024_1_DUF1295_domain-containing_protein__Bacteroides_sp__,-0.038505543,-0.05056651,-0.023362339,0.00041503605,0.005797672,0.031743452,0.039912,0.022703445,0.07055372,-0.049709897,-0.0439736,-0.02134491,-0.0077146254,-0.03138084,-0.026706837,-0.029395383,0.002231323
5AR%MBP3601379_1_DUF1295_domain-containing_protein__Alistipes_sp__,-0.011313229,0.044782523,-0.08354065,-0.069300085,-0.069258586,-0.020993294,-0.0035856038,0.014186476,0.029119264,0.066020995,0.06099217,0.040061485,-0.033122193,-0.0013976769,-0.015183893,0.014323125,-0.040161997
5AR%MBR4740186_1_DUF1295_domain-containing_protein__Bacteroidales_bacterium_,-0.006461931,0.021530723,-0.15523112,-0.14330046,-0.14210066,0.03751613,-0.034469113,-0.020361561,0.11556205,0.14013448,0.05012187,0.047480892,-0.03558311,-0.016640807,0.044062153,-0.040359464,-0.025520254
5AR%MCH5217706_1_DUF1295_domain-containing_protein__Muribaculaceae_bacterium_,0.0388779,0.036905456,-0.075807676,-0.08146447,-0.09154218,0.04851629,-0.033651255,-0.02401152,0.10140028,0.092472136,0.07264063,0.057678103,-0.03747268,-0.015967825,0.009331469,-0.07057773,-0.024316292
5AR%MCR5660240_1_DUF1295_domain-containing_protein__Bacteroidales_bacterium_,-0.16361341,0.03530167,-0.01024119,0.10303232,0.050431523,-0.18595062,0.15911932,0.14960179,-0.08129423,-0.0921649,-0.10163097,-0.15819393,0.15991223,0.19481543,0.08256029,0.12856016,-0.1560796
5AR%WP_005657188_1_DUF1295_domain-containing_protein__Bacteroides_stercoris_,0.01614759,-0.061011598,-0.060846634,-0.06702068,-0.068231225,-0.012695137,-0.012744717,-0.0034183871,0.05869676,0.062377997,0.06522803,0.062062383,0.015594155,0.015769847,0.05590363,-0.016876431,-0.058265496
5AR%WP_300108487_1_DUF1295_domain-containing_protein__uncultured_Alistipes_sp__,0.050655957,0.11470227,-0.10908105,-0.13766971,-0.14633985,0.032689996,-0.03702743,-0.054011155,0.061838966,0.15649179,0.1440131,0.11058486,-0.07236125,-0.041838523,-0.04423041,-0.034597956,-0.04326405
