SampleID,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Mean
isoalloLCA,0.43220973782771527,0.5710746182656294,0.4732518417911676,0.5189858830308268,0.600329258756225,0.41168045437708356,0.6164629378112523,0.5345104333868379,0.6512161995308063,0.49995472692101905,0.5309676091698564
Glu_DCA,0.503741202617607,0.5048277565131498,0.5283532946454295,0.5408815903197924,0.5519776104045766,0.6454541712968679,0.5040375354982096,0.4672099436144379,0.3968638103469564,0.5958348767337531,0.523918179199078
LCA,0.4889574844631024,0.33020537514919535,0.5919660863481088,0.507774622381364,0.5924764374202577,0.5446845289541918,0.49208544264724036,0.4721158990821912,0.5714697287730995,0.537391447503807,0.5129127052722557
7oxoDCA,0.4620405811417047,0.483771659052558,0.4933530888587068,0.47702185454994445,0.29446433716096637,0.6366300366300366,0.4917891097666378,0.51521587027205,0.5715355805243445,0.44452401531053215,0.48703461332674813
isoLCA,0.38222825863275295,0.5027369634111206,0.4358974358974359,0.47843766720171216,0.4538255751738898,0.492579330781578,0.512153763839157,0.5343128781331028,0.5033296291723258,0.48528624933119313,0.47807877515742686
CA,0.456838292793349,0.5549244762727908,0.5322056220932625,0.5408651273819812,0.37075359097831007,0.39139811499362054,0.4620405811417047,0.4649874470099189,0.4530188912211384,0.5061777174136725,0.47332098612997486
CDCA,0.3082108902333622,0.5299666625509322,0.4419887228875993,0.5402230728073424,0.4603284356093345,0.4547639626291311,0.535498209655513,0.32011359427089764,0.3808947606700415,0.5189694200930156,0.4490957731407169
TCA,0.4129316376507387,0.49465366094579577,0.4991974317817014,0.5281392764538831,0.4497263036588878,0.48681730254763966,0.30363419352183396,0.46839527513684814,0.6145861629007696,0.1854632259126641,0.4443544470510762
Tyr_CA,0.3676914845454171,0.4478495287484051,0.3886323414413302,0.4636045602337737,0.4585175124500967,0.42587150677038316,0.4122237313248549,0.4481129357533852,0.4688068485821294,0.47664320698028567,0.4357953656830061
isoCA_aMCA,0.38389101535168946,0.4598345474749969,0.3456805366917726,0.392138947195127,0.3313248549203605,0.5052064040828086,0.4231057332180927,0.40470016874511255,0.46055891673869204,0.4146273202452977,0.41210684446639495
