Sample,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asn_DCA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GDCA,GLCA,GUDCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,IleLeu_CA,LCA,Lys_DCA,Phe_CA,Phe_CDCA,Phe_DCA,TCDCA,TDCA,TLCA,TUDCA,Thr_CA,Thr_DCA,Trp_CA,Trp_DCA,Tyr_CA,UDCA,isoCA_aMCA,isoDCA_isoCDCA,isoLCA,isoUDCA
BSH2%UPI0006C706B0,0.92359596,1.0,-0.19124754,0.40067616,-0.9627423,-0.53807664,-0.119000755,-0.4589391,0.071934015,-0.083646454,-0.14017938,0.27071053,1.0,0.28085274,-0.687619,-0.83112895,-0.7505325,-0.7469881,-1.0,0.33428445,-0.005587216,-0.11785152,-0.37008095,-0.8135206,0.87143415,0.7935665,0.7606394,0.22353901,-1.0,-1.0,-1.0,0.54556316,-0.19078538,0.43459514,0.3908551,0.18791176,0.98713666,-0.1446535
BSH2%UPI0006CAB5AD,-0.9505823,-1.0,0.041546077,0.85372597,-1.0,-0.8233808,-1.0,0.5408757,0.25828093,0.58362293,0.16913888,1.0,0.59481275,1.0,-1.0,-0.20301247,-1.0,0.43511358,-1.0,-0.40892994,1.0,-1.0,-1.0,0.15738413,1.0,1.0,1.0,1.0,-1.0,0.42509532,-0.23228721,0.691014,0.09464561,-0.373229,0.25596812,0.28925925,-0.38592234,0.16542976
BSH2%UPI0006CABE2C,-1.0,-1.0,1.0,-1.0,1.0,-0.20133811,1.0,-0.09339146,0.1680481,1.0,-0.068615206,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.90014285,1.0,-0.38410994,-1.0,1.0,1.0,0.74349535,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,0.17146692,1.0,-0.5468886,-1.0,1.0
BSH2%UPI00082051E1,-0.10847661,0.30671605,-1.0,-0.6430776,-1.0,1.0,-1.0,1.0,-1.0,-1.0,0.45947704,1.0,1.0,0.8370481,-0.10368942,-1.0,-1.0,1.0,-1.0,0.4559522,0.29227644,-0.54620427,-1.0,1.0,0.3494668,1.0,1.0,0.36576498,-1.0,1.0,-0.16582383,1.0,-1.0,-0.6165032,-1.0,0.25296277,0.59212786,-1.0
BSH2%UPI00082062C1,-0.8987332,-0.68300694,1.0,-1.0,0.2704123,-0.6542433,-0.20980713,-1.0,1.0,1.0,-0.4057878,-0.2140575,-0.36202323,0.6354643,-1.0,0.13042676,0.82154304,-1.0,0.48799795,-0.507334,-0.9707098,0.71990716,1.0,-1.0,-0.0046643927,-0.6611888,0.46954387,1.0,0.5193213,-0.8948223,-0.3916079,-1.0,0.5624192,0.44288322,1.0,-0.92809737,-0.7167832,1.0
BSH2%UPI000820857A,-1.0,-1.0,1.0,-0.37103602,1.0,-0.6309876,1.0,-0.15286963,0.9101953,0.3220685,-1.0,-1.0,-0.8057502,1.0,1.0,1.0,1.0,-0.5915734,1.0,-1.0,-1.0,0.60437685,-0.053163394,-1.0,0.30892932,0.72087836,-1.0,0.07891189,1.0,-1.0,0.651796,-1.0,0.96910155,-0.64160854,0.01228948,-1.0,-1.0,-0.8456838
BSH2%UPI000820B778,-0.36718556,-0.22031856,0.4569706,-0.20914295,0.06885376,-1.0,-1.0,-0.18694656,0.80931264,0.9373107,-0.11425904,1.0,1.0,1.0,-0.533331,-1.0,-0.76161695,-0.49425015,-0.8183303,-0.17760623,-0.25793016,-0.1588291,-0.81612885,-0.3069945,0.8308415,0.46551582,1.0,0.42642388,-0.7872127,-1.0,0.046600606,0.5862351,-0.65867275,0.45219162,0.08789102,-0.082490504,-0.067710765,-0.75701684
BSH2%UPI000820F666,1.0,1.0,-0.8502072,0.08402867,-0.94930726,-0.92064965,-1.0,1.0,-0.8258737,-1.0,1.0,0.6547366,-1.0,-0.11302504,-1.0,-1.0,-1.0,1.0,-0.5489484,1.0,0.84043306,0.39164758,0.72402865,1.0,-1.0,-0.30925116,-0.33248416,-0.70146793,-1.0,1.0,-1.0,1.0,-0.14077194,0.00809896,-0.4351386,0.9793864,1.0,-1.0
BSH2%UPI000821232B,0.728057,1.0,-0.3289057,1.0,0.47972074,0.82811475,1.0,1.0,0.2538467,0.8578063,0.20736207,-0.41323763,-0.56437206,-0.94553465,-0.14138047,0.66717243,0.5723622,0.74734116,0.57337534,0.504211,0.6372247,-0.6371951,0.21132652,0.20043752,-0.4375845,-1.0,-1.0,-1.0,0.41896325,0.6868842,-1.0,0.29157495,-1.0,-0.8248954,-0.6775216,-0.021251915,0.69303894,-0.17359428
BSH2%UPI0008219BA0,-1.0,-1.0,0.70025045,-1.0,0.7176419,1.0,0.65884703,-1.0,0.7519896,0.8226137,0.07293932,-1.0,-1.0,-1.0,0.8379339,0.739037,1.0,-0.6676972,1.0,-0.2814124,-0.7126771,1.0,1.0,0.48881185,0.16478084,0.842596,-0.09099943,-1.0,1.0,0.62329125,0.9295588,0.09999432,1.0,-1.0,-0.5489672,-1.0,-1.0,-1.0
