Sample,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asn_DCA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GDCA,GLCA,GUDCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,IleLeu_CA,LCA,Lys_DCA,Phe_CA,Phe_CDCA,Phe_DCA,TCDCA,TDCA,TLCA,TUDCA,Thr_CA,Thr_DCA,Trp_CA,Trp_DCA,Tyr_CA,UDCA,isoCA_aMCA,isoDCA_isoCDCA,isoLCA,isoUDCA
5BR%MBO4402754_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,-0.017708302,-0.017452978,0.024006462,-0.0036385641,0.031386677,-0.036910236,-0.020870006,-0.023809934,0.010809396,-0.009945645,-0.037180852,-0.056015663,0.008496384,-0.0039206045,0.017190898,-0.01168555,0.014319087,-0.0547851,0.03559256,-0.029353693,-0.06799404,0.036554914,0.034797624,0.00021218626,0.016152808,0.05425031,0.07010568,0.032619152,0.017314114,-0.03258768,0.061693568,0.018656997,0.030800104,-0.029347632,0.01018654,-0.03650161,-0.03522598,-0.011509136
5BR%MBO7234306_1_NADH_flavin_oxidoreductase__Paludibacteraceae_bacterium_,0.03428831,0.028127192,0.019971306,-0.05543493,0.023099476,-0.038662538,-0.021592129,-0.010255967,-0.0074341465,-0.04281081,0.024597501,0.00968393,0.0016113409,0.048743315,0.00083850825,-0.0041742786,-0.003778203,-0.0053478824,-0.02332345,0.024332326,-0.02385366,-0.018432485,0.019178256,-0.023769533,-0.005089199,-0.01871926,-0.013347089,0.02481045,-0.0092539,-0.09566693,-0.03900313,-0.005468943,-0.028316993,0.035770837,0.018112866,0.026241243,0.022267323,0.04751545
5BR%MBO8446450_1_NADH_flavin_oxidoreductase__Candidatus_Enterocola_intestinipullorum_,-0.006182241,0.03010639,-0.03413352,0.02475921,-0.060536288,-0.007840844,-0.020908244,0.002332211,-0.0058118044,-0.020870624,0.014009521,0.021681445,0.054780707,0.05714828,-0.039615422,-0.041041635,-0.027020933,0.024107717,0.016068202,0.015790805,0.060732916,0.04068859,0.017515443,0.076325245,-0.0369846,-0.06671638,-0.060649715,-0.018833088,-0.05239821,0.052349556,-0.017374033,0.113164194,0.01694348,-0.008863814,-0.06373415,-0.038391843,0.03586149,-0.03862487
5BR%MBQ8101082_1_NADH_flavin_oxidoreductase__Paludibacteraceae_bacterium_,-0.008207058,0.007950899,-0.037677754,0.025633046,-0.017768377,0.01899262,-0.013554945,0.057052147,-0.030071253,-0.024959601,0.020065637,0.029740095,0.010527286,-0.055630974,-0.0011118256,-0.0020519665,0.025093991,0.060509242,0.02065725,0.017575007,0.04629515,0.03663034,0.02085953,0.062289473,-0.05240825,-0.020694759,-0.050578184,-0.050690122,-0.008913212,0.081948474,-0.0039922833,0.056396447,-0.02087446,-0.037089262,-0.052213836,0.0022026484,0.009208274,-0.05419843
5BR%MCA9548846_1_NADH_flavin_oxidoreductase__Myxococcales_bacterium_,0.049572404,0.059534535,-0.039011218,0.0058864336,-0.082648344,-0.10502579,-0.12020766,-0.021794539,0.00047503333,0.047213033,0.04192446,0.047015514,0.081189804,0.061268426,-0.075054824,-0.07237032,-0.04455943,-0.018688817,-0.06572353,0.05034939,0.025573261,-0.07013222,-0.02060634,-0.0093455,0.021750798,0.008169445,0.06937562,0.044016074,-0.11245948,-0.0791116,-0.10626143,-0.0015329111,-0.05621953,0.014707986,0.084623635,0.03237711,0.045560922,0.090211704
5BR%MCD8287651_1_NADH_flavin_oxidoreductase__Porphyromonadaceae_bacterium_,0.02497065,0.042005833,-0.030015526,0.013107122,-0.009421501,0.011677299,-0.015673047,0.0058222665,-0.021268552,-0.015456752,-0.0040301466,-0.001409272,0.043535296,-0.028296344,0.031070711,-0.0134401675,0.04421347,-0.00199088,-0.016258596,0.01424021,0.009955762,0.025795843,-0.0031450202,-0.013431702,0.023213353,-0.017084576,0.007783845,0.010384363,-0.028323963,-0.04010236,-0.044016205,-0.015130721,-0.024818182,0.0076743728,-0.034263466,-0.0033141037,0.0333494,-0.023477774
5BR%MCF0197806_1_NADH_flavin_oxidoreductase__Bacteroidaceae_bacterium_,-0.031909697,0.010684086,0.008880745,0.0058210995,0.0067037414,0.014781032,0.057983246,-0.007498355,0.030861693,0.06504374,-0.026768694,-0.030636633,-0.008940365,-0.017416537,0.001558355,0.045025393,0.044737644,-0.020289974,0.05579317,-0.03623183,-0.051300317,0.030457113,0.03871564,-0.013130567,-0.0158347,-0.040093046,-0.049516596,-0.06008441,0.03216665,0.012951911,0.016516851,0.015771149,0.06440544,-0.014230336,0.006551444,-0.07874248,-0.015314904,-0.008111395
5BR%MCH5231198_1_NADH_flavin_oxidoreductase__Muribaculaceae_bacterium_,-0.008171958,-0.012370603,0.036173362,0.0017735318,-0.047656927,-0.011614395,-0.032168444,0.043414865,0.033235326,0.051097978,0.006417575,-0.017673861,-0.018677246,-0.008236838,-0.02708584,-0.037224043,-0.008387436,0.029714204,-0.027882595,0.010116868,-0.007594579,-0.025287494,-0.032667037,0.0151477875,0.011914259,0.022014689,-0.051773082,0.031815685,-0.035826534,0.010798591,-0.0030780062,0.016278803,-0.0060089743,-0.0134756,0.04811423,0.01330359,-0.004607975,0.041330792
5BR%MCQ2066925_1_NADH_flavin_oxidoreductase__Bacteroidaceae_bacterium_,-0.029869711,-0.0020965503,-0.028454889,0.03002476,-0.018058779,-0.023167187,-0.035793625,0.010361172,0.006367994,0.058803815,0.0014159919,-0.0060588974,0.02193722,0.0013654616,-0.039704323,-0.028840024,-0.014272747,-0.00894372,-0.016913578,0.010944084,0.017091274,-0.039946526,-0.0014065455,0.008041769,0.04217831,0.019381814,0.070396684,0.05775482,-0.028084595,-0.0027430477,-0.006149788,-0.02185337,-0.053195585,-0.011055848,-0.010929966,-0.0062556644,0.008526777,0.00949507
5BR%MCQ2271787_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,-0.0014256063,-0.021463547,0.03510301,-0.053307757,0.05326588,0.021132514,0.015254779,-0.029234486,-0.009418876,-0.01756719,-0.023323186,-0.048896346,-0.022507593,-0.023646684,0.05075857,0.029294275,0.015912836,-0.03390325,0.028922861,-0.014391234,-0.03578607,0.0419305,0.05165958,-0.05684611,-0.0023582005,-0.039328348,-0.0041196374,0.009005218,0.04746434,-0.06859505,0.030558879,-0.01617779,0.020726623,0.056377605,0.018447341,0.010290189,-0.0072926558,0.024950061
