,Cluster
3oxoDCA,0
3oxoLCA,0
7oxoDCA,1
Ala_DCA,0
Asn_CA,1
Asp_CA,2
Asp_DCA,0
CA,2
CDCA,2
DCA,0
GCA,3
GCDCA,3
GDCA,0
GLCA,0
Gln_CA,1
Glu_CA,2
Glu_CDCA,1
Glu_DCA,0
His_DCA,0
LCA,0
Lys_CDCA,0
Met_CA,2
Phe_CA,1
Phe_CDCA,2
Phe_DCA,0
TCA,3
TCDCA,3
TDCA,3
TLCA,3
Thr_CA,1
Thr_CDCA,2
Thr_DCA,0
Trp_CA,2
Trp_CDCA,1
Tyr_CA,1
isoCA_aMCA,1
isoLCA,0
isoalloLCA,0
