Sample,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Mean
isoLCA,0.6259770880821527,0.6314888827102352,0.6404391797959658,0.6372183319839645,0.6374406410339638,0.644398485603805,0.6335272668480252,0.6396275986580618,0.625026119782321,0.6304706705159407,0.6345614265014435
3oxoLCA,0.5626813533538046,0.5708846185409423,0.5710684675128702,0.5690682984845015,0.5744190262251189,0.5833462962577365,0.5682452038200412,0.5677213383617232,0.5524444809175546,0.5617976289484353,0.5681676712422726
LCA,0.5247251757956276,0.5204513302410124,0.5405828539092711,0.5429159353331758,0.5245265062203666,0.5465159946155891,0.5163165043953502,0.5380568596733833,0.5190350439902454,0.5337459013682725,0.5306872105542293
isoDCA_isoCDCA,0.5016441070953945,0.5202522932127761,0.5097297873304665,0.5102287884707954,0.5029997636052527,0.5314708775144502,0.5153952997865098,0.5097964188033036,0.5137447010218867,0.4852606037742321,0.5100522640615066
DCA,0.49366988759613495,0.4964991530208923,0.5038876524776742,0.5103783418317043,0.4710745917291235,0.5053781642294328,0.48977292630975555,0.5000820644977959,0.47968279009493764,0.4943451436802376,0.4944770715467689
isoCA_aMCA,0.482243814847795,0.4963639303260165,0.4763084694236256,0.4780359883443917,0.4798880738237525,0.4880874195124879,0.48137601340468456,0.489589444790803,0.4863246251061021,0.46963723817444464,0.48278550177541024
3oxoDCA,0.47607550423734524,0.4845443154412315,0.4640084710159218,0.4687644148740066,0.4663588227296612,0.48182112144198347,0.4660267677244006,0.47057350835526834,0.4645347861607411,0.46699635364164277,0.47097040656222033
IleLeu_CA,0.45975471289061787,0.45850047340191646,0.4731984699258113,0.47350884520553493,0.4222895749916405,0.4609733094407244,0.4677078650859657,0.46610491272379423,0.47574369420073476,0.4559467977085633,0.4613728655575303
Thr_CA,0.4077323129572494,0.41192654370056997,0.3995905349012961,0.42137277981850285,0.4054478578103968,0.4046994785842282,0.4195393119565524,0.4016585602457526,0.40019242287468265,0.397001216269348,0.4069161019118579
CA,0.35712828150817405,0.371305964619178,0.34848297039186416,0.3553981904165815,0.3607108255321026,0.34513865838019386,0.37947909866234875,0.36135435817601247,0.35490690578873174,0.34623097359115473,0.35801362270663417
Asp_CA,0.33968871833627096,0.34749341952963575,0.34880375683921855,0.3611886368841948,0.3312622867088585,0.3495665892157451,0.33416345043243095,0.3741418441974889,0.34102220518329174,0.3348636933188476,0.34621946006459836
GDCA,0.3189580013497773,0.34596408024683045,0.3316053653033753,0.34459397058661423,0.3111977619664124,0.37450011084831425,0.3099599353772701,0.34343673868336705,0.3308920165941764,0.34116000004899383,0.3352267981005131
7oxoDCA,0.3228973422126304,0.3530485736087925,0.3481816589521956,0.31737268673041574,0.3393854471474014,0.3248111597918257,0.34681816344553307,0.33161246939422934,0.3069474334022104,0.3364264708223966,0.3327501405507631
Glu_CDCA,0.3184999099740211,0.3294269815820321,0.3251697938956262,0.3185150980303296,0.3217048348237635,0.3463491709648458,0.3491449981688594,0.33387034544254207,0.3479614321357225,0.3222173092398501,0.33128598742575927
Glu_DCA,0.30603933461615257,0.34787091621949684,0.3147924319385227,0.2997027305430588,0.3258784882004726,0.3096351069471885,0.326601635655677,0.31576299773036554,0.3240506546174754,0.3032182756411749,0.31735525721095853
Tyr_CA,0.3325930789007277,0.2810214212836113,0.32076440017588753,0.3200560733240164,0.3289311650341548,0.3309268021424958,0.30407015412202626,0.331231053205966,0.30928259705964134,0.30506288957670646,0.31639396348252335
Glu_CA,0.31240349766238673,0.27239827983013876,0.3335167331960693,0.31201803949139617,0.3080022684097003,0.3391360690615619,0.31557290205785915,0.3154735672702287,0.3243720534864551,0.3152782047717444,0.31481716152375405
Trp_CA,0.3165735989936688,0.3324839453670917,0.3181733765062014,0.2693533195089359,0.30345589523180777,0.3110224868972394,0.32240226057070354,0.3336262341826805,0.29924157705917587,0.3011144848737983,0.31074471791913033
TCDCA,0.2915793251358658,0.286447844337121,0.3104594264548995,0.3122543117544533,0.3207899993998269,0.33445863765584605,0.32189321571571883,0.31940151709085035,0.2990198804308019,0.3070014489895656,0.3103305606964949
GLCA,0.2926661285521986,0.28807002673832816,0.28445796399205814,0.32223519195131006,0.27991538782824277,0.34390156669700206,0.29413447064111975,0.2841517531793869,0.313090634726021,0.3098249576510446,0.3012448081956712
TDCA,0.29429590498156005,0.2992241842850162,0.2956004855278646,0.2734974541633035,0.27427290242531216,0.2985347200192056,0.30677791509631563,0.2828578287693633,0.3064570061646361,0.2834104780440723,0.2914928879476649
