,Cluster
3oxoDCA,0
3oxoLCA,0
7oxoDCA,1
CA,1
CDCA,1
DCA,0
GDCA,0
GLCA,0
GUDCA,1
LCA,0
TCDCA,1
TDCA,2
TLCA,2
TUDCA,1
UDCA,3
isoUDCA,3
