Family,CA,CDCA,DCA,LCA,UDCA
5AR%GENOME170052_106,-0.6892191,-0.7042571,0.48901564,0.8857082,-0.29263374
5AR%HIU55603_1_DUF1295_domain-containing_protein__Candidatus_Gallibacteroides_avistercoris_,1.0,1.0,-1.0,-1.0,0.15124717
5AR%MBQ5678765_1_DUF1295_domain-containing_protein__Rikenellaceae_bacterium_,-0.024780106,0.010289384,0.56523913,0.19840558,-1.0
5AR%MCH5217706_1_DUF1295_domain-containing_protein__Muribaculaceae_bacterium_,0.7722543,0.9786408,-0.75145376,-0.7353431,-0.1845048
5AR%MDE7159808_1_DUF1295_domain-containing_protein__Muribaculaceae_bacterium_,-0.7384076,-0.78399265,1.0,0.89674795,-1.0
5AR%WP_099292233_1_MULTISPECIES__DUF1295_domain-containing_protein__Butyricimonas_,0.502199,0.5235051,-0.58956873,-0.7772532,0.8916504
5AR%WP_346709278_1_DUF1295_domain-containing_protein__Phocaeicola_salanitronis_,1.0,1.0,-1.0,-0.9440238,0.148359
5AR%WP_418203978_1_DUF1295_domain-containing_protein__Bacteroides_sp__,1.0,1.0,-1.0,-1.0,0.5074924
5BR%CAK7070565_1_MAG__NADPH_dehydrogenase__Parabacteroides_sp__,-0.47951064,-0.3709402,0.43087175,0.69014966,-0.7036984
5BR%HIX74022_1_NADH_flavin_oxidoreductase__Candidatus_Parabacteroides_intestinipullorum_,1.0,1.0,-1.0,-0.96703196,0.18717061
5BR%MBO7234306_1_NADH_flavin_oxidoreductase__Paludibacteraceae_bacterium_,-0.9521369,-0.8943953,0.62642056,1.0,-0.11188498
5BR%MBQ8101082_1_NADH_flavin_oxidoreductase__Paludibacteraceae_bacterium_,-0.4004751,-0.40444005,0.6174712,0.5871587,-0.9094778
5BR%MCQ2066925_1_NADH_flavin_oxidoreductase__Bacteroidaceae_bacterium_,1.0,1.0,-1.0,-1.0,-1.0
5BR%MEZ3591839_1_NADH_flavin_oxidoreductase__Muribaculaceae_bacterium_,0.8248352,1.0,-0.9970854,-0.67736953,-0.05034742
5BR%MFO0559492_1_NADH_flavin_oxidoreductase__Polyangiales_bacterium_,-1.0,-0.98940647,1.0,1.0,-1.0
5BR%WP_295936477_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,-0.93501526,-0.93018353,0.6698685,1.0,-0.24633084
5BR%WP_302380465_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,-1.0,-1.0,0.85705817,1.0,0.601963
5BR%WP_418992344_1_NADH_flavin_oxidoreductase__Alistipes_sp__,-0.7236795,-0.5893289,0.522962,0.9161236,-0.5230144
