Family,Cluster
5BR%WP_071425025_1_NADH_flavin_oxidoreductase__Tidjanibacter_massiliensis_,4
5BR%WP_279088787_1_NADH_flavin_oxidoreductase__Alistipes_putredinis_,4
5BR%WP_295936477_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,0
5BR%WP_300285921_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,1
5BR%WP_394671717_1_NADH_flavin_oxidoreductase__Muribaculum_sp__,0
5BR%WP_418992344_1_NADH_flavin_oxidoreductase__Alistipes_sp__,1
7aHSDH%GENOME011662_3430,4
7aHSDH%GENOME018142_1887,4
7aHSDH%GENOME025100_397,3
7aHSDH%GENOME067790_2714,4
7aHSDH%GENOME070302_884,3
7aHSDH%GENOME086444_1757,1
7aHSDH%GENOME103762_694,2
7aHSDH%GENOME122758_282,1
7aHSDH%GENOME215422_1346,1
7aHSDH%MBHC130__Clostridiales_bacterium_1_7_47FAA_,4
7aHSDH%MCI7810995_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,0
7aHSDH%MCI9468093_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,1
7aHSDH%MEO8122524_1_7-alpha-hydroxysteroid_dehydrogenase__Burkholderiales_bacterium_,3
7aHSDH%WP_071121323_1_7alpha-hydroxysteroid_dehydrogenase__Romboutsia_timonensis_,6
7aHSDH%WP_262434703_1_7alpha-hydroxysteroid_dehydrogenase__Jilunia_laotingensis_,6
BSH1%UPI0001652BA3,1
BSH1%UPI0001DE6025,4
BSH1%UPI0002624191,1
BSH1%UPI0002CB0E7D,0
BSH1%UPI0002F95F26,1
BSH1%UPI000334E1FF,0
BSH1%UPI0003A10C39,0
BSH1%UPI00044AC395,1
BSH1%UPI0004BCDDD9,1
BSH1%UPI0004D69CD5,1
BSH1%UPI0004F8D610,6
BSH1%UPI0005DBBD01,0
BSH1%UPI00070D1B8F,6
BSH1%UPI00073AFD00,3
BSH1%UPI00076E9CCB,1
BSH1%UPI0007933BD5,4
BSH1%UPI00095B1DAC,0
BSH1%UPI000BCCCB22,0
BSH1%UPI000BD3EFD5,0
BSH1%UPI000CF9C992,1
BSH1%UPI000EF45382,6
BSH2%UPI0000382136,3
BSH2%UPI0001971EB2,5
BSH2%UPI0001C1C05D,1
BSH2%UPI0001CF4F1D,0
BSH2%UPI00038B932A,4
BSH2%UPI000396CDDF,0
BSH2%UPI000508CF7A,5
BSH2%UPI00050FFCF5,2
BSH2%UPI0005D317A6,3
BSH2%UPI0006649122,1
BSH2%UPI0006BFFEB7,4
BSH2%UPI0006C0EB58,1
BSH2%UPI0006C1ADDE,5
BSH2%UPI0006C23C60,4
BSH2%UPI0006C45BC8,6
BSH2%UPI0006C52F45,1
BSH2%UPI0006C5C844,6
BSH2%UPI0006C706B0,1
BSH2%UPI0006CAB5AD,4
BSH2%UPI0006CABDF6,1
BSH2%UPI0006CABE2C,2
BSH2%UPI00082062C1,6
BSH2%UPI000820857A,1
BSH2%UPI0008219BA0,4
BSH2%UPI000821B1D8,2
BSH2%UPI000821B9AC,4
BSH2%UPI000821FD65,1
BSH2%UPI0008222B5A,5
BSH2%UPI00082257EE,1
BSH2%UPI000822F9A5,4
