,Cluster
3oxoDCA,0
3oxoLCA,0
7oxoDCA,1
CA,1
CDCA,1
DCA,0
GDCA,2
GUDCA,1
LCA,0
TCDCA,1
TDCA,3
TUDCA,3
UDCA,1
