SampleID,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Mean
isoLCA,0.5630669353664323,0.6740418175754075,0.5338258712777801,0.7076316370486244,0.6832924646626927,0.6324438525533524,0.6006766818397479,0.5430459843007935,0.674226196348126,0.6603766494266643,0.6272628090399621
LCA,0.6044957886479047,0.5189816184933084,0.4606909154112469,0.6079578817814982,0.7132193708103742,0.6530026729050109,0.6383087416677237,0.5843750146798387,0.5289263283492346,0.5948658145313962,0.5904824147277536
3oxoLCA,0.619053490983056,0.52911657905739,0.5432538508152596,0.6223288565697563,0.6624964181193835,0.5250672923801069,0.4507849603292042,0.5122699962889369,0.6631928296621994,0.6355454088511205,0.5763109683056413
DCA,0.6031816494971276,0.6246752819703396,0.5873192031078981,0.5141454924674813,0.5907589828868314,0.50723657323243,0.5693827891223571,0.6596673196258872,0.485833368564946,0.4718769524185328,0.5614077612893831
isoDCA_isoCDCA,0.6410274477750063,0.29546169853953225,0.5109805192669946,0.6149419617901417,0.6084041488747022,0.4464502975896879,0.4447568314096873,0.5386279400780732,0.4938650018555316,0.4886812572518403,0.5083197104431197
isoCA_aMCA,0.5417294963758416,0.49652616299553265,0.4139561812689957,0.4677125758066865,0.39607261470238686,0.591943939457997,0.5385069782080733,0.5583658638556538,0.4981973158208731,0.44996876130347574,0.4952979889795516
IleLeu_CA,0.453225336696778,0.5427030632712787,0.4088276328584112,0.44887423253803843,0.48169717724319683,0.49407169398291034,0.41505658196986994,0.3438135637011044,0.4912790014891229,0.4814728693095074,0.45610211530602174
GLCA,0.5311447455572937,0.3970050780497658,0.44179267840114245,0.5287349032539916,0.36623378758625874,0.42790789986705935,0.49009521930504474,0.38994818604170484,0.4010355745336509,0.43566590096628577,0.4409563973562197
Glu_DCA,0.4450116734076485,0.4195157297406484,0.4800894413205748,0.4487873278935724,0.3820339914598571,0.4869185022336842,0.4428742889086186,0.35132259473780636,0.4774106643742631,0.3865636024558783,0.4320527816532552
3oxoDCA,0.4934081652785412,0.400301582604039,0.45361993075813734,0.3733282599811159,0.4578841302724108,0.4613885013411501,0.4753308248425147,0.3449961714980952,0.15442603005491437,0.49408930978922105,0.410877290642014
7oxoDCA,0.4008429750513207,0.37780502355820494,0.4473134720989116,0.31925595531692014,0.283686119214382,0.46764328696853114,0.38794468167063617,0.3283727222762441,0.4293324314040503,0.34828562972984406,0.3790482297289045
CA,0.456193012866585,0.32937917201012795,0.286381337579917,0.44734987809862037,0.18146746712890544,0.3357185135078003,0.35365492749334126,0.34163859881527836,0.3284584525336227,0.33501388125537285,0.3395255241289571
isoUDCA,0.32940500852605026,0.4990980707168928,0.30941106836342114,0.35658972082470164,0.3510383930626606,0.392166603249764,0.25757831987485735,0.13638039807024716,0.35780051391178946,0.3338312734583821,0.3323299370058767
TUDCA,0.3349199302883825,0.31433997096915123,0.34189813836158905,0.30669588541740067,0.3063682314200219,0.352501679373535,0.34524749033479424,0.25606101175796353,0.28894502459166566,0.3375458598157622,0.31845232223302655
