Family,CA,CDCA,DCA,LCA,UDCA
5AR%MBQ5678765_1_DUF1295_domain-containing_protein__Rikenellaceae_bacterium_,0.00065847964,0.022050083,0.37810737,0.12188014,-0.9655602
5AR%MCR5660240_1_DUF1295_domain-containing_protein__Bacteroidales_bacterium_,0.2646598,0.24052145,-0.15326384,-0.2087334,-0.19290209
5AR%MDE7159808_1_DUF1295_domain-containing_protein__Muribaculaceae_bacterium_,-0.5017717,-0.5348509,0.79460776,0.613617,-0.8762889
5AR%WP_005657188_1_DUF1295_domain-containing_protein__Bacteroides_stercoris_,0.6952279,0.59644514,-0.47587606,-0.6594188,-0.08513255
5AR%WP_418203978_1_DUF1295_domain-containing_protein__Bacteroides_sp__,0.89352226,0.77431023,-1.0,-0.7237484,0.34391633
5BR%HIX74022_1_NADH_flavin_oxidoreductase__Candidatus_Parabacteroides_intestinipullorum_,0.78416365,0.72772473,-0.8082844,-0.66724825,0.114254005
5BR%MBO5195292_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,0.68347687,0.71033555,-0.78695476,-0.7200957,0.43160206
5BR%MBO7234306_1_NADH_flavin_oxidoreductase__Paludibacteraceae_bacterium_,-0.6742202,-0.63325495,0.44570786,0.761318,-0.07922349
5BR%MCQ2066925_1_NADH_flavin_oxidoreductase__Bacteroidaceae_bacterium_,1.0,1.0,-0.8850458,-0.9906946,-1.0
5BR%MEI7492181_1_NADH_flavin_oxidoreductase__Bacteroidota_bacterium_,0.53758454,0.62599176,-0.6531928,-0.53020495,0.2226925
5BR%WP_295936477_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,-0.6531338,-0.6502603,0.46929574,0.778184,-0.1721326
5BR%WP_302380465_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,-0.9457319,-1.0,0.6054711,0.984387,0.40867588
5BR%WP_394671717_1_NADH_flavin_oxidoreductase__Muribaculum_sp__,0.2907438,0.31724718,-0.5258232,-0.45895562,0.8153553
5BR%WP_418992344_1_NADH_flavin_oxidoreductase__Alistipes_sp__,-0.50713724,-0.41079056,0.36301523,0.6395129,-0.35821703
7aHSDH%EOW9602512_1_SDR_family_NAD(P)-dependent_oxidoreductase__Escherichia_coli_,1.0,1.0,-1.0,-1.0,0.83723325
7aHSDH%GENOME025100_397,0.2966358,0.39071625,-0.06903441,-0.1173292,-0.8461032
7aHSDH%GENOME071922_1142,0.073966525,0.034096245,-0.12676677,-0.2743455,0.6207441
7aHSDH%GENOME122758_282,-0.027791206,-0.06380505,-0.19535454,-0.091404185,0.6980454
7aHSDH%GENOME125242_1669,-0.22400355,-0.29988053,-0.17816234,0.03798622,1.0
7aHSDH%GENOME141447_876,0.77080977,0.72175056,-0.6919538,-0.8848849,0.43913335
7aHSDH%GENOME150027_3593,1.0,1.0,-1.0,-1.0,-0.30173388
7aHSDH%HAY2965420_1_SDR_family_oxidoreductase__Escherichia_coli_,1.0,1.0,-1.0,-1.0,0.47686788
7aHSDH%MEO8122524_1_7-alpha-hydroxysteroid_dehydrogenase__Burkholderiales_bacterium_,1.0,1.0,-1.0,-1.0,0.8520237
7aHSDH%WP_025075670_1_7alpha-hydroxysteroid_dehydrogenase__Bacteroides_faecichinchillae_,0.41106498,0.5902414,-0.5966966,-0.6164529,0.62509745
7aHSDH%WP_288686302_1_SDR_family_NAD(P)-dependent_oxidoreductase__partial__uncultured_Bacteroides_sp__,-0.56786007,-0.3355543,0.36120084,0.32790783,0.35112536
7bHSDH%GENOME075272_507,-0.5472532,-0.80004555,0.73878723,0.3482054,0.3303419
7bHSDH%WP_394860677_1_7beta-hydroxysteroid_dehydrogenase__Mediterraneibacter_gnavus_,0.38102612,0.20701647,-0.709049,-0.53860044,1.0
BSH1%UPI0001B1C28E,0.6500946,0.54548997,-0.79994947,-0.53365713,0.36801603
BSH1%UPI00022FF9E1,-0.4754802,-0.586547,0.79036367,0.49302968,-0.565668
BSH1%UPI0002624191,-0.14007355,-0.15483421,-0.24886818,0.10813166,0.72453237
BSH1%UPI0002802AC4,0.7355726,0.9302917,-0.7437797,-0.6407729,-0.26349163
BSH1%UPI00033F0DE9,1.0,1.0,-1.0,-1.0,-0.789649
BSH1%UPI00035D264B,0.5397431,0.6363806,-0.7706336,-0.6367512,0.6485506
BSH1%UPI0003A10C39,-0.63340104,-0.66028404,0.4585673,0.7734354,-0.16730295
BSH1%UPI0004D69CD5,-0.3269939,-0.43330854,0.13480374,0.3527151,0.33253604
BSH1%UPI0004D6A0E9,-0.6185718,-0.6335057,0.6109687,0.9023275,-0.8015283
BSH1%UPI00064A1F29,0.052113883,-0.129103,-0.2524719,-0.07794444,0.70939624
BSH1%UPI00070D1B8F,0.75898534,0.7473336,-1.0,-0.8439665,1.0
BSH1%UPI0007933BD5,-0.010425287,0.030639749,-0.33857065,-0.23527883,1.0
BSH1%UPI00095C7CBB,-0.0069746943,0.03575723,-0.4501608,-0.27986342,1.0
BSH1%UPI000BCCCB22,-0.42293543,-0.40170205,0.7459483,0.35171384,-0.5617279
BSH1%UPI000BD3EFD5,0.80661803,0.6605194,-0.66890675,-0.65131325,-0.114643954
BSH2%UPI000335FD2D,-0.449891,-0.40546316,0.8750592,0.50970745,-1.0
BSH2%UPI00033F049A,-0.5927762,-0.77131236,0.48022825,0.64918166,0.16014217
BSH2%UPI000396CDDF,0.6938855,0.770992,-0.5101408,-0.7273754,-0.1449561
BSH2%UPI0005DCCFF2,-1.0,-1.0,1.0,0.9606078,-0.4029234
BSH2%UPI0006BFFEB7,0.99552256,0.76854974,-1.0,-0.9483478,0.6229274
BSH2%UPI0006C0EB58,-0.978257,-1.0,0.9552902,0.92979246,0.07462462
BSH2%UPI0006C1ADDE,0.6223253,0.5671367,-0.6997264,-0.6455171,0.46074384
BSH2%UPI0006C28698,-0.6909475,-0.7722977,0.8502759,0.666425,-0.31314486
BSH2%UPI0006C52F45,0.562492,0.5681166,-0.80204546,-0.7153151,0.92923516
BSH2%UPI0006CAB5AD,1.0,1.0,-1.0,-1.0,0.6356607
BSH2%UPI000821232B,-1.0,-1.0,1.0,1.0,0.2367229
BSH2%UPI000965B48B,0.38276675,0.5188556,-0.2661455,-0.314728,-0.43795153
BSH2%UPI000966A84B,0.5659488,0.58132404,-0.79122436,-0.56084496,0.54291195
BSH2%UPI000DC2EE55,0.5953254,0.7040163,-0.1686499,-0.50256217,-0.9293061
BSH2%UPI000E40484B,1.0,1.0,-1.0,-1.0,0.28153634
BSH2%UPI000E53BC4B,1.0,1.0,-0.63522065,-1.0,-0.520023
BSH2%UPI000E53DAEE,0.74604034,0.86638355,-0.50758797,-0.7938616,-0.25288573
BSH2%UPI000E92006C,0.5115136,0.58343875,-0.19377227,-0.35239652,-0.8452732
BSH3%UPI000238BE2F,0.94229233,0.89727783,-0.6879871,-0.9631108,-0.02331311
BSH3%UPI00033CE23D,0.886936,0.97701895,-1.0,-0.80962014,0.24341144
BSH3%UPI00092A5378,1.0,1.0,-1.0,-1.0,0.31918412
BSH3%UPI0009648BEC,0.8518346,0.9304097,-0.9845548,-0.9003566,0.4819032
BSH3%UPI000B61906D,0.38998988,0.47675464,-0.5619328,-0.5103512,0.5567806
BSH3%UPI000C9D0DE6,-0.42161608,-0.4887856,0.97792643,0.8376762,-1.0
BSH3%UPI000E3F1C35,0.36705333,0.4689851,-0.67107654,-0.4523601,0.6794233
BSH3%UPI000E902C94,0.41353372,0.3334713,-0.6422959,-0.4903072,0.8212774
BSH4%UPI0001653940,1.0,1.0,-1.0,-1.0,0.6981528
BSH4%UPI0001FAB233,-0.2223572,-0.26394415,0.0070754047,-0.14762187,1.0
BSH4%UPI000822CCAE,-1.0,-1.0,1.0,1.0,-0.3271439
BSH4%UPI000E54B9B5,-0.0006215006,-0.07720165,-0.29187977,-0.24790144,1.0
BaiA%bai_cluster_2%midas_uncultured_Eubacterium_73696%uncultured_Eubacterium_73696|FMDW01000013_861,-0.6597984,-0.5843886,0.75856644,0.5571901,-0.27924204
BaiB%bai_cluster_10%midas_Lachnoclostridium_nov_76594%Lachnoclostridium_nov_76594|ERS138182_8080_1_84_3_3065,-0.5275796,-0.51523834,0.52651465,0.5311754,-0.19126146
BaiCD%MEI3381486_1_FAD-dependent_oxidoreductase__Dorea_sp__,-0.66757506,-0.65543926,0.70357996,0.617541,-0.18525244
BaiCD%bai_cluster_1%midas_Clostridium_hiranonis_61655%Clostridium_hiranonis_61655|NZ_DS995354_290,-0.6472346,-0.6508533,0.6543768,0.6307847,-0.18099341
BaiCD%bai_cluster_10%midas_Lachnoclostridium_nov_76594%Lachnoclostridium_nov_76594|ERS138182_8080_1_84_3_3076,-0.41353273,-0.3779646,0.40125686,0.4138793,-0.17175637
BaiE%LiJ_2017__H3M515915__bin_8_fa_COLEEGFP_01274__Bile_acid_7-alpha_dehydratase,-0.101391055,-0.1195205,0.24364835,0.23712079,-0.54926735
BaiE%MCI8938768_1_nuclear_transport_factor_2_family_protein__Dorea_sp__,-0.3958843,-0.32975534,0.31638458,0.44554165,-0.19962633
BaiE%fig|1950888_3_peg_203|__Bile_acid_7-alpha_dehydratase_(EC_4_2_1_106)_(BA7_alpha_dehydratase)_(Bile_acid-inducible_operon_protein_E)____Clostridiales_bacterium_UBA4701_|_1950888_3_,-0.030674417,0.0915617,0.09949704,0.049776454,-0.36861506
BaiF%ERR688512_bin_36_KMFCMBJN_00514__Bile_acid-CoA_transferase,-0.61623526,-0.5592814,0.7308802,0.59925413,-0.45194772
BaiF%Obregon-TitoAJ_2015__NO11__bin_28_fa_ODBMCAMJ_01956__Bile_acid-CoA_transferase,-0.68371564,-0.6200138,0.54690754,0.5918565,0.12799968
BaiF%SRR5127813_bin_22_DKEDJIEF_00985__Bile_acid-CoA_transferase,-0.5476278,-0.4617745,0.46270853,0.5608359,-0.18391164
BaiF%bai_cluster_2%midas_uncultured_Eubacterium_73696%uncultured_Eubacterium_73696|FMDW01000013_892,-0.48982665,-0.4357183,0.46482754,0.4671606,-0.14699231
BaiF%bai_cluster_3%midas_Clostridium_hylemonae_61789%Dorea_sp_89094|KQ236743_10986,-0.5243415,-0.44948748,0.5650172,0.4890642,-0.27590773
BaiF%fig|1950825_3_peg_1464|__L-carnitine_dehydratase_(EC_4_2_1_89)____Clostridiales_bacterium_UBA1701_|_1950825_3_,-0.51722974,-0.41357657,0.4574177,0.6048087,-0.41437188
BaiG%MBR4017991_1_MFS_transporter__Clostridia_bacterium_,1.0,1.0,-1.0,-1.0,0.47288185
BaiH%MFR3389927_1_7-beta-dihydroxy-3-oxo-5-beta-cholanoyl-CoA_4-oxidoreductase_BaiH___Clostridium__scindens_,-0.48813292,-0.52253586,0.58656615,0.50167435,-0.30121353
BaiH%Obregon-TitoAJ_2015__NO11__bin_28_fa_ODBMCAMJ_01962__NADH_oxidase,-0.8111288,-0.76948595,0.7602828,0.8544307,-0.3280004
BaiH%bai_cluster_11%midas_Romboutsia_sp_25236%Romboutsia_sp_25236|FJTZ01000011_310,0.91805965,1.0,-0.71496,-0.87122655,-0.3859732
BaiH%bai_cluster_2%midas_uncultured_Eubacterium_73696%uncultured_Eubacterium_73696|FMDW01000013_836,-0.6819833,-0.6371444,0.8087109,0.69879436,-0.5477033
BaiI%LiJ_2014__V1_FI04__bin_94_fa_MJMNNJHI_00331__hypothetical_protein,-0.282369,-0.23033687,0.25959852,0.34766778,-0.27660137
BaiI%QinJ_2012__CON-070__bin_41_fa_AAAKDJOM_00400__hypothetical_protein,0.018847901,0.030147225,0.057118658,0.061722692,-0.32052013
