,Cluster
3oxoDCA,0
3oxoLCA,0
7oxoDCA,1
Ala_DCA,2
Asn_CA,1
Asp_CA,1
Asp_DCA,2
CA,1
CDCA,1
DCA,0
GDCA,2
GLCA,0
Gln_CA,1
Glu_CA,1
Glu_CDCA,1
Glu_DCA,2
LCA,0
Phe_CA,1
Phe_CDCA,1
Phe_DCA,2
TCDCA,3
TDCA,3
TLCA,3
Thr_CA,1
Thr_DCA,2
Trp_CA,3
Tyr_CA,1
isoCA_aMCA,1
isoLCA,0
