Family,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GDCA,GLCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,LCA,Phe_CA,Phe_CDCA,Phe_DCA,TCDCA,TDCA,TLCA,Thr_CA,Thr_DCA,Trp_CA,Tyr_CA,isoCA_aMCA,isoLCA
BSH1%UPI00033F0DE9,0.018382901,-0.05992891,-0.06755231,0.105728365,-0.054015085,-0.008501968,0.091750965,-0.07859065,-0.08103126,0.036716346,0.041651268,0.028299058,-0.03255027,-0.00781426,-0.029161353,0.07001326,0.068733126,-0.06239269,-0.031605113,0.053438634,-0.05294124,0.0014456621,-0.017986255,-0.042759944,0.09305192,-0.02287712,-0.054143094,-0.04898965,0.042936455
BSH1%UPI0003A10C39,0.0047347834,0.13619068,-0.09795659,0.08107254,-0.110903986,-0.12673049,-0.021957919,-0.06744815,-0.050175514,0.0325899,0.12960684,0.12745202,-0.18280014,-0.10420877,-0.098028146,-0.017879846,0.10505934,-0.08719726,-0.0004423456,0.06706188,0.10184523,0.115143925,0.12408335,-0.12971087,-0.010418747,-0.034963958,-0.101959504,-0.11224889,0.07468058
BSH1%UPI00044AC395,-0.105090834,-0.0060108434,0.013932532,0.0068933303,-0.023967005,0.023042073,0.06231207,0.011444666,0.0060441806,0.02898602,0.09042632,-0.028253334,-0.07396031,-0.04539263,-0.13203514,-0.011573801,0.023491692,-0.015340856,-0.071309045,0.027657237,0.051449582,0.043247238,0.099971905,-0.12506983,-0.032753095,0.0712569,0.011250565,-0.03915525,0.013721185
BSH1%UPI0004BCDDD9,-0.036978964,0.08029631,0.057131108,0.009529146,0.010375692,-0.017215814,0.011478092,0.0037151135,0.05371079,0.02676957,0.006506754,0.027557679,-0.03711705,-0.07677684,-0.114695854,-0.0014254994,0.05214787,-0.054996014,-0.098751634,-0.028719043,-0.05648718,-0.09012456,0.04719971,-0.03733997,-0.021214448,-0.008298236,-0.037883893,0.060008537,0.045305785
BSH1%UPI0004D69CD5,0.12408291,-0.01708243,0.016764583,0.075377084,0.017106256,-0.046012152,0.0011250946,-0.02970904,-0.017658815,0.063438274,0.001254118,0.019221002,-0.034790978,-0.03434168,0.03565513,0.043577548,0.040756077,-0.06979247,-0.08359092,-0.061235115,-0.06543813,0.018247347,-0.014066857,0.011403153,0.080442145,-0.12933066,-0.016808892,0.08802989,-0.032790095
BSH1%UPI0004D6A0E9,0.18470415,0.1290729,0.03384719,-0.0157707,0.040625628,-0.051865336,0.010284134,-0.018718936,-0.0192237,0.102204435,-0.020664692,-0.006285174,0.014775011,-0.07489462,0.014421684,0.06289345,0.09911114,-0.07664692,-0.09148941,-0.018348202,-0.08952413,-0.005518538,0.023228697,-0.011715398,0.016700342,-0.17548835,-0.053573865,0.11851105,0.08968932
BSH1%UPI0004F8D610,-0.028241174,0.11642477,-0.06515162,-0.01758367,-0.06891488,-0.045938402,-0.036344096,-0.01651034,0.0059002396,-0.030127421,0.06502158,-0.003913918,-0.15074717,-0.012114243,0.028535577,-0.08966709,0.0067653214,-0.067173384,0.009693135,-0.02749244,0.09988854,0.114608586,0.1056108,-0.08270668,-0.07021145,0.0051873284,-0.047423586,-0.08106102,0.014039673
BSH1%UPI0005DBBD01,-0.036972407,-0.09207287,0.06113606,-0.075313516,0.04226208,0.09360049,0.03498668,0.064472854,0.08336289,0.011860596,-0.042298432,-0.055620242,0.09734505,0.07574011,0.059044056,0.0110042365,-0.030651158,0.01697194,-0.0016999405,-0.05125048,-0.01937927,-0.06396688,-0.020844925,0.10407853,0.031396843,-0.038398787,0.010333943,0.05221593,-0.08114538
BSH1%UPI00070D1B8F,-0.17807432,-0.020553173,-0.06820608,-0.0008365567,-0.068951845,0.09874031,0.0037360957,0.011359765,-0.00423852,-0.12417791,0.060884368,0.017741228,-0.03591849,0.056402016,-0.051017113,-0.07832225,-0.034709115,-0.00795424,0.062344197,0.025726018,0.12389526,0.04439179,0.062326342,-0.084369205,-0.05613923,0.16728891,-0.092010595,-0.17108405,-0.03827195
BSH1%UPI00073AFD00,0.20954922,0.043900654,-0.029860498,0.09451617,-0.09830839,-0.17502481,0.039616946,-0.09939102,-0.09784626,0.1676947,0.067066364,0.09716231,-0.069227554,-0.10112105,-0.01957269,0.1561076,0.13047493,-0.095768444,-0.074579604,0.031139348,-0.1253635,-0.055372737,-0.03671928,-0.045126457,0.13300711,-0.15118366,-0.021306269,0.06844671,0.121141836
BSH1%UPI00076E9CCB,0.14616111,-0.04002059,-0.012698049,0.101994105,-0.013718308,-0.06435902,0.063163236,-0.08640593,-0.092950575,0.10481639,0.027431749,0.02228107,0.00818135,-0.06283333,-0.01478504,0.12694198,0.09195512,-0.070460565,-0.088732354,-0.0012359256,-0.140934,-0.044325963,-0.058600947,-0.024287269,0.13447729,-0.11250665,-0.041203972,0.06502376,0.07497585
BSH1%UPI0007933BD5,0.2073114,0.0794073,0.09431641,-0.006613103,0.03264797,-0.054265875,-0.08108518,0.017212499,0.064238206,0.09769051,-0.08392705,-0.009519916,-0.07741991,-0.03453834,0.09760913,0.0084542995,0.032508276,-0.04768337,-0.08331027,-0.07500836,-0.1185982,-0.074876696,-0.019709744,0.05253395,-0.00083734194,-0.09480628,0.010829556,0.19977075,0.019839369
BSH1%UPI000801FF16,-0.05673579,0.034134474,0.008968883,0.013265643,-0.00016671741,-0.054308522,0.010382513,-0.0040361555,0.07440544,0.06086412,0.040003084,-0.021417487,-0.0047253924,-0.085092336,-0.083576135,-0.046061058,0.067086585,-0.08228611,-0.06484557,-0.061357833,-0.038754664,-0.044902764,0.0943784,-0.04183339,-0.010605796,-0.036866575,-0.07239537,0.02889495,0.068349734
BSH1%UPI00093BFB8C,0.019099485,-0.05050931,0.0086578345,0.03423448,0.023966186,0.055360083,0.06288451,-0.030646883,-0.091364,-0.10081253,-0.082854725,-0.007231891,0.040407415,0.08400976,0.02286344,0.09701076,-0.021889115,0.08307112,0.0184737,0.05680481,-0.0190134,0.0074035614,-0.090655506,0.04222773,0.03855452,0.032026123,0.065237686,-0.01743736,-0.017621214
BSH1%UPI00095B1DAC,-0.01751944,0.0086896,0.001569552,0.09177321,-0.055690512,-0.085172765,0.13008608,-0.048509303,-0.021705523,0.15115774,0.18505149,0.001342749,-0.15019551,-0.13479432,-0.16166557,0.05781891,0.14799996,-0.14252102,-0.20807755,0.013798244,-0.016319476,0.04733385,0.120153666,-0.18779321,0.055423345,-0.044399533,-0.063383125,0.009142281,0.078419186
BSH1%UPI00095C7CBB,0.084973186,0.16846451,0.08879241,0.008087612,0.014750207,-0.06339502,-0.17237814,0.058368564,0.088745154,0.0044632927,-0.037157957,0.046912245,-0.045192055,-0.09659967,-0.014563146,-0.149897,0.03644376,-0.040583268,0.030568734,-0.055397063,0.0013361898,-0.01099675,0.07541611,0.027613016,-0.07553408,-0.046671454,-0.106481835,0.10188153,-0.013952472
BSH1%UPI000A00C8F6,-0.13485928,-0.01383511,-0.025236,-0.05380302,0.019527284,0.11768491,-0.013609476,0.043465767,0.017070284,-0.06944563,0.019894278,-0.058683943,0.035432637,0.08467084,0.03051363,-0.09467629,-0.08135334,0.04436015,0.08924984,-0.008679528,0.083209254,0.082892425,0.07383737,-0.025404267,-0.05719903,0.099582985,0.03433229,-0.0776547,-0.09004554
BSH1%UPI000BCCCB22,0.026319634,0.10080848,0.06303,-0.117893174,0.063900806,-0.024956746,-0.10222567,0.032688968,0.06343313,0.0036416876,-0.054242864,0.0056990935,0.027926302,0.02099169,0.025533078,-0.031392697,-0.01176705,0.057049584,0.09450484,-0.050416574,0.004654194,-0.063401744,-0.00793445,0.07254845,-0.055097304,-0.02050537,0.027913138,0.071861565,0.01911789
BSH1%UPI000BD3EFD5,-0.02685465,-0.07621056,0.15922272,-0.17566967,0.16748598,0.12038997,-0.060556576,0.13620155,0.055625614,-0.09975654,-0.14842437,-0.08768136,0.16736071,0.13903254,0.14968796,0.0075485897,-0.15190424,0.23920679,0.15393706,-0.005314541,0.072645605,-0.04712441,-0.053701982,0.19594531,-0.12069937,0.018399628,0.20275281,0.061056457,-0.07723186
BSH2%UPI0001599717,0.15131079,-0.015571301,0.014766311,-0.05805917,0.060788155,-0.08611934,0.092329204,-0.072160676,-0.05192397,0.0026390222,-0.19488405,-0.027680514,0.09705652,-0.003375606,0.035089567,0.21717778,-0.010292655,0.044793,-0.077214666,0.016602365,-0.23136179,-0.19346127,-0.19183207,0.14624512,0.15173961,-0.029540226,0.117472194,0.18108168,0.017626232
BSH2%UPI0001971EB2,-0.0046946593,0.01573737,0.008092929,0.0041035544,-0.013147746,-0.014047245,-0.025458751,0.011098912,0.020086901,0.008001324,0.045057483,0.03743283,-0.055129517,-0.05524516,-0.048698816,-0.043889448,0.01014572,-0.039603047,-0.034922484,-0.06465119,0.029438991,-0.0014384907,-0.0017094673,-0.026304035,0.005276388,0.014966022,-0.04112,-0.012217713,-0.005544918
BSH2%UPI0001C1C05D,0.00086191023,-0.0072301347,0.1005997,-0.1909263,0.1724818,0.18803227,-0.016708432,0.10535519,0.06520997,-0.21503916,-0.27156663,-0.22151074,0.17630263,0.19860417,0.20044354,0.043595932,-0.1795546,0.21089804,0.10746343,0.024885345,-0.04417179,-0.039184287,-0.05596919,0.1768072,-0.05780923,0.08010247,0.10979591,0.07908238,-0.14524893
BSH2%UPI0001CF4F1D,-0.013897927,-0.07594379,-0.03488298,-0.047507036,0.03739254,0.07302697,0.06798547,0.004474337,-0.037216295,-0.01442202,0.030684453,-0.059465803,0.01429657,0.06842117,0.041147243,0.037848406,-0.013960668,0.013531313,0.015623915,0.06698012,0.065439194,0.12195735,0.073754095,-0.010973543,-0.0039156615,-0.1035003,0.00976562,-0.013875178,-0.024866207
BSH2%UPI000335FD2D,0.03445767,0.10298378,-0.021763759,0.04354142,-0.015641065,-0.028256427,-0.016038109,-0.010069455,-0.02472242,0.008075472,-0.0045859013,0.047595516,-0.021962121,-0.030774182,-0.034114487,-0.010173287,0.045340333,-0.0069908137,0.02421012,0.07971725,0.012780057,0.050859526,0.07885739,-0.019116404,-0.016881375,-0.048925117,-0.026322257,-0.03671404,0.019757349
