Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GLCA,GUDCA,LCA,TCA,TCDCA,TDCA,TLCA,TUDCA,UDCA,isoUDCA
BaiCD%MEI3381486_1_FAD-dependent_oxidoreductase__Dorea_sp__,0.14170715,0.07211442,-0.12336211,1.0,0.59772456,0.71990484,-1.0,-0.85498565,0.5534714,0.5457883,-1.0,0.92932343,-0.12646699,-0.35369676,-0.21927004,-0.32794547,-0.09151977,0.8354189,0.6165643
BaiCD%RaymondF_2016__P21E7__bin_22_fa_DDJCLBHB_00368__NADH_oxidase,0.3470496,0.8922866,-0.3698934,-0.49282092,0.21554823,0.8694567,-1.0,-1.0,-0.84300077,1.0,-0.51557446,1.0,-1.0,-1.0,0.9714729,1.0,-1.0,1.0,1.0
BaiCD%XieH_2016__YSZC12003_35390__bin_5_fa_PIKIEFGP_00577__NADH_oxidase,-1.0,-0.7216934,-0.9224012,-0.4036074,-0.7193319,-0.5504437,0.25329047,1.0,-0.63310176,0.93539554,0.65676695,-0.15679382,-0.40652236,0.7913077,1.0,1.0,1.0,-1.0,-0.22823256
BaiE%LiJ_2017__H3M515915__bin_8_fa_COLEEGFP_01274__Bile_acid_7-alpha_dehydratase,-0.26718083,0.6188106,-0.07289337,-0.21859208,0.0728077,-0.5249493,-1.0,-0.7203971,-0.43703717,0.6028843,1.0,0.5220967,-0.3917542,-0.51925045,-0.29130557,0.48266864,0.20517911,-0.40384617,-0.23801169
BaiE%MCI8938768_1_nuclear_transport_factor_2_family_protein__Dorea_sp__,-1.0,-0.70515007,0.1760257,-0.75153506,-0.27606565,-0.61820996,0.59098065,1.0,-0.73589903,-0.124207824,1.0,-1.0,1.0,1.0,0.052555278,-0.54678816,1.0,-1.0,0.57819915
BaiE%fig|1950888_3_peg_203|__Bile_acid_7-alpha_dehydratase_(EC_4_2_1_106)_(BA7_alpha_dehydratase)_(Bile_acid-inducible_operon_protein_E)____Clostridiales_bacterium_UBA4701_|_1950888_3_,1.0,1.0,-0.50879216,-0.1896759,-0.035634257,1.0,-1.0,-0.48656157,0.8005063,1.0,-0.050557267,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.18050332
BaiF%KarlssonFH_2013__S54__bin_27_fa_BBGPADBL_00031__Bile_acid-CoA_transferase,0.042571202,-0.24942358,0.118185006,0.6630201,-0.74271435,0.45795736,0.58158576,0.43075985,1.0,-0.40450758,0.039282735,-0.23311825,0.8668454,0.9945322,1.0,-0.6486853,-0.5120581,-1.0,-1.0
BaiF%LiJ_2014__MH0358__bin_56_fa_NPCPOAJM_00305__Bile_acid-CoA_transferase,0.972967,0.11257019,0.26636538,0.42450204,0.31914705,1.0,-0.46620098,-1.0,-1.0,-0.61875534,-0.35552287,0.7014327,-0.66794324,-0.98354936,-0.03336214,0.6925502,-0.33208802,0.71886116,0.14315262
BaiF%LiJ_2014__V1_FI37__bin_39_fa_IHFOFLIJ_00762__L-carnitine_CoA-transferase,1.0,-0.43554634,1.0,1.0,0.9989437,-0.007338894,-0.76149434,-0.29913822,-1.0,-0.5020782,-0.09281378,-0.57500046,-0.9262963,-0.88450867,-0.7692293,0.012458032,0.2863862,1.0,1.0
BaiF%SRR4783510_bin_28_GHBMCCFK_00008__L-carnitine_CoA-transferase,0.75995284,1.0,-1.0,-1.0,-0.80695444,1.0,-1.0,-0.4272647,1.0,1.0,-1.0,1.0,-1.0,-1.0,0.72755086,1.0,-1.0,0.21753478,-1.0
BaiF%bai_cluster_2%midas_uncultured_Eubacterium_73696%uncultured_Eubacterium_73696|FMDW01000013_892,1.0,0.5112495,-1.0,-0.9964201,0.25178826,1.0,0.73249924,0.52287865,1.0,1.0,-0.21225826,1.0,-1.0,-1.0,-0.8579127,-0.6391068,-1.0,-0.8693064,-1.0
BaiF%fig|1950825_3_peg_1464|__L-carnitine_dehydratase_(EC_4_2_1_89)____Clostridiales_bacterium_UBA1701_|_1950825_3_,1.0,1.0,0.20450242,0.6054018,0.850438,0.4684332,-1.0,-1.0,-0.59342855,0.24319835,-1.0,0.7142765,-1.0,-1.0,-0.71191573,-0.16286898,-0.7819014,1.0,1.0
BaiG%LeChatelierE_2013__MH0251__bin_10_fa_BOBEKBFD_00006__Multidrug_resistance_protein_3,-1.0,-1.0,0.46002626,0.18735883,-0.18679221,-1.0,-1.0,-0.14432478,-1.0,-0.9700161,0.23000903,-0.64520663,1.0,1.0,0.6590883,0.3098269,1.0,-0.13929297,0.59828717
BaiG%MBR4017991_1_MFS_transporter__Clostridia_bacterium_,0.36939374,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.9377892,-1.0,0.9138773,-1.0,1.0,1.0,-1.0,-1.0,1.0,-0.5770769,-0.59885204
BaiG%MDY4488523_1_MFS_transporter__Candidatus_Limivicinus_sp__,1.0,1.0,-0.3187119,-0.2860275,0.4151127,1.0,-1.0,-1.0,-0.27733853,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.9028028,-1.0,1.0,1.0
BaiH%MEE0204071_1_FAD-dependent_oxidoreductase__Oscillospiraceae_bacterium_,0.4727042,0.87156534,-1.0,-0.59475726,-0.5286483,0.9971842,-0.98167926,-1.0,0.27809733,0.99217033,-0.9734781,1.0,-1.0,-0.66998965,1.0,1.0,-0.31506565,0.006241753,-0.40144584
BaiH%Obregon-TitoAJ_2015__NO11__bin_28_fa_ODBMCAMJ_01962__NADH_oxidase,1.0,1.0,-0.532883,-0.9029204,-0.14489187,1.0,-1.0,-1.0,0.21434534,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,0.40320972,-0.36149687
BaiH%bai_cluster_2%midas_uncultured_Eubacterium_73696%uncultured_Eubacterium_73696|FMDW01000013_836,-1.0,0.16541892,-0.8255802,-0.42263895,-0.9695585,-0.3718277,-0.2582495,-0.24500248,0.9600229,0.83161527,-1.0,-0.067681946,1.0,0.9953355,1.0,0.2612529,0.084177986,-1.0,-1.0
BaiI%QinJ_2012__CON-070__bin_41_fa_AAAKDJOM_00400__hypothetical_protein,-1.0,0.5882949,-1.0,-1.0,-0.82365817,0.21927296,-0.30103302,0.70316815,1.0,1.0,0.361581,1.0,-1.0,-0.37897852,1.0,1.0,-0.39598545,-0.68583477,-1.0
