Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GLCA,GUDCA,LCA,TCA,TCDCA,TDCA,TLCA,TUDCA,UDCA,isoUDCA
7aHSDH%MBE5948790_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,0.09196196,0.05050358,-0.041010465,-0.04217175,-0.02687392,0.058654174,-0.019894356,-0.025710206,0.056490988,0.043373108,-0.024853239,0.058622103,-0.054916248,-0.051821675,0.044771563,-0.014767765,-0.0838835,0.007086624,-0.03305727
7aHSDH%MBHC130__Clostridiales_bacterium_1_7_47FAA_,0.010773009,-0.02687087,0.051249877,0.029922323,0.015728502,-0.037549127,-0.010364061,-0.029687263,-0.059305135,-0.014962677,0.0699377,-0.020820493,-0.0074201934,-0.02980151,-0.040451225,0.0063905613,0.009576988,0.066627435,0.06101559
7aHSDH%MCI7810995_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,-0.0012343769,-0.012421999,-0.0076543046,0.015087693,0.021660876,-0.022053888,0.017980888,0.032056633,0.006737458,-0.010521845,-0.0032980733,-0.019441718,0.018068688,0.035045832,-0.020210426,0.026708174,0.04403114,-0.023581678,-0.059844475
7aHSDH%MCI9468093_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,-0.03691304,-0.058125887,0.0065034614,0.047738247,0.02940448,-0.050962154,0.06629302,0.09795097,0.044669226,-0.0043934463,0.04347631,-0.062193867,0.051152933,0.058136895,-0.009838408,-0.012450086,0.012664813,-0.05873387,-0.1025507
7aHSDH%MEO8122524_1_7-alpha-hydroxysteroid_dehydrogenase__Burkholderiales_bacterium_,-0.056320585,-0.08441449,0.008702701,0.012823541,0.0071189445,-0.07359313,0.08299922,0.08694404,-0.015413076,-0.023939338,0.056455806,-0.07958273,0.09592289,0.09056428,-0.024077645,-0.034988604,0.08016676,-0.03260151,-0.028555036
7aHSDH%WP_003507641_1_7alpha-hydroxysteroid_dehydrogenase___Clostridium__symbiosum_,-0.004620713,0.019921275,0.01553434,0.015627973,-0.007932105,-0.012059469,-0.03733189,-0.038807333,-0.09191405,-0.001345037,-0.051261734,0.0079718875,-0.008953031,-0.023200411,0.013799701,0.09800251,0.020353176,0.04702176,0.02295874
7aHSDH%WP_021989220_1_7alpha-hydroxysteroid_dehydrogenase__uncultured_Culturomica_sp__,-0.044695638,-0.059736595,0.0049695433,0.021641944,0.029579315,-0.023139356,0.078191936,0.07950224,0.030917931,-0.011857702,0.025419075,-0.027457546,0.04127226,0.04824102,0.019435456,-0.023974486,-0.0013680824,-0.041293737,-0.030102327
7aHSDH%WP_262434703_1_7alpha-hydroxysteroid_dehydrogenase__Jilunia_laotingensis_,-0.0761926,-0.072127245,0.0052905004,0.0246788,-0.010464093,-0.032712936,0.08358975,0.09535657,0.010164503,-0.012073376,0.054474488,-0.045125317,0.04129323,0.044079132,-0.032246627,-0.03295033,0.009639431,0.0143394135,0.019935928
7aHSDH%WP_288686302_1_SDR_family_NAD(P)-dependent_oxidoreductase__partial__uncultured_Bacteroides_sp__,0.0013078264,-0.030441608,0.022296079,0.038931575,0.024836421,0.028272664,0.013439936,0.014544537,0.0018102598,0.010416954,0.0055687283,-0.00315035,-0.009379408,-0.011229033,-0.028771676,0.0039881244,-0.042135715,0.0028713867,0.003857083
7aHSDH%WP_342232791_1_7alpha-hydroxysteroid_dehydrogenase__Pseudoflavonifractor_phocaeensis_,0.0029311457,-0.015373167,0.038778637,0.04336224,0.05987071,-0.04663667,0.0043846415,0.048720278,0.017521888,-0.041250926,0.08356632,-0.061429437,-0.035079103,-0.01600048,-0.05953463,-0.09075505,-0.0028754144,0.07891538,0.069280714
7bHSDH%GENOME075272_507,0.0048044454,-0.016480507,0.02203867,0.0308164,0.06091203,-0.023748072,-0.025819728,0.025671601,0.0037185838,-0.021427289,0.106303126,-0.028415702,-0.041407496,-0.04294856,-0.067410916,-0.091744386,0.0076721516,0.09244227,0.059658684
BSH1%UPI0001652BA3,0.03850429,0.03573859,0.021575356,-0.03716438,-0.042113196,0.026031684,-0.07021033,-0.08027818,-0.029609453,0.024894567,-0.03296105,0.047229756,-0.043177724,-0.057663087,0.027385399,0.059637662,-2.8557033e-05,0.0648618,0.04073502
BSH1%UPI0001B1C28E,-0.024123143,-0.043524295,0.01870551,0.021411898,0.01334322,-0.06015429,0.02339087,0.01828271,0.0030196733,-0.038982358,0.0013257461,-0.07011869,0.06477701,0.07556664,0.05102985,-0.0035466678,0.04172974,-0.045509674,-0.0235602
BSH1%UPI0001DE6025,0.007299689,0.009030577,0.06313167,0.028576264,0.03944945,-0.014221324,-0.0058557005,-0.016386064,-0.09706025,-0.045323405,0.026202977,-0.0012024272,-0.029450424,0.016864978,-0.03593202,0.026223185,0.011988248,0.0248308,0.06400507
BSH1%UPI0002624191,0.006773198,-0.04541736,0.027849711,0.023782993,0.034838006,-0.03343776,0.052213497,0.056296498,0.018123727,-0.008438355,-0.058248363,-0.04581421,0.043942023,0.022635644,0.043169487,0.02098796,-0.0027179,-0.027947206,-0.04090606
BSH1%UPI0002802AC4,-0.038667377,-0.0039273323,-0.0039477106,-0.028566802,-0.016617682,-0.0060003926,-0.017319525,0.0015211558,0.005990019,-0.006663957,0.044151522,-0.0033143354,-0.007330583,0.011230316,0.009577801,-0.013163093,-0.0065414184,0.03828835,0.018324027
BSH1%UPI000289C842,0.08488658,0.030942842,-0.0060722353,-0.017792463,0.0046087923,0.075929195,0.0031928879,-0.022468483,0.025415158,0.028898949,-0.015696239,0.051761784,-0.037992474,-0.065238886,-0.06685327,-0.05362771,-0.094895884,0.045365367,0.014724656
BSH1%UPI0002CB0E7D,0.08671377,0.026414678,-0.016675072,0.016187524,-0.008046891,0.055660624,-0.058751076,-0.0642587,0.011333241,0.014693675,-0.033434052,0.036416996,-0.06697192,-0.0727759,0.003583309,0.012478715,-0.04473106,0.07358573,0.030756395
BSH1%UPI0002F95F26,-0.02957241,-0.027533894,0.0606974,0.009869121,-0.0010602837,-0.03975681,0.09769836,0.06114263,-0.012580713,-0.062257107,-0.031170938,-0.050137803,0.070225865,0.068694636,-0.03309653,-0.07222813,0.010617383,-0.03284079,-0.0007722255
BSH1%UPI00033F0DE9,-0.030428812,-0.031176643,0.04803423,0.06318473,0.052771807,-0.045722675,0.0031927219,0.0015109425,-0.0058006095,-0.05766688,0.05575956,-0.026528586,0.014301045,0.029051732,-0.054403048,-0.09949833,0.06381324,0.0340233,0.03668131
BSH1%UPI00035D264B,0.005099782,-0.03223193,0.053579606,0.040444735,0.034821752,-0.015200827,-0.009846473,0.0071930503,-0.039815933,-0.06462743,0.04464333,-0.028045908,0.0054101343,0.00080345257,-0.044178687,-0.06086552,0.030897105,0.07082131,0.091477916
BSH1%UPI0003A10C39,0.007529634,0.036749024,-0.050718635,-0.035967384,-0.047402754,0.0398631,-0.0056067733,0.0068973857,0.08427701,0.069070674,-0.02002132,0.03482367,-0.0539081,-0.04570796,0.015474342,-0.0197635,-0.028574647,0.0059999037,-0.021407116
BSH1%UPI00041C4F56,0.030126743,0.04441507,-0.118262015,-0.050654363,-0.049643125,0.100582324,0.046341583,-0.0056127016,0.14976335,0.03951069,-0.068832986,0.07351944,-0.026312761,-0.012908589,0.09283913,0.013189391,-0.09810172,-0.07760178,-0.12166861
BSH1%UPI00044AC395,-0.09834416,-0.07600787,0.040284213,0.04095878,0.028443651,-0.034467317,0.08231904,0.062660314,-0.009939405,-0.05489959,0.0740678,-0.05396507,0.05824513,0.07815531,-0.013973044,-0.06144922,0.027050758,-0.017769549,0.019831933
BSH1%UPI0004BCDDD9,-0.005645601,-0.0060573774,0.0035555905,-0.009599188,0.03165232,-0.017979093,0.06302557,0.0317604,0.01161807,-0.025059836,0.014594465,-0.037115984,0.056055326,0.04168385,-0.014915805,-0.05612872,-0.034118295,-0.0486287,-0.021312805
BSH1%UPI0004D69CD5,0.007728147,0.01872606,-0.00014455913,0.0001892975,0.0013040111,0.017519748,-0.056014862,-0.039622974,0.0008749482,0.041527003,-0.038735326,0.0048171417,-0.025325071,-0.048027385,0.039806534,0.067559175,-0.0060961293,0.0384126,0.024957366
BSH1%UPI0004D6A0E9,0.00786145,0.018527396,-0.03059738,-0.020234706,-0.03232731,-0.010857664,-0.038046125,-0.03469173,0.027258404,-0.022034736,-0.01898715,0.018132973,-0.043380853,-0.007515169,0.082887,0.07671044,0.027551148,-0.01236208,-0.011125789
BSH1%UPI0004F8D610,0.05918478,0.09970301,-0.07530672,-0.08599164,-0.0997072,0.054291982,-0.07899833,-0.056297082,0.042088035,0.085792236,-0.0039234594,0.08170413,-0.080035724,-0.07925038,0.001572147,0.004195217,-0.039245177,0.034618653,0.006859452
BSH1%UPI0005DBBD01,0.03739131,0.023591861,0.05590415,0.036964633,0.027997343,0.026068116,-0.058746718,-0.032689866,0.0054477393,0.021566212,-0.047436975,0.0010892708,-0.06392855,-0.045095123,0.0008226082,0.0013598776,-0.024323156,0.020365376,0.014225133
BSH1%UPI00070D1B8F,-0.058315706,-0.015084219,-0.01639829,-0.021478426,-0.009626313,-0.01376556,0.009998655,0.013860127,0.080047905,0.038279608,0.034454487,-0.027992899,0.0039279256,0.014088229,0.048439372,-0.021121556,0.007621042,-0.051291212,-0.026891405
BSH1%UPI00073AFD00,0.021541266,-0.057829585,0.092920296,0.07742536,0.072620876,-0.046839286,0.056287717,0.051251907,-0.078272864,-0.049000047,0.04139483,-0.044497382,0.05695992,0.039616015,-0.081970625,-0.08588468,0.008868329,0.0062896926,0.015822632
BSH1%UPI00076E9CCB,0.037659563,0.0064441576,0.023248807,0.013749919,-0.0071242773,-0.013221567,-0.042466063,-0.022630604,-0.0030188123,0.041724518,-0.0013256486,0.005677404,-0.034993242,-0.034570202,-0.028100275,0.013373672,0.020467505,0.028888118,0.03559117
BSH1%UPI0007933BD5,0.060937528,0.05589225,0.004368144,0.0020862995,-0.004992321,0.023808355,-0.10057935,-0.07769806,-0.034098763,-0.008878015,-0.011473357,0.021190455,-0.045360085,-0.047066674,0.0071553574,0.031664282,0.03472118,0.049223974,0.046242062
BSH1%UPI000801FF16,-0.008905888,0.023544522,-0.07393173,-0.054305725,-0.06560561,0.057553604,-0.010347433,0.017890468,0.067369245,0.010984238,0.04416653,0.03118158,-0.029048612,-0.0005959043,0.040040813,-0.0114406645,-0.027441826,-0.049825426,-0.036932256
