,Cluster
12oxoCA,0
12oxoDCA,1
3oxoCA,0
3oxoCDCA,0
3oxoDCA,1
3oxoLCA,1
7_12oxoLCA,0
7oxoDCA,0
7oxoLCA,0
CA,0
CA_S,0
CDCA,0
DCA,1
GCA,2
GCA_S,0
GCDCA,2
GDCA,1
GLCA,3
GUDCA,0
HCA,0
LCA,1
TCA,0
TCA_S,0
TCDCA,2
TDCA,3
TLCA,3
TUDCA_2,0
UCA,0
UDCA,0
