SampleID,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Mean
C18n_QI5861,0.7547784197317349,0.7594547487785251,0.7569917114857226,0.7596007500940067,0.7507342322866232,0.7671778754113944,0.7570833297608739,0.7618195536426227,0.7517384812678598,0.7536253522955402,0.7573004454754902
C18n_QI4591,0.7526037105401437,0.7517551391360692,0.7553870443430003,0.7559214434532742,0.7538126308285699,0.7586489244038995,0.7518951387196225,0.7450252378951805,0.754108063020635,0.7632117104813512,0.7542369042821745
C18n_QI3406,0.7584444980653603,0.7479975650116176,0.7498582243937334,0.7519921463050767,0.7582219440467107,0.7538926130928395,0.7505732878834832,0.7531562603929871,0.7602891120008919,0.7547435116990904,0.7539169162891791
C18n_QI4486,0.7463955925240469,0.7518094227132922,0.7542675376118743,0.7478966379277613,0.7528145060635866,0.7546321734476031,0.7529164130220436,0.7448666206942167,0.759298703748388,0.7596973902264859,0.7524594997979299
C18n_QI4771,0.7570757357327198,0.7455211769273828,0.7452824549778243,0.7452061472433066,0.7523151374702822,0.7489293032724138,0.7457252358129469,0.7455487359005232,0.7531285558730623,0.7544347287155927,0.7493167211926054
C18n_QI4593,0.7441313472908305,0.7438662912113823,0.7505005321943925,0.7462437119609618,0.7476657549750072,0.748811595836023,0.7451337590071911,0.7370542029883728,0.7513732330105056,0.7549158471444618,0.7469696275619129
C18n_QI4058,0.7420589125106715,0.7378761952939074,0.7427057522313583,0.7427470294489064,0.7432477453697864,0.748010548350075,0.7376803428581229,0.7349986710450731,0.739819164142469,0.7507020189091301,0.7419846380159499
C18n_QI4060,0.7389611614453641,0.7371874659340473,0.740280440110677,0.7408111646911987,0.7383750739499113,0.7415003839883592,0.7343633448509428,0.7346598794019338,0.7395283863547564,0.746737446275313,0.7392404747002504
C18n_QI3996,0.7379724679734112,0.7330370845791011,0.740244797172082,0.7381753020157246,0.7402793377517513,0.7422503555107536,0.7338823489063987,0.7299689747204603,0.7392172761690824,0.7430469935609992,0.7378074938359764
C18n_QI12075,0.7422110380424066,0.7329283184984403,0.7342141589430095,0.741585878047257,0.7371430041240473,0.7445024747957881,0.7403443769283627,0.7256349893622364,0.7347153648011897,0.7271659209412676,0.7360445524484005
C18n_QI5450,0.7408452153335677,0.7311694435904567,0.7288595117039899,0.7262875858462015,0.7374493374210437,0.7369007301290619,0.7304857360879242,0.7417017482187718,0.7414573919902602,0.7354129130324547,0.735056961335373
C18n_QI2729,0.7338411941731758,0.7277925507483181,0.7376591530698859,0.7317414453885265,0.7355172696774132,0.7398463556626342,0.7340953491476929,0.7262188721398379,0.7408517070027965,0.7422065061223792,0.7349770403132659
C18n_QI3998,0.7324522219268991,0.7286749278261115,0.7350700794065881,0.7348690826291506,0.7335533560092647,0.7401528114439555,0.7320138505274789,0.7262423891302512,0.7377026350052853,0.7415296577420506,0.7342261011647035
C18n_QI4070,0.7353936829934191,0.7335638896612207,0.7335818948570059,0.7310334859896306,0.7406406665107034,0.7386108562756682,0.7311108960830738,0.7344628021228984,0.7351109891711609,0.7270550726270807,0.7340564236291861
C18n_QI4594,0.7340505198847178,0.7269046618758965,0.7364524374993112,0.7327839094791845,0.7351983204949348,0.7388364724024444,0.7319250493918042,0.7239053882079441,0.7381206740067441,0.741585878047257,0.7339763311290238
