,Cluster
3oxoDCA,0
3oxoLCA,1
7oxoDCA,2
Ala_DCA,1
Asn_CA,2
Asp_CA,2
Asp_DCA,1
CA,2
CDCA,2
Citrulline_DCA,1
DCA,0
GCA,3
GDCA,1
GLCA,1
Gln_CA,2
Glu_CA,2
Glu_CDCA,2
Glu_DCA,0
HCA,1
His_DCA,1
LCA,1
Lys_CDCA,1
Met_CA,2
Met_CDCA,1
Phe_CA,2
Phe_CDCA,2
Phe_DCA,0
TCA,3
TCDCA,3
TDCA,3
TLCA,3
Thr_CA,2
Thr_CDCA,2
Thr_DCA,0
Trp_CA,2
Trp_CDCA,2
Tyr_CA,2
Tyr_UDCA,0
UDCA,0
isoCA_aMCA,0
isoDCA,0
isoLCA,1
isoalloLCA,1
