Family,12oxoCA,12oxoDCA,3oxoCA,3oxoCDCA,3oxoDCA,3oxoLCA,7_12oxoLCA,7oxoDCA,7oxoLCA,CA,CA_S,CDCA,DCA,GCA,GCA_S,GCDCA,GDCA,GLCA,GUDCA,HCA,LCA,TCA,TCA_S,TCDCA,TDCA,TLCA,TUDCA_2,UCA,UDCA
5AR%GENOME179594_130,-0.0032996219,-0.008087098,0.0046983995,0.009077791,-0.008418638,-0.0064898217,0.0058516175,-0.0008424611,0.00056893745,0.0020267286,-0.0051008314,0.007042203,-0.008980313,0.005854794,0.0065713264,0.0041146395,-0.0073131626,-0.0069215996,0.001492249,-0.0005175802,-0.0075090905,0.0010468644,0.00618819,0.0015938776,-0.009798464,-0.005531335,0.003877509,-0.0010988717,-0.0057809497
5AR%GENOME179896_434,-0.00019533947,-0.005631777,0.004521975,0.005482308,-0.0047079194,-0.0034397838,0.005107879,0.0026545674,0.0060544787,0.004128393,0.0053595067,0.0050805467,-0.0050127087,0.00067210937,0.005367023,0.00206897,-0.003430264,-0.0007223683,0.0030550242,0.0009623876,-0.0045069815,0.0016455617,0.0028981958,-0.0014302388,-0.0017383232,0.0015165168,0.0026056075,0.0034471098,0.001189665
5AR%HIU55603_1_DUF1295_domain-containing_protein__Candidatus_Gallibacteroides_avistercoris_,0.003315762,-0.0063470644,0.0040362985,0.00540839,-0.0057018423,-0.004606898,0.004873039,0.0047442964,0.0041215615,0.004263782,0.0021069557,0.0050594597,-0.0060967123,0.0006089341,0.0039782375,0.00052534946,-0.0050325473,-0.002583097,0.00034387506,0.002480034,-0.0056580077,0.0009643454,0.0013355758,-7.5825206e-05,-0.003143198,-0.0022437884,0.00022356014,0.0018394622,0.0028915734
5AR%MBD5276024_1_DUF1295_domain-containing_protein__Bacteroides_sp__,-0.0040009674,-0.0018223299,-0.0013723694,0.0017104669,-0.0015428741,-0.0023095966,0.0003400052,-0.002582552,-0.00188361,-0.0016895385,-0.0031664744,-0.00018869262,-0.00231883,0.0024483276,0.0012641752,0.0029682072,-0.0020655058,-0.00274812,0.0002442652,-0.0015933171,-0.0008244724,-0.0030173308,0.00020195014,-0.0012311762,-0.005964989,-0.0026878228,-0.0011159737,-0.00048863667,-0.0038855472
5AR%MBP3601379_1_DUF1295_domain-containing_protein__Alistipes_sp__,-0.016975066,0.024825064,-0.027473498,-0.024332143,0.024172202,0.014159682,-0.020921905,-0.021532545,-0.02424303,-0.024865298,-0.014680353,-0.027224338,0.023478914,-0.006077792,-0.021413395,0.0011607014,0.01681074,0.0038911542,-0.011845645,-0.012707928,0.024792843,-0.01907538,-0.02136837,-0.008500781,-0.0018925859,-0.0006528093,-0.020894228,-0.009772367,-0.014164852
5AR%MBQ1253485_1_DUF1295_domain-containing_protein__Alistipes_sp__,-0.009784109,-0.0030949626,-0.0035187844,0.0020075222,-0.0030266624,-0.0038526917,6.8271394e-05,-0.006978437,-0.00560451,-0.004580643,-0.009299851,-0.00053327327,-0.0039480994,0.004616309,0.0011665593,0.005545672,-0.0037589828,-0.0060671447,-0.0013056202,-0.0050791986,-0.0018365587,-0.004682824,0.00023302503,-0.0018315777,-0.011280869,-0.0059732306,-0.001978039,-0.0034679514,-0.0098061655
5AR%MBR4740186_1_DUF1295_domain-containing_protein__Bacteroidales_bacterium_,0.005500583,-0.018822646,0.011622075,0.014201678,-0.017971165,-0.0121239945,0.009004082,0.008719278,0.006618913,0.012137623,-0.0014566733,0.015311342,-0.018352173,0.0054835863,0.010370757,0.002645849,-0.016607482,-0.010166402,0.0023658788,0.004147746,-0.019329099,0.00859158,0.011231596,0.009087485,-0.00913625,-0.008194591,0.008355159,0.00088168465,0.00333882
5AR%MCD7962281_1_DUF1295_domain-containing_protein__Rikenellaceae_bacterium_,-0.0032521528,0.0023109817,-0.0011108764,-0.002041693,0.0024513567,0.0039527384,-0.0019644187,-0.0022389586,0.0025508376,-0.002658149,0.0064261323,-0.0024627098,0.0030646306,-0.0020642488,0.0015399733,0.0013277583,0.004190208,0.0033483938,0.002162157,0.00025042723,0.0024807083,-0.00036639482,0.0016804014,-0.0033295664,0.0050072707,0.006333828,0.0035959017,0.0024275132,0.0016459064
5AR%MCQ2341803_1_DUF1295_domain-containing_protein__Paludibacteraceae_bacterium_,0.010301352,-0.0060791653,0.01142813,0.0056841504,-0.0063058054,-0.002129747,0.0050509963,0.009385771,0.008526081,0.0099637965,0.0017726462,0.008864846,-0.005658709,0.0042806417,0.0052049463,-0.003310959,-0.00547768,-0.001941359,0.0053387517,0.006345553,-0.00774734,0.008547507,0.006977089,0.004406275,0.0017126884,-0.0013951345,0.0044610016,0.001742279,0.0052038883
5AR%MCR5660240_1_DUF1295_domain-containing_protein__Bacteroidales_bacterium_,-0.007073566,0.004719651,-0.010744692,-0.0066532358,0.005767148,0.0022827154,-0.0064994902,-0.006195503,-0.008244842,-0.008315558,-0.0037933127,-0.008615359,0.0049485206,-0.0032675671,-0.0054860115,0.002439926,0.002873239,0.000117328724,-0.005165948,-0.004166869,0.0053385254,-0.0087445695,-0.00790326,-0.003854961,-0.003946924,-0.0013432394,-0.009465453,-0.002421741,-0.0038587302
5AR%MDE7159808_1_DUF1295_domain-containing_protein__Muribaculaceae_bacterium_,-0.002886734,-0.008950794,0.003203749,0.007236553,-0.008236211,-0.0047011445,0.0043356707,0.0017447859,0.0026793543,0.0037957511,0.00038274284,0.005952963,-0.008445615,0.0038723033,0.0072581666,0.0048685377,-0.005773173,-0.0019584768,0.0011536051,0.00012124169,-0.007996377,0.0035428512,0.0056719463,0.0029939718,-0.00423854,-0.00063253776,0.0057550096,0.0009119941,-0.0006170002
5AR%WP_005657188_1_DUF1295_domain-containing_protein__Bacteroides_stercoris_,-0.0007871371,-0.0067808195,0.0009840915,0.0045011123,-0.005319257,-0.005248408,0.0037771263,0.0025088638,0.0021638118,0.0018445583,0.002588251,0.003152642,-0.006352565,-0.0021931846,0.003553698,0.00241361,-0.004708181,-0.0020795583,-0.0005320121,-0.000152634,-0.0054242555,-0.0011453398,0.000997482,-0.0013816875,-0.0041936752,-0.0015860567,0.0002594173,0.002642214,0.0018094657
5AR%WP_035471352_1_MULTISPECIES__DUF1295_domain-containing_protein__Rikenellaceae_,-0.010321567,0.0071171666,-0.01211111,-0.007862318,0.0066670883,0.004370577,-0.008690497,-0.01123785,-0.010807522,-0.010871269,-0.009433934,-0.009930532,0.006561252,0.0011604176,-0.007010835,0.0032378852,0.0045394707,-0.0017067414,-0.0033917797,-0.0071951803,0.0075936024,-0.007403218,-0.0069254255,-0.0015924955,-0.0043955175,-0.0020493108,-0.005195747,-0.0052759303,-0.008742861
5AR%WP_282194747_1_DUF1295_domain-containing_protein__Alistipes_ihumii_,-0.005531254,-0.010022105,0.0018267012,0.0069830376,-0.008605926,-0.00749402,0.0035131373,-0.0011055197,0.0009985232,0.00066563586,-0.0022888675,0.0052091656,-0.009576111,0.0022654352,0.0062080305,0.0051404075,-0.007303751,-0.0060841683,0.0004832317,-0.0006775167,-0.0087784,-0.0008399383,0.0062923455,-0.00017903867,-0.007822924,-0.003898445,0.0037097398,0.00074242475,-0.0012832549
5AR%WP_300108487_1_DUF1295_domain-containing_protein__uncultured_Alistipes_sp__,-0.011359201,0.023131499,-0.022032952,-0.022734784,0.021627007,0.013357425,-0.020011615,-0.01849709,-0.02070943,-0.020920899,-0.015551107,-0.023592867,0.021651227,-0.001761702,-0.020202018,-0.00180288,0.015702646,0.0014016316,-0.008512499,-0.009182602,0.022243746,-0.014379886,-0.017242253,-0.0052057137,0.0007944781,-0.0026329344,-0.017152976,-0.011065037,-0.012048092
5AR%WP_302729833_1_DUF1295_domain-containing_protein__Bacteroides_sp__ET489_,-0.0028729094,0.0031422388,-0.0061314767,-0.005154672,0.00383273,0.0024636183,-0.006143777,-0.0027617025,-0.0032942134,-0.005065839,-0.00034004956,-0.005782761,0.0038075754,-0.0011415614,-0.0028271966,0.0009477072,0.0024122796,-9.672048e-05,-0.0015871002,-0.0005312828,0.0030750853,-0.004547665,-0.0027532766,-0.002270303,0.00053438684,0.0004976225,-0.004143044,-0.0007921002,0.0014111901
5AR%WP_346709278_1_DUF1295_domain-containing_protein__Phocaeicola_salanitronis_,0.011528292,-0.012143507,0.013299317,0.012316426,-0.011777512,-0.007277325,0.010006399,0.01250033,0.013214079,0.012862208,0.0121502355,0.014290052,-0.011152175,-0.0022037202,0.010240617,-0.0025673753,-0.010879718,-0.0024706405,0.0035635256,0.007577507,-0.012939853,0.008494453,0.008502829,0.0042174133,0.0013333044,3.780139e-05,0.0051525,0.004269476,0.0084125595
5AR%WP_418203978_1_DUF1295_domain-containing_protein__Bacteroides_sp__,0.011734302,-0.019639213,0.01778798,0.018816235,-0.018408919,-0.011569918,0.01495579,0.015729599,0.018088879,0.017278336,0.015216946,0.02011885,-0.01811436,-0.0004137507,0.016144378,0.00011317867,-0.015657457,-0.003921652,0.0058038575,0.008474375,-0.019501172,0.011109564,0.013267441,0.0051807077,-0.0013449447,0.00027746343,0.009586627,0.007119801,0.010502007
5BR%CAK7070565_1_MAG__NADPH_dehydrogenase__Parabacteroides_sp__,-0.010169332,0.020650094,-0.018355407,-0.018244077,0.019248998,0.011630836,-0.015668195,-0.015388536,-0.016582862,-0.018532263,-0.010273898,-0.02009628,0.01926928,-0.0020990914,-0.015717935,-0.0003506709,0.014907582,0.0031933836,-0.0066313334,-0.0073004854,0.020852687,-0.013645768,-0.014022947,-0.006216495,0.0011359182,0.00016085173,-0.014004809,-0.007472277,-0.009911787
5BR%GENOME006024_4796,0.0068758167,-0.018106323,0.013029095,0.015673116,-0.01655355,-0.012290869,0.011981063,0.011507999,0.01107126,0.012155681,0.007614826,0.015789071,-0.017171867,0.0009020642,0.013425442,0.001607187,-0.013671536,-0.0059064366,0.0038057321,0.0067197476,-0.017092561,0.006288588,0.012382337,0.0040692375,-0.004963156,-0.0035595514,0.0082777925,0.0049074115,0.0070109023
5BR%GENOME006521_2122,-0.0045662494,0.008518539,-0.007421576,-0.0071003987,0.008062359,0.005274251,-0.0073581035,-0.0069239927,-0.0048260842,-0.008474427,-0.0011059415,-0.00852296,0.00823679,-0.00020579089,-0.005224714,-8.813697e-05,0.006406213,0.00010978058,-0.00053414534,-0.002168455,0.0085094245,-0.006496557,-0.0053394507,-0.004412036,0.00076054444,0.00036606286,-0.0058346386,-0.0028680076,-0.0030441724
5BR%GENOME141824_1849,0.005179292,-0.012886755,0.0101079,0.008851543,-0.010967511,-0.0071749403,0.0068946593,0.008905906,0.010123584,0.010266169,0.003670355,0.01051194,-0.011251349,0.0021289675,0.0077281483,0.0011814184,-0.010311777,-0.0034496484,0.00411103,0.0049476116,-0.013475486,0.006285157,0.0069513917,0.0027687442,-0.0031629447,-0.001996277,0.0033524097,0.004296645,0.0063460334
5BR%HIX74022_1_NADH_flavin_oxidoreductase__Candidatus_Parabacteroides_intestinipullorum_,0.0066115307,-0.011740077,0.009181052,0.010916464,-0.011010092,-0.0071173687,0.007714016,0.008739797,0.009290228,0.009257241,0.008893641,0.011534886,-0.010889559,-0.0019172729,0.00931887,0.00017394908,-0.01043538,-0.0030522526,0.0016478656,0.0049077217,-0.012039207,0.005916546,0.00752822,0.0037826882,-0.0016957219,-0.00064245565,0.004088265,0.0030866584,0.0052242465
5BR%MBO4402754_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,0.0015082122,-0.00866271,0.005262584,0.0053062304,-0.007266341,-0.00542189,0.003590821,0.0041683502,0.005134713,0.004986901,0.0004591646,0.0059042573,-0.007694961,0.0030602482,0.0049777897,0.0024711166,-0.006682393,-0.0036385232,0.0030428225,0.0025142466,-0.008646259,0.002874869,0.0049046664,0.0015134002,-0.0040711197,-0.0031247821,0.0014281532,0.0020200491,0.0031444556
5BR%MBO7234306_1_NADH_flavin_oxidoreductase__Paludibacteraceae_bacterium_,-0.006470438,0.016888,-0.014139082,-0.014942832,0.015997563,0.009362962,-0.012380931,-0.01076605,-0.011988036,-0.01386255,-0.0053768777,-0.016609253,0.01592828,-0.0014294968,-0.012741834,-0.0007071339,0.013197311,0.0040117637,-0.0044266954,-0.0043044044,0.017388916,-0.010765511,-0.011914701,-0.0049964986,0.0025767856,0.0011773222,-0.011710039,-0.0046421536,-0.0058055837
5BR%MBO8446450_1_NADH_flavin_oxidoreductase__Candidatus_Enterocola_intestinipullorum_,-0.0057623116,0.0016173964,-0.0076930183,-0.003992719,0.0026148227,0.00035200603,-0.004212943,-0.004642441,-0.00653182,-0.0057085417,-0.0027513204,-0.0055203615,0.0016790867,-0.0034412784,-0.0035978733,0.0024298737,0.00047063892,-0.0010150071,-0.0044006812,-0.003904021,0.0023569409,-0.006177362,-0.004916385,-0.0014491056,-0.004703258,-0.002126778,-0.0058214827,-0.0015643911,-0.0032237468
