Family,12oxoCA,12oxoDCA,3oxoCA,3oxoCDCA,3oxoDCA,3oxoLCA,7_12oxoLCA,7oxoDCA,7oxoLCA,CA,CA_S,CDCA,DCA,GCA,GCA_S,GCDCA,GDCA,GLCA,GUDCA,HCA,LCA,TCA,TCA_S,TCDCA,TDCA,TLCA,TUDCA_2,UCA,UDCA
5BR%MBO7234306_1_NADH_flavin_oxidoreductase__Paludibacteraceae_bacterium_,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-0.94956875,-1.0,1.0,-0.25245237,-1.0,-0.12488145,1.0,0.70848656,-0.7817644,-0.76016754,1.0,-1.0,-1.0,-0.88239294,0.45506617,0.20791776,-1.0,-0.8198148,-1.0
5BR%MBO8446450_1_NADH_flavin_oxidoreductase__Candidatus_Enterocola_intestinipullorum_,-1.0,0.28563586,-1.0,-0.7051232,0.4617836,0.06216506,-0.7440152,-0.8198656,-1.0,-1.0,-0.4858894,-0.9749083,0.29653051,-0.60773754,-0.63539255,0.4291212,0.0831159,-0.17925255,-0.77717024,-0.68945897,0.41624108,-1.0,-0.86824465,-0.2559153,-0.83060604,-0.3755938,-1.0,-0.276275,-0.569321
5BR%MBQ8101082_1_NADH_flavin_oxidoreductase__Paludibacteraceae_bacterium_,0.15026014,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-0.40652502,-1.0,1.0,-0.5078859,-1.0,-1.0,1.0,0.6447114,-0.40066534,-0.44678196,1.0,-0.9294873,-1.0,-0.6078391,1.0,0.29398078,-1.0,-0.75163627,-0.2896758
5BR%MCA9548846_1_NADH_flavin_oxidoreductase__Myxococcales_bacterium_,0.14310089,-0.0998318,-0.01613254,-0.24790864,-0.012751822,0.13078804,-0.3250808,0.15599327,0.06812457,-0.03346023,0.10133452,-0.12068349,0.015665695,-0.35494265,-0.13642555,-0.090082385,-0.034965847,-0.034860805,-0.23933731,0.2246579,-0.18643977,0.015447377,0.07418323,0.0770631,0.30529532,-0.05901381,-0.03395727,0.07554431,0.5932293
5BR%MCD8287651_1_NADH_flavin_oxidoreductase__Porphyromonadaceae_bacterium_,-0.939692,0.81294805,-1.0,-0.87574834,0.8659552,0.39264852,-0.7125155,-0.8803225,-1.0,-1.0,-0.4529881,-1.0,0.7478881,-0.7390055,-0.77535975,0.22379144,0.51528513,0.07331092,-0.77333635,-0.67290163,0.91287816,-1.0,-1.0,-0.73705477,-0.38077727,0.023021534,-0.94934356,-0.16648078,-0.5650894
5BR%MCH5231198_1_NADH_flavin_oxidoreductase__Muribaculaceae_bacterium_,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.795591,1.0,-1.0,1.0,1.0,0.37425396,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-0.8873317,-0.5887355,1.0,0.95847404,1.0
5BR%MCQ2271787_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,-1.0,1.0,-1.0,-1.0,1.0,0.6703411,-1.0,-1.0,-1.0,-1.0,-0.47432283,-1.0,1.0,-0.7202733,-1.0,0.25821963,0.5970507,-0.11767995,-0.7850206,-0.7443455,1.0,-1.0,-1.0,-0.551432,-0.41223186,-0.17953405,-1.0,-0.7179817,-0.78943557
5BR%MCR4591939_1_NADH_flavin_oxidoreductase__Bacteroidaceae_bacterium_,0.61496264,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-0.2613507,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,0.910443,0.740338,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.41776645,0.38569134
5BR%MDD5892138_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,-0.59993625,-1.0,-0.4004211,0.69858515,-1.0,-0.99851465,0.19105338,0.1095528,-0.4826419,0.07193308,-0.62972546,0.39211816,-1.0,0.20187812,0.61804825,0.8824298,-1.0,-0.8523151,-0.4059161,-0.20025204,-1.0,-0.36104327,0.32141894,0.42476127,-1.0,-0.8708691,-0.03203393,-0.05555733,-0.17171204
5BR%MDL2227349_1_NADH_flavin_oxidoreductase__Odoribacter_sp__OttesenSCG-928-L07_,-0.67009544,-1.0,0.053177092,0.6785136,-1.0,-0.62249976,0.16004251,-0.33736628,-0.16056244,0.13111944,-1.0,0.5527742,-1.0,0.86864895,0.4919257,0.65630305,-0.9784104,-0.93628556,0.16886422,-0.34600806,-1.0,0.25243056,0.46107852,0.5359727,-1.0,-0.68268543,0.49264458,-0.2657335,-0.6520158
5BR%MEI7492181_1_NADH_flavin_oxidoreductase__Bacteroidota_bacterium_,-1.0,0.5791136,-1.0,-1.0,0.6598995,0.21265894,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.46885258,0.3074993,-0.9917978,1.0,0.27529103,-0.666199,-0.8532639,-1.0,0.7996944,-1.0,-0.94086784,-0.253966,-1.0,-0.8648515,-0.9049266,-0.95465595,-1.0
5BR%MEZ3591839_1_NADH_flavin_oxidoreductase__Muribaculaceae_bacterium_,-0.44885302,0.9802285,-0.9091111,-0.89484847,0.9470687,0.66961443,-1.0,-0.7192082,-0.58567864,-0.8847066,-0.18513092,-1.0,0.9644979,0.12266864,-0.6551084,0.05281739,0.7221502,0.05468452,0.0021475656,-0.19111766,0.98141,-0.81169796,-0.56793994,-0.3544539,0.029912485,0.0506551,-0.66671324,-0.2224453,-0.20651437
5BR%WP_071425025_1_NADH_flavin_oxidoreductase__Tidjanibacter_massiliensis_,-0.99457145,0.1613652,-0.91437703,-0.44032276,0.19862995,0.23267451,-0.65579015,-0.87181014,-0.6570452,-0.7331186,-0.71692723,-0.65094155,0.17838162,0.41485628,-0.27465683,0.564887,0.14158697,-0.29262227,0.014223759,-0.56454307,0.26853514,-0.43457398,-0.35018894,-0.03177762,-0.5386386,-0.08937973,-0.11771873,-0.23754372,-0.5674261
5BR%WP_259010233_1_NADH_flavin_oxidoreductase__Parabacteroides_distasonis_,0.9201763,1.0,-0.23945814,-0.8927132,1.0,1.0,-0.35856074,0.44926485,0.599452,-0.09669284,1.0,-0.7748811,1.0,-0.9770793,-0.5155483,-0.7996545,1.0,1.0,-0.02178845,0.42066887,1.0,-0.42923385,-1.0,-0.732109,1.0,0.9970519,-1.0,0.39562124,0.8893782
5BR%WP_279088787_1_NADH_flavin_oxidoreductase__Alistipes_putredinis_,-0.2238428,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.04612897,-1.0,-0.7972412,1.0,0.27329966,-0.694753,-0.589587,1.0,-1.0,-1.0,-0.36167547,0.4726625,-0.45311478,-1.0,-1.0,-1.0
5BR%WP_295936477_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.42756945,-1.0,-0.31762892,1.0,0.8851468,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.4993533,-0.0033409894,-1.0,-1.0,-1.0
5BR%WP_300285921_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-0.32575148,1.0,-0.46567798,-1.0,-0.52961683,0.5328426,1.0,-1.0,1.0,1.0,0.7953925,0.16576096,-0.08458071,0.7510846,0.6247065,1.0
5BR%WP_300748828_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,-0.39314944,-0.8243984,0.23928116,0.5660139,-0.7789987,-0.47680354,0.13112767,-0.123858735,0.12269831,0.06848646,-0.2817928,0.41704115,-0.82257295,0.5063764,0.57400674,0.56106514,-0.74446523,-0.72781277,0.28420025,-0.10513166,-0.7945344,-0.035746735,0.5628311,0.092370324,-0.9172083,-0.48642436,0.3311333,-0.06321745,-0.21880245
5BR%WP_302380465_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-0.38830408,-1.0,1.0,-0.4092465,-1.0,0.10683426,1.0,1.0,-0.6533698,-0.7271007,1.0,-1.0,-1.0,-1.0,0.81164837,0.8851715,-1.0,-0.5180836,-0.92103857
5BR%WP_394671717_1_NADH_flavin_oxidoreductase__Muribaculum_sp__,-0.7319538,0.7640774,-0.80861884,-0.747166,0.8947032,0.77777714,-0.73425597,-0.6915908,-0.17099382,-0.8775381,0.8878146,-0.87094796,0.8687731,-0.8247794,-0.36955905,0.099580266,0.7930898,0.5310813,-0.017342629,-0.36033723,0.77583647,-0.54385376,-0.40685424,-0.63285583,0.4751258,0.8456624,-0.24185452,0.14989379,0.026616098
5BR%WP_418992344_1_NADH_flavin_oxidoreductase__Alistipes_sp__,-0.1960715,1.0,-1.0,-1.0,1.0,0.5471613,-1.0,-0.7312153,-1.0,-0.9880404,-0.7815969,-1.0,1.0,0.5013381,-1.0,0.00195853,0.7909892,-0.04517417,-0.25667894,-0.2283702,1.0,-0.8361666,-1.0,-0.02714513,-0.16330977,-0.44289544,-1.0,-0.5374146,-0.28630596
7aHSDH%GENOME007043_1033,0.046811216,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.81786287,1.0,1.0,0.15622838,1.0,-1.0,0.68676645,1.0,0.67686623,-1.0,-0.8478544,0.4982421,0.4784044,-1.0,0.7228392,1.0,0.41803482,-0.9885483,-0.35929617,1.0,0.36563715,0.25625554
7aHSDH%GENOME011662_3430,0.67178196,-0.022636468,1.0,0.541985,-0.013862847,0.18132606,0.71342796,1.0,1.0,0.8435611,1.0,0.607566,0.1169511,-0.20354953,0.93704283,-0.18111996,0.35085434,0.9429632,0.46955088,0.9938207,-0.019643959,0.4169528,0.6181184,-0.5492362,1.0,1.0,0.553749,0.8799255,1.0
7aHSDH%GENOME018142_1887,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.26899302,1.0,-1.0,0.7461966,1.0,0.08104146,-1.0,-0.8837401,0.857256,0.8838993,-1.0,1.0,1.0,0.88736093,-0.41441807,-0.48220283,1.0,0.34581092,0.78310764
7aHSDH%GENOME025100_397,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.19734949,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-0.8009923,-0.76690227,1.0,1.0,1.0
7aHSDH%GENOME067790_2714,0.4965048,-0.97651166,1.0,1.0,-0.89350134,-0.5515856,1.0,1.0,1.0,0.93820256,1.0,0.98493445,-0.9510818,0.20623937,1.0,0.23820461,-0.19529106,0.4005033,0.72586465,0.6722719,-0.6214385,0.50082153,1.0,-0.2533355,0.3180838,0.72430414,1.0,0.99365336,0.9208835
7aHSDH%GENOME070302_884,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.97889435,1.0,0.20199244,-1.0,-0.09634212,1.0,1.0,-1.0,1.0,1.0,0.6270384,-0.3135098,0.16246018,1.0,1.0,1.0
7aHSDH%GENOME086444_1757,-0.43502685,1.0,-0.42266825,-0.494699,0.9063463,0.7436924,-0.14116962,-0.34443673,0.101798706,-0.6465227,1.0,-0.790922,0.9661555,-0.35225278,0.102991216,0.20199992,1.0,0.9549389,0.16431692,0.0552969,1.0,-0.5576638,-0.18260516,-0.8934804,0.7729833,1.0,0.1663925,0.5488924,0.10131099
7aHSDH%GENOME103762_694,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-0.28320262,-1.0,1.0,-1.0,-1.0,-0.61321646,1.0,1.0,-0.8124387,-0.8370544,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-0.63415354,-0.37201747
7aHSDH%GENOME122758_282,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.4325811,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-0.7891497,1.0,1.0,1.0
7aHSDH%GENOME150027_3593,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.79615265,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-0.584786,1.0,1.0,1.0
7aHSDH%GENOME215422_1346,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.49556538,1.0,-1.0,1.0,1.0,0.5501353,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.43230876,0.8083761
7aHSDH%HAY2965420_1_SDR_family_oxidoreductase__Escherichia_coli_,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.57491684,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-0.9543514,-0.42980847,1.0,1.0,1.0
7aHSDH%MBE5948790_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,0.02546004,-1.0,0.5628627,0.7068278,-1.0,-0.6888791,0.39724684,0.19464341,-0.11924843,0.7160542,-1.0,0.8666772,-1.0,1.0,0.37270713,0.24436782,-1.0,-0.86850685,0.11349437,-0.21244168,-1.0,0.7574018,0.6151691,1.0,-1.0,-1.0,0.5130908,-0.41337743,-0.56443787
7aHSDH%MBHC130__Clostridiales_bacterium_1_7_47FAA_,0.5061581,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.3016163,1.0,0.48839903,-1.0,-0.78870744,0.94920206,0.82471424,-1.0,1.0,1.0,0.50507885,-0.5926882,-0.098440744,1.0,0.83745176,0.93032897
7aHSDH%MCI7810995_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,-1.0,1.0,-1.0,-1.0,1.0,0.8986019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.632356,-1.0,0.3591921,1.0,0.012412955,-1.0,-1.0,1.0,-1.0,-1.0,-0.436659,-0.7963561,-0.6632452,-1.0,-1.0,-1.0
7aHSDH%MCI9468093_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,-1.0,0.6338446,-1.0,-1.0,0.7056923,0.18616952,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6058169,-0.38733357,-1.0,0.28522488,0.30268204,-0.08055171,-1.0,-1.0,0.6512356,-0.9933371,-0.76764023,-0.042279206,-0.68408304,-0.5403365,-0.6178174,-0.89996654,-1.0
