,Cluster
3oxoDCA,0
3oxoLCA,0
7oxoDCA,1
Ala_DCA,0
Asn_CA,2
Asn_DCA,2
Asp_CA,2
Asp_DCA,0
CA,1
CDCA,1
DCA,0
GCA,1
GCDCA,1
GDCA,0
GLCA,0
GUDCA,1
Gln_CA,2
Glu_CA,1
Glu_CDCA,2
Glu_DCA,0
His_DCA,0
LCA,0
Lys_CDCA,0
Met_CA,2
Met_CDCA,3
Phe_CA,2
Phe_CDCA,2
Phe_DCA,0
TCA,1
TCDCA,1
TDCA,0
TLCA,0
Thr_CA,1
Thr_CDCA,2
Thr_DCA,0
Trp_CA,2
Trp_CDCA,2
Trp_DCA,0
Tyr_CA,1
Tyr_UDCA,3
UDCA,3
isoCA_aMCA,1
isoLCA,0
isoalloLCA,0
