Sample,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asn_DCA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GDCA,GLCA,GUDCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,IleLeu_CA,LCA,Lys_DCA,Phe_CA,Phe_CDCA,Phe_DCA,TCDCA,TDCA,TLCA,TUDCA,Thr_CA,Thr_DCA,Trp_CA,Trp_DCA,Tyr_CA,UDCA,isoCA_aMCA,isoDCA_isoCDCA,isoLCA,isoUDCA
3aHSDH%MBQ9141038_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,0.05748191,0.094933555,-0.03872715,-0.69903535,-0.35207868,-0.59429944,-0.49680904,-0.29657823,-0.08160032,-0.22711039,0.4025347,0.3951117,0.178653,0.14648078,-0.5641035,-0.3998539,-0.3319545,-0.031342365,-0.7375362,0.3122141,-0.41911218,-0.5961846,-0.75928617,-0.51582146,0.34724072,0.18925813,0.582157,0.37054503,-0.45439792,-0.47265074,-0.87152743,-0.52120197,-0.7324625,0.31438205,-0.058101576,0.13282394,0.118058406,-0.050303265
3aHSDH%MBS5502136_1_3-oxoacyl-ACP_reductase_FabG__Eggerthella_sp__,-0.16132462,-0.016769452,-0.08437826,-0.070140004,-0.09515626,-0.26146948,-0.05905793,-0.103664875,0.09900104,0.059977792,-0.17090291,0.02681609,0.07446275,0.013909193,0.024164693,-0.11037819,-0.2730917,-0.29613075,-0.15776354,-0.12142336,-0.24888775,-0.092139006,-0.056940276,-0.27493554,0.14303295,-0.27011806,-0.33460784,-0.21914484,-0.12634142,-0.30957726,0.0047256807,-0.06947704,-0.015538279,-0.20126224,-0.19449304,-0.4010478,-0.118906945,-0.34534213
3aHSDH%MCI6529002_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,0.052438598,0.16516382,-0.10946725,-0.3686788,-0.11568088,-0.6252191,-0.26675284,-0.59552264,-0.12047667,-0.29211152,-0.17096345,0.10407364,0.28357953,-0.17642951,-0.07575241,-0.29031926,-0.25275752,-0.5134832,-0.24484816,-0.06030955,-0.48327902,-0.17666548,-0.14033273,-0.51001126,0.061095178,-0.40289402,-0.17293353,0.10756534,-0.1860804,-0.4524763,-0.21026526,-0.11832122,-0.21813145,0.26766932,-0.3710826,-0.17604788,0.10465528,-0.41845173
3aHSDH%MCI6633699_1_3-oxoacyl-ACP_reductase_FabG__Clostridiales_bacterium_,-0.053078093,0.14987211,-0.13630825,0.07960778,-0.28649998,-0.18928944,-0.19812588,0.043833546,-0.1118822,-0.18927522,0.0039564436,0.23298655,0.46064118,0.32670647,-0.25907558,-0.2524804,-0.28012982,-0.04842714,-0.33775,-0.01996492,-0.08898357,-0.13344449,-0.25502607,-0.17665312,0.13775447,-0.025835067,0.005595319,-0.019611597,-0.3598376,-0.34325525,-0.36603364,0.035474025,-0.21812764,-0.19314487,-0.10059739,-0.14288871,0.14041324,-0.15186751
3aHSDH%MCI6899085_1_SDR_family_oxidoreductase__Mycoplasmatota_bacterium_,-0.14839451,-0.56700003,0.8873053,-0.006349465,0.7344446,0.39938816,0.5678764,0.10389142,0.8301128,0.6896156,-0.20636982,-0.16535783,-0.26961678,0.86737025,0.510728,0.676184,0.6818078,0.08131349,0.47539213,-0.59418005,-0.108199164,0.5381549,0.33066666,-0.099805735,0.73247033,0.004590363,-0.030431364,0.7598326,0.4869308,0.10160654,0.3647684,-0.20910694,0.5074952,0.7087876,0.9141639,-0.1293031,-0.61144286,0.9292901
3aHSDH%MCI7742844_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,0.134669,0.337746,-0.6472525,-0.012675983,-0.32246488,-0.2576176,-0.39830154,-0.2514884,-0.5130254,-0.4918885,-0.018586922,-0.13484947,0.14855659,-0.40627074,-0.24185981,-0.49384478,-0.48575896,-0.16138037,-0.35001442,0.11594795,0.032017723,-0.33200437,-0.2907715,-0.11527329,-0.23295125,-0.2430492,-0.25185585,-0.39730182,-0.35883734,-0.13592574,-0.24390776,0.037630226,-0.33311343,-0.023269897,-0.6860036,-0.057926137,0.31850547,-0.72913647
3aHSDH%MCI8568452_1_3-oxoacyl-ACP_reductase_FabG__Bacilli_bacterium_,-0.6537981,-0.6452294,0.6648106,-0.19067983,0.9595662,0.33667776,0.81277186,-0.3245995,0.6867695,0.7257512,-0.7829616,-0.6284208,-0.37297472,0.5752759,0.63124657,0.8219234,0.814211,-0.36743456,0.7714396,-0.71744204,-0.09326701,0.619082,0.54467446,-0.18606034,0.58910364,-0.3064679,-0.077999055,0.78711206,0.83617353,0.19284436,0.7112665,-0.023221355,0.4843399,0.48541576,0.13388014,-0.713236,-0.6044319,0.50246984
3aHSDH%MCM1266841_1_3-oxoacyl-ACP_reductase_FabG__Bacteroidales_bacterium_,-0.15543401,-0.66093624,0.7589677,-0.31264445,0.92649347,-0.100796655,0.8274669,-0.57066834,0.324301,0.32096884,-0.4137387,-0.5068196,-0.78497446,0.16367604,0.66480094,0.6560653,0.548473,-0.4245855,0.73361075,-0.64360154,-0.45536646,0.8180925,0.8666146,-0.20879269,-0.2553203,-0.25906634,-0.5547185,0.26775435,0.90286756,-0.17974408,0.7551012,-0.56912404,0.7868722,0.80694085,0.7470324,-0.113336384,-0.63092387,0.8398898
3aHSDH%MCR4878926_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bacteroidales_bacterium_,-1.0,-0.8109659,0.06958742,-0.0781861,0.22136821,0.77030873,0.41144326,0.21099582,0.52221596,0.46099895,-0.690703,-0.55588454,-0.413168,0.8016781,0.25147417,0.38808656,0.53542453,-0.08023697,0.36349353,-0.69638973,-0.2814137,0.13165264,0.013387729,-0.07479272,1.0,0.2224303,0.45956308,1.0,0.10672007,0.05125812,0.3674259,0.431237,-0.045657713,-0.51457214,-0.6199455,-1.0,-0.4217451,-0.24922666
3aHSDH%MDE7008868_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,0.087345615,-0.39584225,0.7043913,-0.32626435,0.57871217,-0.21153584,0.6153975,-0.30810633,0.10017497,0.12939376,-0.0073640323,-0.5029825,-0.7497517,-0.26063153,0.35119122,0.5192785,0.4918369,-0.18179087,0.5353353,-0.23554154,-0.26872528,0.5770293,0.5928514,-0.1033651,-0.6838273,-0.120418005,-0.30317405,-0.12644945,0.70132625,0.01683685,0.47668153,-0.7734379,0.471342,0.8998588,0.813123,0.41919824,-0.28437522,0.8801059
