Sample,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asn_DCA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GDCA,GLCA,GUDCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,IleLeu_CA,LCA,Lys_DCA,Phe_CA,Phe_CDCA,Phe_DCA,TCDCA,TDCA,TLCA,TUDCA,Thr_CA,Thr_DCA,Trp_CA,Trp_DCA,Tyr_CA,UDCA,isoCA_aMCA,isoDCA_isoCDCA,isoLCA,isoUDCA
12aHSDH%MBR2608425_1_SDR_family_oxidoreductase__Bacteroidales_bacterium_,-0.01213145,-0.0023042248,-0.022801997,-0.02158069,-0.016953176,-0.022897491,-0.02356083,-0.02661056,-0.00886507,-0.012941394,-0.0027237595,-0.006775893,-0.0025294735,-0.020761322,-0.0088092955,-0.020266945,-0.017413268,-0.0335724,-0.0138802985,-0.0012913117,-0.015529429,-0.02099185,-0.0155637385,-0.02901147,-0.0030172379,-0.007926454,-0.0035725075,-0.0072343065,-0.015494281,-0.01720076,-0.032259323,-0.013808685,-0.020287193,-0.04926194,-0.01293511,-0.02616712,-0.013069795,-0.027410218
12aHSDH%MBR5144004_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.0015840873,-0.0036834385,0.008163538,0.0065394635,0.013722197,-0.00065341435,0.01469923,-0.006388411,0.0076464578,0.0072012935,-0.018001849,-0.006923145,0.0054197568,0.0040710317,0.013397978,0.017091393,0.012236203,-0.012780798,0.01709878,-0.019348746,0.010690375,0.017387606,0.01423109,-0.0011538268,0.0008858594,0.00031530095,0.00082689745,-0.0052501555,0.015078861,0.0038547278,0.013311893,0.0025543198,0.022113826,-0.009588055,0.0159062,-0.010142814,-0.014276889,0.010855642
12aHSDH%MBR6823493_1_SDR_family_oxidoreductase__Bacillota_bacterium_,-0.024087217,-0.028662581,0.007890985,-0.017555946,0.018234681,-0.0020092893,0.01558091,-0.016922649,0.009153312,0.015246296,-0.035617266,-0.032497026,-0.032229606,0.004033713,0.014392166,0.020897498,0.014478557,-0.017163735,0.017204449,-0.04011835,-0.0072012967,0.019739458,0.01276371,-0.011504756,0.009165791,-0.0108569125,-0.005590418,0.0050350362,0.015990315,-0.022232456,0.0141149685,-0.019472338,0.01628047,-0.014582837,0.012682818,-0.026180046,-0.030388426,0.0059072273
12aHSDH%MBR7146259_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,-0.0028969084,0.0052635497,-0.0312657,0.009289464,-0.012593515,0.0036520609,-0.01445889,-0.009397739,-0.024923008,-0.015416863,-0.016234998,-0.022205021,-0.00816906,-0.033625744,-0.00284359,-0.010017488,-0.011766439,-0.012239017,0.0004098333,-0.00775386,0.013316648,-0.007876786,-0.0038975764,-0.001481285,-0.026794326,-0.0058748336,-0.0072212564,-0.033237405,-0.006897471,-0.003509815,-0.0044232295,-0.0020592043,-0.005182184,-0.04274268,-0.019985516,-0.017053608,-0.0033647064,-0.022305401
12aHSDH%MCI8718619_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,-0.03868718,-0.04212844,0.028682886,-0.01046268,0.020670224,0.006206161,0.023738658,-0.014506298,0.03781773,0.03828934,-0.022835014,-0.011966504,-0.018093864,0.027795415,0.022239199,0.026098888,0.022310374,-0.020671034,0.02129697,-0.03384131,-0.013483831,0.026344204,0.019934392,-0.00882855,0.030449511,0.006499858,0.0064364867,0.026814096,0.023981573,-0.00026660928,0.024359645,-0.025620589,0.02777844,-0.0031477562,0.027595231,-0.02658884,-0.040159665,0.015973514
12aHSDH%WP_055231566_1_SDR_family_NAD(P)-dependent_oxidoreductase__Anaerostipes_hadrus_,-0.01386117,-0.030566618,0.042519823,0.016202409,0.041057803,0.038258173,0.046654567,0.018116724,0.043336444,0.045180984,0.0033361772,0.0011426408,-0.017817238,0.012436834,0.04070945,0.054215044,0.0480343,0.019593716,0.041587945,-0.011894938,0.014954391,0.039849915,0.02592791,0.020718548,0.026372302,0.03935411,0.021872936,0.023981323,0.04826067,0.037474852,0.040695544,0.0021606155,0.051689453,-0.0036658286,0.04695747,-0.000181222,-0.03564127,0.037592307
12aHSDH%WP_130435990_1_SDR_family_NAD(P)-dependent_oxidoreductase__Cuneatibacter_caecimuris_,-0.026258556,-0.041556425,0.0329564,-0.016950415,0.033088904,0.0036496771,0.032773543,-0.0258574,0.028482882,0.022551792,-0.031353597,-0.03960623,-0.043164387,0.0013240904,0.030162608,0.030904736,0.037050687,-0.03195257,0.044649802,-0.039660707,-0.020784684,0.04199592,0.043761924,-0.010633528,0.00021548315,-0.013120421,-0.007924824,0.023856157,0.039972905,0.0033373074,0.030390281,-0.029599257,0.028117923,0.0029470173,0.03361874,-0.019626139,-0.035231143,0.031749006
12aHSDH%WP_161844252_1_SDR_family_NAD(P)-dependent_oxidoreductase__Pseudoflavonifractor_sp__524-17_,-0.0068828203,-0.023254285,0.030169819,0.0045709903,0.038851377,0.01801731,0.044884153,-0.008350995,0.013025044,0.011818528,-0.008611677,-0.025084486,-0.034498774,-0.0060280566,0.033426326,0.040571507,0.04353043,-0.006876649,0.0456922,-0.017610002,-0.0006554413,0.038863096,0.039612576,0.0038344827,-0.015205362,0.018765869,0.0121459225,0.021005735,0.053000472,0.031987466,0.032154836,-0.017992087,0.034157842,0.010876041,0.036449622,0.0025257627,-0.017699968,0.046615645
12aHSDH%WP_165061273_1_SDR_family_NAD(P)-dependent_oxidoreductase__Xiamenia_xianingshaonis_,-0.019518334,-0.017995726,0.009938193,-0.007786863,0.0061532883,-0.0020623726,0.007922826,-0.0023363177,0.014527767,0.0052057966,-0.0051910835,0.0058249175,-0.0041367356,0.021847494,0.009048833,0.0077533615,0.0043763984,-0.011855835,0.0029625874,-0.0115002515,-0.009187594,0.003925303,0.008146923,-0.008799551,0.016232932,0.008161195,0.007884216,0.014409356,0.0068069464,-0.0034828805,0.0056692474,-0.0012079999,0.011545629,-0.008838859,0.0031735247,-0.0136492625,-0.018491616,0.0044738967
12aHSDH%WP_249318265_1_SDR_family_NAD(P)-dependent_oxidoreductase__Yeguia_hominis_,0.02084486,0.0076289047,0.01241753,0.0374225,0.019526096,0.018815456,0.026476616,0.0199363,0.005093985,0.014882613,-0.005528984,-0.0009376161,0.012840918,-0.008618595,0.022644216,0.021946386,0.026969768,0.017385598,0.029402101,0.0015806557,0.032381445,0.026316235,0.029670399,0.027715016,-0.010236212,0.003023932,0.0024449744,0.00675086,0.028186105,0.034622744,0.026221849,0.016936576,0.021965012,0.018774817,0.012993371,0.022006657,0.0132192215,0.019394299
12aHSDH%WP_256285936_1_SDR_family_NAD(P)-dependent_oxidoreductase__Pseudoflavonifractor_phocaeensis_,-0.017342802,-0.024431529,0.039101683,0.005467794,0.03404366,0.023863683,0.034670826,0.0065572183,0.044673115,0.039434146,-0.006735742,0.0029446846,0.0030552747,0.028936602,0.031528868,0.037509926,0.03955577,-0.0034733422,0.034302913,-0.014215274,0.0029638738,0.03464099,0.032230794,0.0033818113,0.028701589,0.014428977,0.020086246,0.024980715,0.036361106,0.02419184,0.027165802,-0.010001013,0.035961445,0.0025079784,0.035103556,-0.010769729,-0.028910613,0.028800976
12aHSDH%WP_278514144_1_SDR_family_NAD(P)-dependent_oxidoreductase__Methanobrevibacter_smithii_,0.026596684,0.034798525,-0.012383759,-0.02945235,-0.008490777,-0.03889375,-0.021972615,-0.03518627,-0.017812645,-0.028771697,-0.002570483,-0.0020549968,0.015919507,-0.019217294,-0.013589568,-0.02609833,-0.015799528,-0.02816865,-0.014835214,0.007930133,-0.04170408,-0.017215317,-0.014352957,-0.037187845,-0.016143031,-0.03345743,-0.016252821,-0.009411012,-0.014890368,-0.031307966,-0.0237814,-0.01309735,-0.023227632,0.020012531,-0.018412415,-0.004977144,0.020258263,-0.013762771
12aHSDH%WP_418471294_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_sp__,0.042109612,0.040671162,-0.024337068,0.016251555,-0.017761284,-0.014534883,-0.013389269,0.0152775915,-0.047531534,-0.03801362,0.021803897,0.0052372837,0.010913636,-0.025717268,-0.022859907,-0.018712847,-0.021890786,0.026276477,-0.024846196,0.027664619,0.02034075,-0.026365085,-0.0228881,0.0072352793,-0.047936264,-0.0032892004,-0.018436328,-0.03655804,-0.016660748,-5.602818e-06,-0.017717266,0.013454023,-0.019494683,0.013651894,-0.019112555,0.03482638,0.040007897,-0.004782615
12bHSDH%GENOME225741_180,0.012029772,0.00875406,0.0043677436,-0.007514517,-0.015823498,-0.00048251924,-0.010339022,0.02414123,-0.0060528945,-0.0060416665,0.036155496,0.020962117,-0.008912996,0.01303976,-0.030390732,-0.015213455,-0.0044693043,0.03736384,-0.016146494,0.030360615,0.008672428,-0.012690315,-0.016661642,0.02276747,-0.006169277,0.019183034,0.027508741,0.015749356,-0.013842026,0.009651664,-0.02756747,0.00037526435,-0.025801772,0.027100446,0.009450363,0.03184952,0.01913448,0.027671942
12bHSDH%MDD6456291_1_SDR_family_NAD(P)-dependent_oxidoreductase__Lachnospiraceae_bacterium_,-0.017961107,-0.017875701,0.014713219,-0.018921433,0.010245272,-0.0108662,0.013768657,-0.0075025116,0.010199381,0.005742177,0.0064242124,-0.0017411379,-0.018974729,0.017418567,-0.003774854,0.008807872,0.010465762,-0.001447419,0.002371549,-0.0010360625,-0.008223664,0.0056196917,0.00014280366,-0.00020255409,-9.410802e-05,0.010342967,0.015091525,0.014835601,0.015189253,0.007634917,-0.0039662244,-0.0182924,-0.0005717917,0.007799467,0.0147180995,-0.0074799294,-0.0141821,0.020956093
3aHSDH%3aHSDH%HJB56827_1_3-oxoacyl-ACP_reductase_FabG__Candidatus_Flavonifractor_intestinipullorum_,0.043142978,0.030779531,-7.251717e-05,0.04462538,0.0064749424,0.025952058,0.010718592,0.037683714,-0.018206084,-0.014972204,0.024633996,0.014941279,0.017724937,-0.003322205,-0.0023586794,0.0011792977,-0.0009058104,0.04784296,0.007946222,0.02621042,0.03810839,0.0076257847,0.0074279676,0.042897068,-0.030448383,0.0069207614,-0.012054294,-0.014916765,0.0021135875,0.033075206,0.011945415,0.041280393,0.0055887545,0.039657384,0.0038279027,0.03965075,0.03289821,0.026280131
3aHSDH%3aHSDH%MBO5160353_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,-0.0008556657,-0.020474516,0.042434815,0.015519517,0.034588564,0.014982742,0.038808044,0.0047976775,0.02205967,0.023306806,-0.0022820341,0.007955895,-0.0039511616,0.031729907,0.026941862,0.031560127,0.03143411,0.0072425837,0.028583953,-0.015053444,-0.00032554177,0.035564803,0.03545121,0.013547889,0.0038920683,0.012650499,-0.0016740655,0.030634897,0.036120728,0.014982431,0.035077665,-0.0045233173,0.037247382,0.047878977,0.035588257,0.014159513,-0.0113412915,0.04815694
