Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GUDCA,HCA,LCA,TCA,TCDCA,TDCA,UDCA
BSH2%UPI0008E59C2D,0.019590365,0.0071096844,-0.04817876,-0.034917545,0.005519053,0.03160675,0.012410709,0.008166667,-0.02670809,-0.11810599,-0.014048904,0.037889186,0.006580807,0.0077082985,0.074069135,-0.032573942
BSH2%UPI00095B7069,0.03723598,-0.025177624,0.018016882,-0.026734529,-0.029297555,0.023664728,-0.009423285,0.022419995,0.07453221,-0.004918362,0.042113826,0.04480813,-0.078273185,-0.030631132,-0.08218297,0.021228319
BSH2%UPI000960BD65,0.0010638757,0.0042741583,-0.02951853,-0.037753843,-0.009350097,0.0004084922,-0.09621842,-0.075431965,0.013330587,0.021769812,0.07509438,0.014317721,0.033547584,-0.036697607,0.040092684,0.0138707375
BSH2%UPI0009611255,-0.029135978,-0.03565801,-0.06716184,0.026588583,0.024808832,-0.029247746,0.115666315,0.10842306,-0.015610006,0.009352003,-0.029209204,0.002782275,0.023436615,0.067052245,-0.065887965,-0.06445472
BSH2%UPI000961A2BF,0.036016487,0.04854925,-0.07326176,-0.019329926,-0.007045418,0.032515697,-0.008622261,-0.12028124,0.055119805,-0.019136066,0.06671677,0.027715873,-0.04583069,-0.041523445,0.04839177,0.04301218
BSH2%UPI000965B48B,-0.06595295,-0.028190121,0.05566153,0.028549358,0.057737447,-0.06998679,0.041667618,0.045742676,-0.04060737,0.07572511,0.04339571,-0.098873354,0.041424774,0.046607338,0.0016996055,0.049085516
BSH2%UPI00096829BD,-0.005589816,-0.014834102,0.0707254,0.057719037,0.01473944,-0.010388837,0.026968002,0.028499467,-0.0011171211,0.029552035,-0.045269128,-0.052488577,-0.066223346,0.011735176,-0.012870392,-0.0219837
BSH2%UPI000D6581CE,0.03923613,-0.048235666,-0.0341048,-0.05215784,-0.027264763,0.01849169,-0.009348711,-0.08450359,0.047739074,-0.019709956,-0.102889374,-0.0030995351,0.0644127,-0.028173184,0.11985159,-0.08038486
BSH2%UPI000D7A6AEA,-0.021139394,-0.018069353,-0.010167083,0.02544895,0.065104455,-0.012104947,-0.07440612,-0.0850963,-0.06138978,0.03970993,0.050972644,-0.03927277,-0.004453878,-0.03386497,0.061501708,0.06706637
BSH2%UPI000D7ABA35,-0.00067442434,0.018134842,-0.0030152544,0.039511587,0.008352092,-0.009072886,0.07906532,0.005469035,-0.012676094,0.0037234786,-0.012988638,-0.013307083,0.03891338,-0.016923483,-0.024153719,0.00033553893
BSH2%UPI000D7ADB68,-0.009442698,-0.017151613,-0.020113705,0.020626765,0.005345006,-0.020733882,0.051810447,0.038631458,-7.3228024e-05,0.03802454,-0.024634104,0.0042197243,0.034216173,-0.0010824052,-0.03990706,-0.110299915
BSH2%UPI000D7AF0AB,-0.024939,0.064622544,-0.018130397,-0.0138225,0.011734376,-0.011249469,-0.07427291,0.00049729523,0.013340087,-0.007830931,-0.01825466,-0.023876294,-0.014000143,0.026517952,0.03808053,-0.030441053
BSH2%UPI000DF74F5E,0.028380496,-0.11188317,0.0041099754,0.0033664084,-0.029538622,0.018693976,-0.048953295,-0.009253778,0.04098417,0.062193047,0.012582153,0.0033008852,-0.026961744,-0.0463418,0.016814284,-0.011980069
BSH2%UPI000DF7AEC4,-0.017794434,0.020552494,-0.010562936,0.029026166,0.010356919,-0.003665498,-0.002022721,-0.06781391,0.001001713,0.0012090857,0.02937748,-0.025839953,0.069225445,-0.046284623,0.072114736,-0.04688861
