Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GUDCA,HCA,LCA,TCA,TCDCA,TDCA,UDCA
7aHSDH%WP_262434703_1_7alpha-hydroxysteroid_dehydrogenase__Jilunia_laotingensis_,0.29360342,0.049464036,-0.11703602,-0.46209532,-0.0930809,0.28308195,-1.0,0.07952527,-0.11721317,-0.40210983,-1.0,0.275883,0.5825235,0.3439602,0.5203989,-0.7908777
7aHSDH%WP_288686302_1_SDR_family_NAD(P)-dependent_oxidoreductase__partial__uncultured_Bacteroides_sp__,-0.4046395,0.17401437,0.015319818,0.12717399,0.39170098,-0.31679815,0.010601588,0.28831682,-0.38587305,0.20359774,-1.0,-0.25448984,0.5109429,0.40452975,-0.037307363,-0.057529036
7aHSDH%WP_303013929_1_7alpha-hydroxysteroid_dehydrogenase__uncultured_Bacteroides_sp__,0.18790627,0.59794337,0.21394625,0.2823618,-0.018394684,0.35471755,-1.0,-0.8877454,-0.18620263,-0.3580689,0.46359777,0.08874882,-0.14438012,-1.0,0.18361221,1.0
BSH1%UPI0002624191,-0.7570309,-1.0,0.5005273,0.6602773,1.0,-0.78828984,0.6422734,0.26017544,-0.58264744,0.30265978,-0.16097528,-1.0,1.0,0.6076698,0.1926508,-0.9373858
BSH1%UPI000289C842,0.11533592,0.542137,-1.0,-0.7855245,0.20098771,0.2410639,-0.56434554,-0.83683795,0.64780045,0.5843028,0.6968073,-0.06552541,-0.018049642,-0.5673108,0.54269534,0.9603812
BSH1%UPI0002CB0E7D,0.53769195,0.028263744,-0.699265,-0.65887696,-1.0,0.47108462,0.6169242,0.33253154,1.0,-0.17047893,0.06416434,0.10164601,-0.63046086,-1.0,-0.16960138,0.5865038
BSH1%UPI0002F95F26,-0.19274232,-0.31386617,0.05726005,0.25768846,-0.47010332,-0.23820992,1.0,1.0,-0.70490295,1.0,0.50737035,-0.11508205,-0.05910426,-0.31384498,-0.24761778,-0.069606304
BSH1%UPI000334E1FF,0.06329589,0.421879,-1.0,-0.6349104,-0.33810142,0.058442675,-0.20215133,0.0737109,0.34538394,0.5300217,-0.47349378,-0.05710237,0.55515015,1.0,0.18715382,0.019988611
BSH1%UPI00033F0DE9,0.0023614208,0.08542345,-0.32037807,-0.26481092,-0.045177523,0.3017032,-0.8244947,-0.33085185,0.0121479705,-0.34175605,0.9034849,0.58240914,0.10330628,0.07936758,0.69271845,-0.23421969
BSH1%UPI0003A10C39,0.2880156,0.31708205,-0.95032907,-0.8677284,-0.71067965,0.3474172,-0.4387607,-0.19128233,0.81495893,-1.0,-0.19788152,0.36294946,-0.22342244,0.7897152,0.6231887,-0.5238906
BSH1%UPI00044AC395,-0.7523179,0.2383136,0.36909118,0.78485554,0.63308656,-0.77023184,1.0,0.8119782,0.21905626,0.37843278,0.572573,-0.048145488,-0.57643753,0.1727516,-1.0,0.5363503
BSH1%UPI0004BCDDD9,0.24755414,-1.0,0.4695749,0.90317917,0.31516,-0.21694326,0.2523912,0.051122595,-0.09296019,-0.49002272,0.20616283,0.93005264,-0.16804731,-0.1707749,-1.0,-0.19163047
BSH1%UPI0004D6A0E9,-0.18401738,-0.68809485,0.41283226,0.32118002,-0.14022316,-0.038527384,0.592911,-0.04277256,-0.01603677,0.8037532,0.56515974,-0.26515776,-0.25890976,-0.9640565,0.49547604,0.08094985
BSH1%UPI0004F8D610,-0.25802615,-0.17239301,0.2935112,-0.52114177,-0.2411252,0.14865199,-0.9857006,-0.8750672,0.16393362,-0.53872705,0.8987358,0.48408285,-1.0,0.23156482,0.5953437,0.28769225
BSH1%UPI00064A1F29,-0.4780661,-0.17520142,-0.02707816,0.10067274,0.031910498,-0.4895619,1.0,0.32144848,-0.47037962,0.7058606,-0.4725606,0.42554897,0.3386498,1.0,-0.6227084,-0.89335495
BSH1%UPI00070D1B8F,0.26686278,-1.0,-0.44964704,0.25852805,0.51141536,0.3704798,-0.7395548,-1.0,0.37546867,-0.12421643,-0.9088252,-0.06733128,0.3868485,0.11297458,0.64774144,0.05408904
BSH1%UPI00073AFD00,-1.0,-0.77306163,1.0,1.0,1.0,-1.0,1.0,0.7814459,-1.0,0.8499962,1.0,-1.0,1.0,1.0,-0.7722043,0.91474724
BSH1%UPI00076E9CCB,0.40607914,-0.79919535,-0.560915,-0.49497542,-1.0,0.24907905,-0.11672283,-0.29283977,1.0,0.5482521,0.4032041,-0.46264338,-0.17553945,-0.6867734,0.15741165,0.84083015
BSH1%UPI000949473C,-0.44165784,-0.3888964,0.96737677,0.80927974,0.307572,-0.46255437,1.0,1.0,-0.525878,0.44217637,-1.0,-0.3325235,0.37789124,0.9323177,-1.0,0.35429206
BSH1%UPI00095B1DAC,0.5833473,0.4058535,-0.7754972,-0.21868578,-0.79359126,0.36829805,-0.95349854,-0.75802296,1.0,0.9347449,0.3743835,-0.031003578,-0.9563377,-0.26151538,0.6736207,-0.009659596
BSH1%UPI00095C7CBB,-0.04270513,0.4088932,-0.10508813,-0.18037972,-0.56359625,-0.049463063,0.06670659,-1.0,0.549256,1.0,-0.6158692,0.1473988,0.25634083,-0.56326914,-0.43798068,0.55544823
