Family,CA,CDCA,DCA,LCA,UDCA
3aHSDH%MDE7282987_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,0.32242543,-0.5524184,-0.32175368,0.89663285,-0.52224606
3aHSDH%MDE7415347_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,-1.0,-1.0,1.0,1.0,-0.17763856
3aHSDH%NBI02399_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,-1.0,-0.9889861,-1.0,-0.08343066,1.0
3aHSDH%WP_020436139_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_,1.0,1.0,-0.04505331,-1.0,0.81019294
3aHSDH%WP_044950032_1_SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_gnavus_,1.0,1.0,-1.0,-1.0,1.0
3aHSDH%WP_087213392_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__Sellimonas_,1.0,1.0,-1.0,-1.0,-1.0
3aHSDH%WP_104968339_1_3-oxoacyl-ACP_reductase__Streptococcus_pluranimalium_,1.0,1.0,-1.0,-1.0,0.71297985
3aHSDH%WP_109137584_1_SDR_family_oxidoreductase__Bifidobacterium_catulorum_,-1.0,-1.0,1.0,1.0,-1.0
3aHSDH%WP_161845208_1_SDR_family_NAD(P)-dependent_oxidoreductase__Pseudoflavonifractor_sp__524-17_,1.0,1.0,-1.0,-1.0,-0.8747099
3aHSDH%WP_182279434_1_SDR_family_NAD(P)-dependent_oxidoreductase__Collinsella_intestinalis_,0.9337971,0.49433455,-1.0,-0.81470996,0.3874389
3aHSDH%WP_191282235_1_SDR_family_oxidoreductase__Pseudolysinimonas_yzui_,1.0,1.0,-1.0,-0.79107213,-1.0
3aHSDH%WP_205009953_1_3-oxoacyl-ACP_reductase__Streptococcus_loxodontisalivarius_,0.4634953,1.0,-0.14194046,-0.601251,-1.0
3aHSDH%WP_231385278_1_SDR_family_NAD(P)-dependent_oxidoreductase__Candidatus_Stoquefichus_massiliensis_,1.0,1.0,-1.0,-1.0,0.19310564
3aHSDH%WP_270208025_1_SDR_family_oxidoreductase__Eggerthella_lenta_,-1.0,-1.0,1.0,1.0,-0.9134103
3aHSDH%WP_289544896_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enorma_phocaeensis_,1.0,1.0,-1.0,-1.0,0.48587325
3aHSDH%WP_427737837_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bariatricus_sp__SGI_154_,-1.0,-1.0,1.0,0.7173171,0.255358
3bHSDH%GENOME124823_1686,1.0,1.0,-1.0,-1.0,1.0
3bHSDH%WP_100933575_1_SDR_family_NAD(P)-dependent_oxidoreductase___Clostridium__innocuum_,0.11047565,-0.26890203,-1.0,-0.8396545,1.0
3bHSDH%WP_186937525_1_glucose_1-dehydrogenase__Eggerthella_hominis_,-1.0,-1.0,1.0,1.0,-0.41968593
5AR%GENOME006039_2690,1.0,1.0,-1.0,-1.0,1.0
5AR%GENOME012336_2253,-0.23417953,-0.29952,0.50073034,1.0,-1.0
5AR%GENOME078645_81,-0.7771299,-1.0,0.67038363,1.0,-0.71795493
