Sample,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Mean
C18-neg_Cluster_1145: NA,0.8511793195131462,0.8575656364943136,0.8617863836863541,0.850528709066738,0.8556889659286819,0.8551663636747981,0.8517348046054765,0.8493132184313008,0.8455222969132411,0.8558087534115946,0.8534294451725646
C18-neg_Cluster_0361: eicosatrienoic acid,0.8411066014646956,0.8438041686044054,0.8522515349239232,0.8375071050418788,0.8425557951305214,0.8463337983906201,0.8416879230729483,0.833682126298285,0.8358336034423635,0.8514940552525637,0.8426256711622205
C18-neg_Cluster_2021: urobilin,0.8417936179108124,0.8377666445881895,0.834106080036829,0.8361753500847909,0.8461987438755714,0.84645476026062,0.8432557298345994,0.8449750325305224,0.832870624820906,0.8447307600163476,0.8408327343959188
C18-neg_Cluster_0718: NA,0.8334073197198383,0.8391888273510056,0.8442668771168328,0.8298982511027495,0.8344396059696446,0.8331700935281877,0.8351888649313923,0.8290609131094482,0.8268929945461465,0.842978574481978,0.8348492321857224
C18-neg_Cluster_0895: NA,0.8261038064234276,0.829252338204691,0.8285911582744966,0.8207803097563382,0.8271325695119718,0.8266651634511949,0.8223140592924554,0.821365154525853,0.8112149269296355,0.8237585554099316,0.8237178041779994
C18-neg_Cluster_1943: NA,0.8012901816541947,0.8035520511844868,0.8115308370561405,0.801414666685457,0.8022473071304087,0.806318907162352,0.795823409762445,0.800030064309437,0.7944646439023475,0.804119280147691,0.8020791348994962
C18-neg_Cluster_1324: docosapentaenoic acid ,0.7969437750438046,0.8052537380740992,0.8078925858594401,0.796674840400795,0.7976601511671059,0.8018327484885638,0.7922932021777835,0.7891669837511804,0.7922591449522495,0.8040159340840016,0.7983993103999024
C18-neg_Cluster_0863: docosapentaenoic acid,0.7926748779811816,0.7994827999267182,0.8001850834049709,0.7918575045683658,0.7912550439925404,0.7968944507861347,0.7869861469299173,0.7819715140668085,0.7874335884102088,0.7945057474504057,0.7923246757517253
C18-neg_Cluster_1244: NA,0.7947922978997262,0.7927195046905021,0.7881922424686557,0.79196319940623,0.7847865199152563,0.7915392456676861,0.7903918694833166,0.7990106963175918,0.7862944329354511,0.7918774691488512,0.7911567477933267
C18-neg_Cluster_0490: docosapentaenoic acid,0.7867301305448687,0.7952585295734157,0.7916883928277832,0.7854935009418585,0.7871857927347718,0.791715403730793,0.7785070721590402,0.778184115710011,0.7790261512516619,0.7871940134443834,0.7860983102918587
C18-neg_Cluster_0451: NA,0.7859984873894315,0.78045185717574,0.7734313711673877,0.7793561540232153,0.7885128501435101,0.7911141175420549,0.787635582989238,0.7893795478139959,0.7747431615439903,0.795299633121474,0.7845922762910039
C18-neg_Cluster_0396: NA,0.7848241003020524,0.7829509528976828,0.7784354345467102,0.7886208937555491,0.7819304105187503,0.7839691465024404,0.7763732108212725,0.785110650751373,0.7811658845248665,0.7886619973036073,0.7832042681924304
C18-neg_Cluster_1247: NA,0.7892867712340931,0.7779915162276809,0.7814900153609831,0.7810108654293325,0.778329739708846,0.7835675061185567,0.7790343719612735,0.7836849448272947,0.7791165790573901,0.7810390507194296,0.7814551360644879
C18-neg_Cluster_0527: NA,0.783041380703411,0.7795863338923417,0.7624191434490339,0.7769286959136028,0.7816015821342841,0.7845950948200134,0.7801958407906914,0.7818775630998183,0.7754748046994273,0.7912761829601133,0.7796996622462737
C18-neg_Cluster_0892: NA,0.7836050865053529,0.7879479699544808,0.7718353791156396,0.7606282031407808,0.7798493965999145,0.7811905466537015,0.7734936136830189,0.787081272283995,0.7726903329152516,0.7812492660080704,0.7779571066860207
C18-neg_Cluster_0136: NA,0.7715288640858337,0.7775980965534088,0.7770602272673892,0.7735852158758345,0.7770637504286514,0.7738917309056405,0.7766632844318551,0.7807431051734101,0.7721078369199117,0.7772316877821466,0.7757473799424079
C18-neg_Cluster_0506: adrenic acid,0.7752117419918545,0.7770167749451562,0.7828922335433138,0.7643216505305881,0.7771483062989426,0.7805704702715652,0.7674326019250554,0.7670603212183562,0.7641607594996171,0.7806679443998177,0.7736482804624266
C18-neg_Cluster_0431: NA,0.773438417489912,0.7796368325370988,0.7492777519412619,0.7600879850805865,0.7728547471074847,0.7820548955500124,0.7749709926389419,0.7821770318071,0.7689757465578715,0.7816051052955463,0.7725079506005816
C18-neg_Cluster_0311: NA,0.7613293122319462,0.7760948810815635,0.7695793815207843,0.7777977423582632,0.7771952817824377,0.7760385105013693,0.7684672369490363,0.768655138883017,0.7617203831320434,0.7725353138197175,0.7709413182260179
C18-neg_Cluster_0449: NA,0.7702922344828234,0.7639012199533064,0.7528666788802924,0.7727772375597176,0.7731600877502032,0.7760925323073888,0.7715687932468046,0.7741735838066114,0.7679411115338906,0.7772504779755446,0.7700023957496582
C18-neg_Cluster_0832: chenodeoxycholate,0.7664038388365113,0.7653703781996177,0.7621138028063155,0.7644696233035979,0.7623181461595194,0.7701231227422409,0.7782146497742829,0.776572856626127,0.7631331707981605,0.7685294794646674,0.7677249068711041
C18-neg_Cluster_0591: eicosatrienoic acid,0.7675688308271914,0.7710109593802994,0.7767959901727289,0.7645835388510737,0.7703274660954449,0.7737378861971936,0.7568173170422358,0.755449156085439,0.7578484289049546,0.7767220037862241,0.7670861577342786
C18-neg_Cluster_0507: NA,0.7543581504812638,0.7701959347416584,0.7619012387434998,0.7666927380600065,0.7670638443796183,0.7715218177633094,0.7628795031872865,0.7601149959835962,0.7569793824602941,0.7664989641905889,0.7638206569991122
C18-neg_Cluster_1383: NA,0.7689663514611724,0.7641854216284522,0.7501655885793206,0.7529653273956323,0.7659282120661227,0.7704202426753478,0.758980538057188,0.7677121060518516,0.7515666323745637,0.7669651958642785,0.7617855616153929
C18-neg_Cluster_1405: NA,0.7686574876571917,0.7590662683145666,0.7622711706760243,0.7611672468138878,0.762369819191364,0.7595724291492271,0.7581901755473819,0.7670227408315601,0.761263546555053,0.755814390469614,0.7615395275205871
CDCA,0.7679340652113663,0.7594373746341784,0.754522564673497,0.746886699831358,0.7582547668371877,0.7548596137675748,0.7650274571701029,0.773221155878747,0.7484662504638829,0.7536981449381568,0.7582308093406052
