,Cluster
3oxoDCA,0
3oxoLCA,0
7oxoDCA,1
Ala_DCA,2
Asn_CA,1
Asn_DCA,2
Asp_CA,1
Asp_DCA,2
CA,3
CDCA,3
DCA,0
GDCA,0
GLCA,0
GUDCA,3
Gln_CA,1
Glu_CA,1
Glu_CDCA,1
Glu_DCA,2
IleLeu_CA,1
LCA,0
Lys_DCA,2
Phe_CA,1
Phe_CDCA,1
Phe_DCA,2
TCDCA,3
TDCA,2
TLCA,2
TUDCA,3
Thr_CA,1
Thr_DCA,2
Trp_CA,1
Trp_DCA,2
Tyr_CA,1
UDCA,1
isoCA_aMCA,1
isoDCA_isoCDCA,0
isoLCA,0
isoUDCA,1
